ward,precinct,total,MIGUEL DEL VALLE (BRADLEY),MIGUEL DEL VALLE (BRADLEY) Percent,SALVADOR C. CERNA (BRADLEY),SALVADOR C. CERNA (BRADLEY) Percent,EMMA LOZANO (BRADLEY),EMMA LOZANO (BRADLEY) Percent,VILMA COLOM (GORE),VILMA COLOM (GORE) Percent,JOSEPH MARIO MORENO (GORE),JOSEPH MARIO MORENO (GORE) Percent,ROSALVA MARTINEZ (GORE),ROSALVA MARTINEZ (GORE) Percent,PATRICK D. THOMPSON (GORE),PATRICK D. THOMPSON (GORE) Percent,precinct_id
1,1,258,55,21.32,12,4.65,19,7.36,38,14.73,39,15.12,31,12.02,46,17.83,01001
1,2,413,77,18.64,26,6.3,36,8.72,63,15.25,56,13.56,55,13.32,61,14.77,01002
1,3,235,44,18.72,15,6.38,18,7.66,38,16.17,33,14.04,31,13.19,36,15.32,01003
1,4,321,53,16.51,25,7.79,31,9.66,46,14.33,41,12.77,48,14.95,46,14.33,01004
1,5,288,49,17.01,18,6.25,28,9.72,48,16.67,38,13.19,44,15.28,42,14.58,01005
1,7,406,86,21.18,27,6.65,37,9.11,56,13.79,49,12.07,59,14.53,56,13.79,01007
1,8,206,44,21.36,7,3.4,9,4.37,33,16.02,35,16.99,28,13.59,32,15.53,01008
1,9,527,88,16.7,31,5.88,48,9.11,76,14.42,87,16.51,76,14.42,79,14.99,01009
1,10,449,63,14.03,29,6.46,38,8.46,74,16.48,68,15.14,62,13.81,81,18.04,01010
1,11,181,33,18.23,11,6.08,17,9.39,29,16.02,27,14.92,28,15.47,26,14.36,01011
1,12,534,111,20.79,30,5.62,38,7.12,93,17.42,67,12.55,80,14.98,71,13.3,01012
1,13,280,103,36.79,11,3.93,19,6.79,59,21.07,18,6.43,25,8.93,27,9.64,01013
1,14,240,58,24.17,12,5.0,11,4.58,39,16.25,37,15.42,31,12.92,39,16.25,01014
1,15,345,111,32.17,13,3.77,28,8.12,58,16.81,30,8.7,37,10.72,28,8.12,01015
1,16,253,53,20.95,9,3.56,11,4.35,53,20.95,33,13.04,36,14.23,40,15.81,01016
1,17,336,70,20.83,23,6.85,29,8.63,53,15.77,40,11.9,49,14.58,47,13.99,01017
1,18,388,109,28.09,19,4.9,21,5.41,73,18.81,44,11.34,48,12.37,38,9.79,01018
1,19,368,114,30.98,16,4.35,25,6.79,63,17.12,35,9.51,51,13.86,36,9.78,01019
1,20,270,84,31.11,13,4.81,26,9.63,42,15.56,36,13.33,27,10.0,22,8.15,01020
1,21,507,78,15.38,31,6.11,54,10.65,83,16.37,70,13.81,73,14.4,81,15.98,01021
1,22,199,54,27.14,12,6.03,15,7.54,33,16.58,22,11.06,21,10.55,21,10.55,01022
1,23,618,135,21.84,41,6.63,64,10.36,81,13.11,69,11.17,80,12.94,90,14.56,01023
1,24,324,63,19.44,17,5.25,26,8.02,53,16.36,36,11.11,42,12.96,50,15.43,01024
1,25,471,74,15.71,35,7.43,56,11.89,68,14.44,67,14.23,63,13.38,66,14.01,01025
1,26,647,100,15.46,37,5.72,61,9.43,96,14.84,92,14.22,108,16.69,98,15.15,01026
1,27,254,66,25.98,6,2.36,12,4.72,57,22.44,30,11.81,31,12.2,27,10.63,01027
1,29,521,116,22.26,33,6.33,46,8.83,69,13.24,74,14.2,74,14.2,65,12.48,01029
1,30,293,80,27.3,15,5.12,19,6.48,63,21.5,33,11.26,37,12.63,24,8.19,01030
1,31,104,13,12.5,3,2.88,5,4.81,19,18.27,18,17.31,16,15.38,23,22.12,01031
1,32,335,70,20.9,10,2.99,15,4.48,61,18.21,50,14.93,56,16.72,55,16.42,01032
1,33,480,129,26.88,18,3.75,26,5.42,71,14.79,64,13.33,70,14.58,68,14.17,01033
1,36,358,59,16.48,26,7.26,28,7.82,51,14.25,52,14.53,45,12.57,62,17.32,01036
2,50,177,20,11.3,7,3.95,11,6.21,31,17.51,32,18.08,31,17.51,28,15.82,02050
3,51,155,28,18.06,7,4.52,12,7.74,18,11.61,30,19.35,28,18.06,20,12.9,03051
11,1,506,17,3.36,17,3.36,19,3.75,97,19.17,110,21.74,103,20.36,129,25.49,11001
11,2,455,35,7.69,19,4.18,23,5.05,75,16.48,104,22.86,83,18.24,93,20.44,11002
11,3,586,41,7.0,23,3.92,25,4.27,113,19.28,135,23.04,102,17.41,118,20.14,11003
11,4,651,20,3.07,23,3.53,20,3.07,134,20.58,145,22.27,140,21.51,152,23.35,11004
11,5,317,22,6.94,12,3.79,17,5.36,59,18.61,68,21.45,61,19.24,64,20.19,11005
11,6,864,59,6.83,31,3.59,51,5.9,158,18.29,181,20.95,151,17.48,183,21.18,11006
11,7,775,26,3.35,11,1.42,17,2.19,177,22.84,176,22.71,169,21.81,185,23.87,11007
11,8,616,42,6.82,29,4.71,41,6.66,107,17.37,123,19.97,110,17.86,121,19.64,11008
11,9,783,12,1.53,12,1.53,6,0.77,189,24.14,189,24.14,177,22.61,187,23.88,11009
11,10,361,30,8.31,17,4.71,13,3.6,67,18.56,86,23.82,67,18.56,75,20.78,11010
11,11,574,25,4.36,19,3.31,25,4.36,117,20.38,124,21.6,113,19.69,127,22.13,11011
11,12,573,17,2.97,11,1.92,12,2.09,126,21.99,125,21.82,120,20.94,148,25.83,11012
11,14,213,22,10.33,12,5.63,11,5.16,32,15.02,44,20.66,31,14.55,43,20.19,11014
11,15,538,20,3.72,11,2.04,19,3.53,117,21.75,115,21.38,109,20.26,132,24.54,11015
11,16,501,23,4.59,14,2.79,16,3.19,111,22.16,107,21.36,95,18.96,116,23.15,11016
11,17,714,61,8.54,36,5.04,45,6.3,117,16.39,151,21.15,121,16.95,143,20.03,11017
11,18,455,23,5.05,21,4.62,19,4.18,82,18.02,99,21.76,87,19.12,98,21.54,11018
11,19,492,26,5.28,15,3.05,11,2.24,101,20.53,109,22.15,94,19.11,118,23.98,11019
11,20,848,28,3.3,18,2.12,19,2.24,178,20.99,190,22.41,174,20.52,220,25.94,11020
11,21,1043,29,2.78,16,1.53,23,2.21,222,21.28,234,22.44,213,20.42,283,27.13,11021
11,23,495,50,10.1,23,4.65,23,4.65,86,17.37,97,19.6,91,18.38,91,18.38,11023
11,24,1053,18,1.71,12,1.14,11,1.04,248,23.55,234,22.22,223,21.18,294,27.92,11024
11,25,541,16,2.96,7,1.29,14,2.59,115,21.26,128,23.66,115,21.26,132,24.4,11025
11,26,840,47,5.6,19,2.26,28,3.33,166,19.76,193,22.98,175,20.83,182,21.67,11026
11,28,108,2,1.85,1,0.93,1,0.93,25,23.15,29,26.85,22,20.37,28,25.93,11028
11,29,827,41,4.96,27,3.26,36,4.35,167,20.19,178,21.52,165,19.95,184,22.25,11029
11,30,555,39,7.03,23,4.14,27,4.86,99,17.84,115,20.72,106,19.1,118,21.26,11030
11,32,559,17,3.04,13,2.33,24,4.29,120,21.47,119,21.29,111,19.86,137,24.51,11032
11,35,561,17,3.03,14,2.5,12,2.14,126,22.46,119,21.21,113,20.14,144,25.67,11035
11,37,869,24,2.76,18,2.07,21,2.42,190,21.86,205,23.59,185,21.29,207,23.82,11037
11,44,552,33,5.98,16,2.9,23,4.17,119,21.56,124,22.46,98,17.75,116,21.01,11044
11,50,32,1,3.13,2,6.25,1,3.13,6,18.75,7,21.88,7,21.88,6,18.75,11050
11,51,699,14,2.0,16,2.29,18,2.58,161,23.03,157,22.46,145,20.74,165,23.61,11051
12,1,163,36,22.09,14,8.59,15,9.2,20,12.27,31,19.02,18,11.04,13,7.98,12001
12,2,329,47,14.29,11,3.34,23,6.99,46,13.98,73,22.19,55,16.72,50,15.2,12002
12,3,277,46,16.61,15,5.42,18,6.5,42,15.16,54,19.49,44,15.88,33,11.91,12003
12,4,286,35,12.24,13,4.55,18,6.29,34,11.89,70,24.48,51,17.83,48,16.78,12004
12,6,320,66,20.63,12,3.75,27,8.44,43,13.44,57,17.81,52,16.25,36,11.25,12006
12,7,176,31,17.61,10,5.68,21,11.93,19,10.8,34,19.32,26,14.77,19,10.8,12007
12,8,207,22,10.63,7,3.38,16,7.73,32,15.46,48,23.19,34,16.43,36,17.39,12008
12,9,246,37,15.04,12,4.88,21,8.54,27,10.98,50,20.33,43,17.48,34,13.82,12009
12,11,302,45,14.9,18,5.96,19,6.29,48,15.89,59,19.54,46,15.23,41,13.58,12011
12,12,241,36,14.94,16,6.64,19,7.88,30,12.45,49,20.33,34,14.11,37,15.35,12012
