ward,precinct,total,SHIRLEY M. JONES,SHIRLEY M. JONES Percent,precinct_id
1,12,8,8,100.0,01012
1,31,35,35,100.0,01031
2,1,92,92,100.0,02001
2,2,226,226,100.0,02002
2,3,94,94,100.0,02003
2,4,35,35,100.0,02004
2,5,49,49,100.0,02005
2,6,68,68,100.0,02006
2,7,174,174,100.0,02007
2,8,150,150,100.0,02008
2,9,75,75,100.0,02009
2,10,69,69,100.0,02010
2,11,234,234,100.0,02011
2,12,210,210,100.0,02012
2,13,211,211,100.0,02013
2,14,121,121,100.0,02014
2,16,75,75,100.0,02016
2,20,197,197,100.0,02020
2,22,191,191,100.0,02022
2,24,116,116,100.0,02024
2,25,34,34,100.0,02025
2,26,92,92,100.0,02026
2,28,156,156,100.0,02028
2,29,68,68,100.0,02029
2,30,111,111,100.0,02030
2,31,143,143,100.0,02031
2,32,119,119,100.0,02032
2,35,25,25,100.0,02035
2,36,98,98,100.0,02036
2,37,81,81,100.0,02037
2,38,142,142,100.0,02038
2,40,113,113,100.0,02040
2,41,54,54,100.0,02041
2,42,32,32,100.0,02042
2,43,163,163,100.0,02043
2,44,133,133,100.0,02044
2,46,231,231,100.0,02046
2,52,98,98,100.0,02052
2,54,132,132,100.0,02054
3,3,33,33,100.0,03003
3,23,25,25,100.0,03023
3,27,21,21,100.0,03027
3,28,114,114,100.0,03028
3,33,89,89,100.0,03033
3,38,144,144,100.0,03038
3,41,59,59,100.0,03041
3,45,37,37,100.0,03045
4,20,57,57,100.0,04020
4,31,45,45,100.0,04031
4,37,85,85,100.0,04037
4,52,44,44,100.0,04052
11,13,75,75,100.0,11013
11,43,89,89,100.0,11043
11,50,38,38,100.0,11050
11,52,73,73,100.0,11052
25,3,114,114,100.0,25003
25,10,48,48,100.0,25010
25,14,94,94,100.0,25014
25,16,61,61,100.0,25016
25,18,70,70,100.0,25018
25,21,54,54,100.0,25021
27,1,127,127,100.0,27001
27,5,57,57,100.0,27005
27,6,41,41,100.0,27006
27,7,75,75,100.0,27007
27,9,126,126,100.0,27009
27,10,193,193,100.0,27010
27,12,36,36,100.0,27012
27,14,51,51,100.0,27014
27,17,141,141,100.0,27017
27,18,26,26,100.0,27018
27,20,115,115,100.0,27020
27,21,44,44,100.0,27021
27,28,97,97,100.0,27028
27,33,112,112,100.0,27033
27,37,78,78,100.0,27037
27,39,41,41,100.0,27039
27,43,49,49,100.0,27043
27,50,77,77,100.0,27050
27,51,43,43,100.0,27051
27,52,17,17,100.0,27052
27,53,114,114,100.0,27053
27,54,31,31,100.0,27054
27,55,19,19,100.0,27055
32,46,0,0,0.0,32046
42,12,56,56,100.0,42012
42,14,73,73,100.0,42014
42,18,106,106,100.0,42018
42,21,59,59,100.0,42021
42,26,43,43,100.0,42026
42,32,95,95,100.0,42032
42,39,120,120,100.0,42039
42,48,37,37,100.0,42048
42,49,89,89,100.0,42049
42,67,170,170,100.0,42067
43,55,78,78,100.0,43055
