ward,precinct,total,JUDY ERWIN,JUDY ERWIN Percent,precinct_id
2,49,51,51,100.0,02049
27,13,201,201,100.0,27013
27,16,53,53,100.0,27016
27,37,0,0,0.0,27037
27,38,87,87,100.0,27038
27,42,49,49,100.0,27042
42,1,98,98,100.0,42001
42,2,59,59,100.0,42002
42,3,60,60,100.0,42003
42,4,92,92,100.0,42004
42,5,67,67,100.0,42005
42,6,183,183,100.0,42006
42,7,71,71,100.0,42007
42,8,96,96,100.0,42008
42,9,67,67,100.0,42009
42,10,65,65,100.0,42010
42,11,77,77,100.0,42011
42,13,172,172,100.0,42013
42,15,74,74,100.0,42015
42,16,103,103,100.0,42016
42,17,25,25,100.0,42017
42,19,65,65,100.0,42019
42,20,41,41,100.0,42020
42,22,40,40,100.0,42022
42,23,104,104,100.0,42023
42,24,115,115,100.0,42024
42,25,113,113,100.0,42025
42,27,155,155,100.0,42027
42,28,109,109,100.0,42028
42,29,77,77,100.0,42029
42,30,70,70,100.0,42030
42,31,31,31,100.0,42031
42,33,152,152,100.0,42033
42,34,70,70,100.0,42034
42,35,63,63,100.0,42035
42,36,103,103,100.0,42036
42,37,82,82,100.0,42037
42,38,88,88,100.0,42038
42,40,63,63,100.0,42040
42,41,46,46,100.0,42041
42,42,76,76,100.0,42042
42,43,106,106,100.0,42043
42,44,65,65,100.0,42044
42,45,65,65,100.0,42045
42,46,53,53,100.0,42046
42,47,59,59,100.0,42047
42,50,65,65,100.0,42050
42,51,38,38,100.0,42051
42,52,75,75,100.0,42052
42,53,79,79,100.0,42053
42,54,56,56,100.0,42054
42,55,72,72,100.0,42055
42,56,56,56,100.0,42056
42,57,46,46,100.0,42057
42,58,117,117,100.0,42058
42,59,79,79,100.0,42059
42,60,41,41,100.0,42060
42,61,18,18,100.0,42061
42,62,52,52,100.0,42062
42,63,83,83,100.0,42063
42,64,41,41,100.0,42064
42,65,41,41,100.0,42065
42,66,55,55,100.0,42066
43,1,43,43,100.0,43001
43,3,45,45,100.0,43003
43,4,52,52,100.0,43004
43,5,64,64,100.0,43005
43,7,67,67,100.0,43007
43,8,66,66,100.0,43008
43,9,39,39,100.0,43009
43,11,58,58,100.0,43011
43,12,89,89,100.0,43012
43,14,54,54,100.0,43014
43,15,64,64,100.0,43015
43,16,49,49,100.0,43016
43,17,72,72,100.0,43017
43,18,98,98,100.0,43018
43,19,89,89,100.0,43019
43,20,89,89,100.0,43020
43,21,33,33,100.0,43021
43,23,64,64,100.0,43023
43,24,55,55,100.0,43024
43,25,64,64,100.0,43025
43,26,82,82,100.0,43026
43,27,63,63,100.0,43027
43,28,42,42,100.0,43028
43,29,44,44,100.0,43029
43,30,36,36,100.0,43030
43,32,50,50,100.0,43032
43,33,26,26,100.0,43033
43,34,37,37,100.0,43034
43,35,63,63,100.0,43035
43,36,67,67,100.0,43036
43,37,55,55,100.0,43037
43,38,40,40,100.0,43038
43,40,83,83,100.0,43040
43,41,43,43,100.0,43041
43,42,64,64,100.0,43042
43,43,60,60,100.0,43043
43,44,60,60,100.0,43044
43,46,73,73,100.0,43046
43,47,93,93,100.0,43047
43,49,39,39,100.0,43049
43,51,32,32,100.0,43051
43,52,84,84,100.0,43052
43,53,78,78,100.0,43053
43,56,46,46,100.0,43056
43,57,26,26,100.0,43057
43,58,49,49,100.0,43058
43,59,120,120,100.0,43059
