ward,precinct,total,"WILLIAM COUSINS, JR.","WILLIAM COUSINS, JR. Percent",THOMAS R. FITZGERALD,THOMAS R. FITZGERALD Percent,MORTON ZWICK,MORTON ZWICK Percent,CHRISTINE PATRICIA CURRAN,CHRISTINE PATRICIA CURRAN Percent,precinct_id
1,1,92,10,10.87,59,64.13,12,13.04,11,11.96,01001
1,2,130,31,23.85,58,44.62,19,14.62,22,16.92,01002
1,3,78,19,24.36,35,44.87,12,15.38,12,15.38,01003
1,4,121,26,21.49,49,40.5,11,9.09,35,28.93,01004
1,5,110,25,22.73,49,44.55,14,12.73,22,20.0,01005
1,6,90,11,12.22,45,50.0,18,20.0,16,17.78,01006
1,7,146,16,10.96,70,47.95,22,15.07,38,26.03,01007
1,8,82,31,37.8,29,35.37,9,10.98,13,15.85,01008
1,9,173,34,19.65,80,46.24,39,22.54,20,11.56,01009
1,10,142,21,14.79,68,47.89,16,11.27,37,26.06,01010
1,11,74,17,22.97,36,48.65,10,13.51,11,14.86,01011
1,12,206,37,17.96,94,45.63,27,13.11,48,23.3,01012
1,13,148,20,13.51,94,63.51,12,8.11,22,14.86,01013
1,14,101,26,25.74,42,41.58,11,10.89,22,21.78,01014
1,15,136,26,19.12,72,52.94,10,7.35,28,20.59,01015
1,16,107,45,42.06,39,36.45,8,7.48,15,14.02,01016
1,17,119,39,32.77,63,52.94,3,2.52,14,11.76,01017
1,18,148,38,25.68,62,41.89,26,17.57,22,14.86,01018
1,19,107,36,33.64,44,41.12,8,7.48,19,17.76,01019
1,20,98,30,30.61,38,38.78,14,14.29,16,16.33,01020
1,21,160,31,19.38,69,43.13,26,16.25,34,21.25,01021
1,22,69,20,28.99,28,40.58,8,11.59,13,18.84,01022
1,23,231,30,12.99,130,56.28,32,13.85,39,16.88,01023
1,24,122,29,23.77,53,43.44,17,13.93,23,18.85,01024
1,25,170,33,19.41,85,50.0,24,14.12,28,16.47,01025
1,26,231,47,20.35,115,49.78,30,12.99,39,16.88,01026
1,27,102,30,29.41,45,44.12,7,6.86,20,19.61,01027
1,28,27,7,25.93,9,33.33,2,7.41,9,33.33,01028
1,29,202,40,19.8,101,50.0,21,10.4,40,19.8,01029
1,30,117,26,22.22,55,47.01,12,10.26,24,20.51,01030
1,31,36,22,61.11,7,19.44,1,2.78,6,16.67,01031
1,32,152,64,42.11,51,33.55,12,7.89,25,16.45,01032
1,33,187,33,17.65,86,45.99,33,17.65,35,18.72,01033
1,34,20,6,30.0,8,40.0,3,15.0,3,15.0,01034
1,35,38,7,18.42,17,44.74,9,23.68,5,13.16,01035
1,36,129,23,17.83,62,48.06,20,15.5,24,18.6,01036
2,1,111,46,41.44,40,36.04,8,7.21,17,15.32,02001
2,2,281,235,83.63,26,9.25,9,3.2,11,3.91,02002
2,3,102,53,51.96,29,28.43,8,7.84,12,11.76,02003
2,4,29,17,58.62,9,31.03,1,3.45,2,6.9,02004
2,5,58,37,63.79,13,22.41,2,3.45,6,10.34,02005
2,6,93,65,69.89,14,15.05,5,5.38,9,9.68,02006
