ward,precinct,total,FRANK E. MARZULLO (BRADLEY),FRANK E. MARZULLO (BRADLEY) Percent,ROSE MARIE LIPINSKI (BRADLEY),ROSE MARIE LIPINSKI (BRADLEY) Percent,STEVEN M. LANDEK (BRADLEY),STEVEN M. LANDEK (BRADLEY) Percent,CAROLYN VIVERITO (BRADLEY),CAROLYN VIVERITO (BRADLEY) Percent,"JAMES J. LASKI, JR. (GORE)","JAMES J. LASKI, JR. (GORE) Percent",JUDITH SANDOVAL (GORE),JUDITH SANDOVAL (GORE) Percent,TERRY A. STECZO (GORE),TERRY A. STECZO (GORE) Percent,LAURA A. PERNA (GORE),LAURA A. PERNA (GORE) Percent,GABRIEL F. FAKHOURI (GORE),GABRIEL F. FAKHOURI (GORE) Percent,precinct_id
13,1,500,59,11.8,96,19.2,20,4.0,78,15.6,59,11.8,50,10.0,45,9.0,42,8.4,31,6.2,13001
13,2,515,38,7.38,100,19.42,27,5.24,80,15.53,56,10.87,55,10.68,45,8.74,56,10.87,39,7.57,13002
13,3,902,103,11.42,201,22.28,45,4.99,174,19.29,99,10.98,60,6.65,64,7.1,74,8.2,39,4.32,13003
13,4,844,91,10.78,158,18.72,42,4.98,140,16.59,128,15.17,67,7.94,61,7.23,64,7.58,56,6.64,13004
13,5,555,47,8.47,105,18.92,25,4.5,74,13.33,68,12.25,60,10.81,59,10.63,57,10.27,37,6.67,13005
13,6,500,47,9.4,80,16.0,20,4.0,68,13.6,61,12.2,62,12.4,41,8.2,53,10.6,46,9.2,13006
13,7,758,47,6.2,199,26.25,25,3.3,178,23.48,88,11.61,55,7.26,51,6.73,59,7.78,35,4.62,13007
13,8,714,67,9.38,135,18.91,38,5.32,114,15.97,87,12.18,71,9.94,53,7.42,65,9.1,53,7.42,13008
13,9,772,68,8.81,137,17.75,33,4.27,111,14.38,101,13.08,84,10.88,71,9.2,83,10.75,61,7.9,13009
13,10,641,67,10.45,120,18.72,33,5.15,89,13.88,90,14.04,72,11.23,45,7.02,59,9.2,40,6.24,13010
13,11,397,27,6.8,82,20.65,15,3.78,63,15.87,50,12.59,45,11.34,26,6.55,44,11.08,30,7.56,13011
13,12,863,54,6.26,187,21.67,26,3.01,161,18.66,193,22.36,56,6.49,52,6.03,61,7.07,46,5.33,13012
13,13,807,40,4.96,222,27.51,29,3.59,205,25.4,63,7.81,78,9.67,44,5.45,63,7.81,41,5.08,13013
13,14,484,38,7.85,100,20.66,19,3.93,86,17.77,59,12.19,53,10.95,37,7.64,43,8.88,30,6.2,13014
13,15,770,49,6.36,199,25.84,26,3.38,165,21.43,91,11.82,61,7.92,53,6.88,64,8.31,43,5.58,13015
13,16,567,47,8.29,135,23.81,22,3.88,106,18.69,66,11.64,56,9.88,40,7.05,44,7.76,29,5.11,13016
13,17,388,23,5.93,88,22.68,9,2.32,75,19.33,48,12.37,45,11.6,26,6.7,36,9.28,31,7.99,13017
13,18,543,38,7.0,95,17.5,23,4.24,82,15.1,71,13.08,75,13.81,36,6.63,66,12.15,41,7.55,13018
13,19,479,44,9.19,79,16.49,19,3.97,59,12.32,61,12.73,65,13.57,41,8.56,54,11.27,37,7.72,13019
13,20,656,60,9.15,113,17.23,30,4.57,86,13.11,89,13.57,78,11.89,55,8.38,75,11.43,42,6.4,13020
13,21,599,51,8.51,139,23.21,30,5.01,113,18.86,75,12.52,46,7.68,48,8.01,51,8.51,31,5.18,13021
13,22,892,69,7.74,224,25.11,29,3.25,211,23.65,82,9.19,69,7.74,59,6.61,72,8.07,52,5.83,13022
13,23,662,47,7.1,182,27.49,36,5.44,161,24.32,56,8.46,55,8.31,33,4.98,44,6.65,30,4.53,13023
13,24,873,82,9.39,155,17.75,38,4.35,120,13.75,127,14.55,87,9.97,73,8.36,88,10.08,70,8.02,13024
13,25,573,45,7.85,87,15.18,21,3.66,67,11.69,83,14.49,66,11.52,57,9.95,76,13.26,52,9.08,13025
13,26,499,38,7.62,110,22.04,19,3.81,88,17.64,60,12.02,56,11.22,39,7.82,38,7.62,35,7.01,13026
13,27,622,53,8.52,144,23.15,31,4.98,121,19.45,67,10.77,49,7.88,40,6.43,50,8.04,41,6.59,13027
13,28,474,45,9.49,91,19.2,16,3.38,72,15.19,65,13.71,54,11.39,36,7.59,50,10.55,33,6.96,13028
13,29,700,59,8.43,126,18.0,24,3.43,90,12.86,104,14.86,79,11.29,60,8.57,80,11.43,57,8.14,13029
13,30,570,45,7.89,113,19.82,25,4.39,82,14.39,64,11.23,71,12.46,46,8.07,63,11.05,40,7.02,13030
13,31,589,47,7.98,124,21.05,26,4.41,101,17.15,58,9.85,71,12.05,42,7.13,64,10.87,35,5.94,13031
13,32,470,32,6.81,60,12.77,18,3.83,49,10.43,63,13.4,63,13.4,50,10.64,60,12.77,57,12.13,13032
13,33,573,51,8.9,109,19.02,31,5.41,93,16.23,64,11.17,56,9.77,48,8.38,52,9.08,39,6.81,13033
13,34,683,56,8.2,181,26.5,37,5.42,149,21.82,69,10.1,44,6.44,36,5.27,43,6.3,36,5.27,13034
13,35,771,64,8.3,164,21.27,25,3.24,148,19.2,87,11.28,74,9.6,68,8.82,68,8.82,55,7.13,13035
13,36,436,43,9.86,84,19.27,18,4.13,60,13.76,55,12.61,49,11.24,32,7.34,48,11.01,29,6.65,13036
13,37,440,28,6.36,97,22.05,15,3.41,82,18.64,59,13.41,41,9.32,38,8.64,41,9.32,26,5.91,13037
13,38,350,34,9.71,83,23.71,12,3.43,63,18.0,49,14.0,24,6.86,25,7.14,26,7.43,20,5.71,13038
13,39,602,48,7.97,126,20.93,28,4.65,102,16.94,79,13.12,61,10.13,46,7.64,51,8.47,35,5.81,13039
