ward,precinct,total,BARBARA FLYNN CURRIE,BARBARA FLYNN CURRIE Percent,ROBERT PALMER,ROBERT PALMER Percent,precinct_id
4,1,176,162,92.05,14,7.95,04001
4,9,384,350,91.15,34,8.85,04009
4,13,218,187,85.78,31,14.22,04013
4,17,233,216,92.7,17,7.3,04017
4,22,269,253,94.05,16,5.95,04022
4,28,196,180,91.84,16,8.16,04028
4,29,170,154,90.59,16,9.41,04029
4,32,219,203,92.69,16,7.31,04032
4,34,183,177,96.72,6,3.28,04034
4,38,262,236,90.08,26,9.92,04038
4,41,150,137,91.33,13,8.67,04041
4,43,139,130,93.53,9,6.47,04043
4,44,149,133,89.26,16,10.74,04044
4,45,327,294,89.91,33,10.09,04045
4,47,252,223,88.49,29,11.51,04047
4,48,273,251,91.94,22,8.06,04048
4,51,223,198,88.79,25,11.21,04051
4,54,100,97,97.0,3,3.0,04054
4,55,144,134,93.06,10,6.94,04055
5,1,172,143,83.14,29,16.86,05001
5,3,190,157,82.63,33,17.37,05003
5,4,228,188,82.46,40,17.54,05004
5,5,127,105,82.68,22,17.32,05005
5,6,191,166,86.91,25,13.09,05006
5,7,160,136,85.0,24,15.0,05007
5,8,252,244,96.83,8,3.17,05008
5,9,155,127,81.94,28,18.06,05009
5,10,106,93,87.74,13,12.26,05010
5,11,79,77,97.47,2,2.53,05011
5,14,170,160,94.12,10,5.88,05014
5,17,113,102,90.27,11,9.73,05017
5,18,113,88,77.88,25,22.12,05018
5,19,131,104,79.39,27,20.61,05019
5,21,224,185,82.59,39,17.41,05021
5,24,186,169,90.86,17,9.14,05024
5,25,130,106,81.54,24,18.46,05025
5,26,101,84,83.17,17,16.83,05026
5,27,62,54,87.1,8,12.9,05027
5,28,220,180,81.82,40,18.18,05028
5,29,130,99,76.15,31,23.85,05029
5,30,184,182,98.91,2,1.09,05030
5,31,111,97,87.39,14,12.61,05031
5,32,249,218,87.55,31,12.45,05032
5,33,169,141,83.43,28,16.57,05033
5,34,113,88,77.88,25,22.12,05034
5,35,120,108,90.0,12,10.0,05035
5,36,159,136,85.53,23,14.47,05036
5,37,129,124,96.12,5,3.88,05037
5,38,237,225,94.94,12,5.06,05038
5,39,208,198,95.19,10,4.81,05039
5,40,115,95,82.61,20,17.39,05040
5,41,166,162,97.59,4,2.41,05041
5,42,154,123,79.87,31,20.13,05042
5,43,192,169,88.02,23,11.98,05043
5,44,169,95,56.21,74,43.79,05044
5,46,192,183,95.31,9,4.69,05046
5,47,113,97,85.84,16,14.16,05047
5,48,164,151,92.07,13,7.93,05048
5,49,203,195,96.06,8,3.94,05049
5,53,121,101,83.47,20,16.53,05053
5,54,108,91,84.26,17,15.74,05054
5,55,170,144,84.71,26,15.29,05055
5,56,107,86,80.37,21,19.63,05056
5,57,180,165,91.67,15,8.33,05057
5,58,92,84,91.3,8,8.7,05058
5,59,94,77,81.91,17,18.09,05059
7,3,140,103,73.57,37,26.43,07003
7,7,126,92,73.02,34,26.98,07007
7,9,171,138,80.7,33,19.3,07009
7,10,197,141,71.57,56,28.43,07010
7,11,192,157,81.77,35,18.23,07011
7,14,152,111,73.03,41,26.97,07014
7,15,226,163,72.12,63,27.88,07015
7,16,163,120,73.62,43,26.38,07016
7,17,148,113,76.35,35,23.65,07017
7,18,149,124,83.22,25,16.78,07018
7,22,169,130,76.92,39,23.08,07022
7,23,161,124,77.02,37,22.98,07023
7,28,144,107,74.31,37,25.69,07028
7,34,117,96,82.05,21,17.95,07034
7,35,210,164,78.1,46,21.9,07035
7,39,153,121,79.08,32,20.92,07039
7,40,133,98,73.68,35,26.32,07040
7,44,219,172,78.54,47,21.46,07044
7,45,244,203,83.2,41,16.8,07045
8,60,236,188,79.66,48,20.34,08060
20,24,139,118,84.89,21,15.11,20024
20,26,213,172,80.75,41,19.25,20026
20,32,192,165,85.94,27,14.06,20032
20,34,197,165,83.76,32,16.24,20034
20,38,188,154,81.91,34,18.09,20038
