ward,precinct,total,MONIQUE D. DAVIS,MONIQUE D. DAVIS Percent,RONALD I. GAINES,RONALD I. GAINES Percent,precinct_id
9,21,151,138,91.39,13,8.61,09021
9,27,141,119,84.4,22,15.6,09027
9,51,140,119,85.0,21,15.0,09051
18,4,255,213,83.53,42,16.47,18004
18,7,98,81,82.65,17,17.35,18007
18,9,195,163,83.59,32,16.41,18009
18,10,265,212,80.0,53,20.0,18010
18,11,123,96,78.05,27,21.95,18011
18,12,175,131,74.86,44,25.14,18012
18,13,198,152,76.77,46,23.23,18013
18,14,236,209,88.56,27,11.44,18014
18,16,174,150,86.21,24,13.79,18016
18,18,274,255,93.07,19,6.93,18018
18,21,197,182,92.39,15,7.61,18021
18,22,178,162,91.01,16,8.99,18022
18,24,213,201,94.37,12,5.63,18024
18,25,194,180,92.78,14,7.22,18025
18,26,244,224,91.8,20,8.2,18026
18,29,106,80,75.47,26,24.53,18029
18,32,220,206,93.64,14,6.36,18032
18,34,286,250,87.41,36,12.59,18034
18,35,212,183,86.32,29,13.68,18035
18,36,98,71,72.45,27,27.55,18036
18,37,111,89,80.18,22,19.82,18037
18,39,180,164,91.11,16,8.89,18039
18,40,249,223,89.56,26,10.44,18040
18,41,171,154,90.06,17,9.94,18041
18,44,216,203,93.98,13,6.02,18044
18,45,214,202,94.39,12,5.61,18045
18,46,161,153,95.03,8,4.97,18046
18,47,246,215,87.4,31,12.6,18047
18,49,110,86,78.18,24,21.82,18049
18,52,164,152,92.68,12,7.32,18052
18,54,232,205,88.36,27,11.64,18054
18,55,202,193,95.54,9,4.46,18055
18,62,154,146,94.81,8,5.19,18062
18,63,67,63,94.03,4,5.97,18063
19,1,252,170,67.46,82,32.54,19001
19,2,207,149,71.98,58,28.02,19002
19,5,198,148,74.75,50,25.25,19005
19,10,287,200,69.69,87,30.31,19010
19,13,188,155,82.45,33,17.55,19013
19,14,147,94,63.95,53,36.05,19014
19,18,273,155,56.78,118,43.22,19018
19,19,259,151,58.3,108,41.7,19019
19,20,197,144,73.1,53,26.9,19020
19,22,246,155,63.01,91,36.99,19022
19,23,276,177,64.13,99,35.87,19023
19,25,251,144,57.37,107,42.63,19025
19,26,227,127,55.95,100,44.05,19026
19,27,181,126,69.61,55,30.39,19027
19,28,284,228,80.28,56,19.72,19028
19,31,224,132,58.93,92,41.07,19031
19,34,216,106,49.07,110,50.93,19034
19,35,236,149,63.14,87,36.86,19035
19,36,181,133,73.48,48,26.52,19036
19,37,209,118,56.46,91,43.54,19037
19,38,222,166,74.77,56,25.23,19038
19,40,224,154,68.75,70,31.25,19040
19,42,164,121,73.78,43,26.22,19042
19,43,196,163,83.16,33,16.84,19043
19,45,266,163,61.28,103,38.72,19045
19,46,282,171,60.64,111,39.36,19046
19,53,229,122,53.28,107,46.72,19053
19,56,252,183,72.62,69,27.38,19056
19,57,247,170,68.83,77,31.17,19057
19,60,176,134,76.14,42,23.86,19060
19,61,287,182,63.41,105,36.59,19061
21,1,270,241,89.26,29,10.74,21001
21,3,263,244,92.78,19,7.22,21003
21,4,224,201,89.73,23,10.27,21004
21,5,178,163,91.57,15,8.43,21005
21,6,154,141,91.56,13,8.44,21006
21,7,206,190,92.23,16,7.77,21007
21,8,165,144,87.27,21,12.73,21008
21,9,159,148,93.08,11,6.92,21009
21,10,128,120,93.75,8,6.25,21010
21,11,190,181,95.26,9,4.74,21011
21,12,214,204,95.33,10,4.67,21012
21,13,104,99,95.19,5,4.81,21013
21,14,195,183,93.85,12,6.15,21014
21,17,97,83,85.57,14,14.43,21017
21,18,189,177,93.65,12,6.35,21018
21,19,150,141,94.0,9,6.0,21019
21,20,51,43,84.31,8,15.69,21020
21,21,187,168,89.84,19,10.16,21021
21,22,211,193,91.47,18,8.53,21022
21,24,221,205,92.76,16,7.24,21024
21,25,163,156,95.71,7,4.29,21025
21,27,231,205,88.74,26,11.26,21027
21,28,129,115,89.15,14,10.85,21028
21,31,238,218,91.6,20,8.4,21031
21,33,199,176,88.44,23,11.56,21033
21,36,200,168,84.0,32,16.0,21036
21,37,118,105,88.98,13,11.02,21037
21,38,201,180,89.55,21,10.45,21038
21,40,190,167,87.89,23,12.11,21040
21,41,124,115,92.74,9,7.26,21041
21,42,213,183,85.92,30,14.08,21042
21,44,166,155,93.37,11,6.63,21044
21,45,165,148,89.7,17,10.3,21045
21,47,279,252,90.32,27,9.68,21047
21,48,24,23,95.83,1,4.17,21048
21,49,243,209,86.01,34,13.99,21049
21,50,169,152,89.94,17,10.06,21050
21,51,201,188,93.53,13,6.47,21051
21,52,193,178,92.23,15,7.77,21052
21,53,179,168,93.85,11,6.15,21053
21,54,212,187,88.21,25,11.79,21054
21,58,116,102,87.93,14,12.07,21058
21,59,249,227,91.16,22,8.84,21059
21,60,184,159,86.41,25,13.59,21060
21,61,227,213,93.83,14,6.17,21061
21,63,184,168,91.3,16,8.7,21063
21,64,125,116,92.8,9,7.2,21064
21,66,156,143,91.67,13,8.33,21066
34,25,117,106,90.6,11,9.4,34025
34,34,195,182,93.33,13,6.67,34034
34,45,204,187,91.67,17,8.33,34045
34,46,144,132,91.67,12,8.33,34046
