ward,precinct,total,RANDY J. BARNETTE,RANDY J. BARNETTE Percent,precinct_id
39,1,71,71,100.0,39001
39,2,155,155,100.0,39002
39,3,111,111,100.0,39003
39,4,54,54,100.0,39004
39,5,51,51,100.0,39005
39,6,143,143,100.0,39006
39,7,88,88,100.0,39007
39,8,104,104,100.0,39008
39,9,119,119,100.0,39009
39,10,70,70,100.0,39010
39,11,133,133,100.0,39011
39,12,46,46,100.0,39012
39,13,35,35,100.0,39013
39,14,88,88,100.0,39014
39,15,69,69,100.0,39015
39,16,61,61,100.0,39016
39,17,53,53,100.0,39017
39,18,136,136,100.0,39018
39,19,88,88,100.0,39019
39,20,62,62,100.0,39020
39,21,63,63,100.0,39021
39,22,89,89,100.0,39022
39,23,56,56,100.0,39023
39,24,54,54,100.0,39024
39,25,30,30,100.0,39025
39,26,121,121,100.0,39026
39,27,36,36,100.0,39027
39,28,55,55,100.0,39028
39,29,46,46,100.0,39029
39,30,76,76,100.0,39030
39,31,51,51,100.0,39031
39,32,295,295,100.0,39032
39,33,85,85,100.0,39033
39,34,59,59,100.0,39034
39,35,82,82,100.0,39035
39,36,264,264,100.0,39036
39,37,107,107,100.0,39037
39,38,146,146,100.0,39038
39,39,41,41,100.0,39039
39,40,51,51,100.0,39040
39,41,16,16,100.0,39041
39,42,84,84,100.0,39042
39,43,63,63,100.0,39043
39,44,67,67,100.0,39044
39,45,71,71,100.0,39045
39,46,69,69,100.0,39046
39,47,77,77,100.0,39047
39,48,50,50,100.0,39048
39,49,48,48,100.0,39049
