ward,precinct,total,WILLIAM M. BEAVERS,WILLIAM M. BEAVERS Percent,precinct_id
7,1,225,225,100.0,07001
7,2,162,162,100.0,07002
7,3,131,131,100.0,07003
7,4,120,120,100.0,07004
7,5,104,104,100.0,07005
7,6,143,143,100.0,07006
7,7,123,123,100.0,07007
7,8,99,99,100.0,07008
7,9,144,144,100.0,07009
7,10,154,154,100.0,07010
7,11,165,165,100.0,07011
7,12,155,155,100.0,07012
7,13,75,75,100.0,07013
7,14,125,125,100.0,07014
7,15,210,210,100.0,07015
7,16,144,144,100.0,07016
7,17,131,131,100.0,07017
7,18,135,135,100.0,07018
7,19,194,194,100.0,07019
7,20,43,43,100.0,07020
7,21,166,166,100.0,07021
7,22,133,133,100.0,07022
7,23,137,137,100.0,07023
7,24,192,192,100.0,07024
7,25,131,131,100.0,07025
7,26,163,163,100.0,07026
7,27,146,146,100.0,07027
7,28,135,135,100.0,07028
7,29,94,94,100.0,07029
7,30,234,234,100.0,07030
7,31,183,183,100.0,07031
7,32,132,132,100.0,07032
7,33,165,165,100.0,07033
7,34,93,93,100.0,07034
7,35,171,171,100.0,07035
7,36,232,232,100.0,07036
7,37,170,170,100.0,07037
7,38,164,164,100.0,07038
7,39,130,130,100.0,07039
7,40,119,119,100.0,07040
7,41,196,196,100.0,07041
7,42,150,150,100.0,07042
7,43,176,176,100.0,07043
7,44,187,187,100.0,07044
7,45,213,213,100.0,07045
7,46,58,58,100.0,07046
