ward,precinct,total,JESSE WHITE,JESSE WHITE Percent,precinct_id
27,1,158,158,100.0,27001
27,2,89,89,100.0,27002
27,3,113,113,100.0,27003
27,4,72,72,100.0,27004
27,5,79,79,100.0,27005
27,6,107,107,100.0,27006
27,7,129,129,100.0,27007
27,8,68,68,100.0,27008
27,9,207,207,100.0,27009
27,10,231,231,100.0,27010
27,11,73,73,100.0,27011
27,12,136,136,100.0,27012
27,13,246,246,100.0,27013
27,14,84,84,100.0,27014
27,15,94,94,100.0,27015
27,16,64,64,100.0,27016
27,17,152,152,100.0,27017
27,18,45,45,100.0,27018
27,19,115,115,100.0,27019
27,20,226,226,100.0,27020
27,21,64,64,100.0,27021
27,22,120,120,100.0,27022
27,23,36,36,100.0,27023
27,24,94,94,100.0,27024
27,25,77,77,100.0,27025
27,26,200,200,100.0,27026
27,27,76,76,100.0,27027
27,28,131,131,100.0,27028
27,29,98,98,100.0,27029
27,30,74,74,100.0,27030
27,31,132,132,100.0,27031
27,32,74,74,100.0,27032
27,33,146,146,100.0,27033
27,34,126,126,100.0,27034
27,35,166,166,100.0,27035
27,36,137,137,100.0,27036
27,37,185,185,100.0,27037
27,38,99,99,100.0,27038
27,39,87,87,100.0,27039
27,40,93,93,100.0,27040
27,41,59,59,100.0,27041
27,42,58,58,100.0,27042
27,43,97,97,100.0,27043
27,44,156,156,100.0,27044
27,45,168,168,100.0,27045
27,46,126,126,100.0,27046
27,47,103,103,100.0,27047
27,48,144,144,100.0,27048
27,49,76,76,100.0,27049
27,50,96,96,100.0,27050
27,51,87,87,100.0,27051
27,52,34,34,100.0,27052
27,53,131,131,100.0,27053
27,54,46,46,100.0,27054
27,55,38,38,100.0,27055
