ward,precinct,total,PATRICK J. O'CONNOR,PATRICK J. O'CONNOR Percent,precinct_id
40,1,78,78,100.0,40001
40,2,81,81,100.0,40002
40,3,86,86,100.0,40003
40,4,131,131,100.0,40004
40,5,85,85,100.0,40005
40,6,70,70,100.0,40006
40,7,79,79,100.0,40007
40,8,154,154,100.0,40008
40,9,52,52,100.0,40009
40,10,115,115,100.0,40010
40,11,80,80,100.0,40011
40,12,96,96,100.0,40012
40,13,80,80,100.0,40013
40,14,70,70,100.0,40014
40,15,101,101,100.0,40015
40,16,126,126,100.0,40016
40,17,47,47,100.0,40017
40,18,87,87,100.0,40018
40,19,72,72,100.0,40019
40,20,72,72,100.0,40020
40,21,101,101,100.0,40021
40,22,63,63,100.0,40022
40,23,91,91,100.0,40023
40,24,79,79,100.0,40024
40,25,98,98,100.0,40025
40,26,97,97,100.0,40026
40,27,160,160,100.0,40027
40,28,84,84,100.0,40028
40,29,131,131,100.0,40029
40,30,145,145,100.0,40030
40,31,116,116,100.0,40031
40,32,63,63,100.0,40032
40,33,93,93,100.0,40033
40,34,59,59,100.0,40034
40,35,116,116,100.0,40035
40,36,125,125,100.0,40036
40,37,87,87,100.0,40037
40,38,67,67,100.0,40038
40,39,87,87,100.0,40039
40,40,65,65,100.0,40040
40,41,143,143,100.0,40041
40,42,137,137,100.0,40042
40,43,92,92,100.0,40043
40,44,70,70,100.0,40044
40,45,147,147,100.0,40045
40,46,121,121,100.0,40046
40,47,79,79,100.0,40047
