ward,precinct,total,JOHN J. CULLERTON,JOHN J. CULLERTON Percent,precinct_id
2,49,46,46,100.0,02049
27,13,170,170,100.0,27013
27,16,44,44,100.0,27016
27,37,0,0,0.0,27037
27,38,81,81,100.0,27038
27,42,39,39,100.0,27042
32,7,40,40,100.0,32007
32,8,66,66,100.0,32008
32,18,57,57,100.0,32018
32,23,68,68,100.0,32023
32,32,72,72,100.0,32032
32,39,83,83,100.0,32039
32,48,59,59,100.0,32048
42,1,86,86,100.0,42001
42,2,52,52,100.0,42002
42,3,47,47,100.0,42003
42,4,76,76,100.0,42004
42,5,56,56,100.0,42005
42,6,169,169,100.0,42006
42,7,69,69,100.0,42007
42,8,74,74,100.0,42008
42,9,66,66,100.0,42009
42,10,56,56,100.0,42010
42,11,66,66,100.0,42011
42,13,160,160,100.0,42013
42,15,67,67,100.0,42015
42,16,89,89,100.0,42016
42,17,18,18,100.0,42017
42,19,61,61,100.0,42019
42,20,42,42,100.0,42020
42,22,38,38,100.0,42022
42,23,87,87,100.0,42023
42,24,101,101,100.0,42024
42,25,91,91,100.0,42025
42,27,139,139,100.0,42027
42,28,90,90,100.0,42028
42,29,64,64,100.0,42029
42,30,68,68,100.0,42030
42,31,31,31,100.0,42031
42,33,134,134,100.0,42033
42,34,62,62,100.0,42034
42,35,61,61,100.0,42035
42,36,97,97,100.0,42036
42,37,80,80,100.0,42037
42,38,87,87,100.0,42038
42,40,53,53,100.0,42040
42,41,45,45,100.0,42041
42,42,65,65,100.0,42042
42,43,96,96,100.0,42043
42,44,60,60,100.0,42044
42,45,58,58,100.0,42045
42,46,51,51,100.0,42046
42,47,59,59,100.0,42047
42,50,58,58,100.0,42050
42,51,41,41,100.0,42051
42,52,70,70,100.0,42052
42,53,68,68,100.0,42053
42,54,53,53,100.0,42054
42,55,67,67,100.0,42055
42,56,60,60,100.0,42056
42,57,45,45,100.0,42057
42,58,120,120,100.0,42058
42,59,60,60,100.0,42059
42,60,36,36,100.0,42060
42,61,15,15,100.0,42061
42,62,49,49,100.0,42062
42,63,75,75,100.0,42063
42,64,34,34,100.0,42064
42,65,34,34,100.0,42065
42,66,44,44,100.0,42066
43,1,39,39,100.0,43001
43,2,37,37,100.0,43002
43,3,39,39,100.0,43003
43,4,49,49,100.0,43004
43,5,56,56,100.0,43005
43,6,59,59,100.0,43006
43,7,57,57,100.0,43007
43,8,62,62,100.0,43008
43,9,36,36,100.0,43009
43,11,55,55,100.0,43011
43,12,81,81,100.0,43012
43,14,49,49,100.0,43014
43,15,57,57,100.0,43015
43,16,45,45,100.0,43016
43,17,67,67,100.0,43017
43,18,95,95,100.0,43018
43,19,63,63,100.0,43019
43,20,78,78,100.0,43020
43,21,31,31,100.0,43021
43,22,32,32,100.0,43022
43,23,57,57,100.0,43023
43,24,53,53,100.0,43024
43,25,52,52,100.0,43025
43,26,71,71,100.0,43026
43,27,52,52,100.0,43027
43,28,42,42,100.0,43028
43,29,45,45,100.0,43029
43,30,29,29,100.0,43030
43,32,47,47,100.0,43032
43,33,23,23,100.0,43033
43,34,34,34,100.0,43034
43,35,58,58,100.0,43035
43,36,67,67,100.0,43036
43,37,48,48,100.0,43037
43,38,38,38,100.0,43038
43,39,31,31,100.0,43039
43,40,67,67,100.0,43040
43,41,38,38,100.0,43041
43,42,49,49,100.0,43042
43,43,56,56,100.0,43043
43,44,56,56,100.0,43044
43,45,32,32,100.0,43045
43,46,61,61,100.0,43046
43,47,78,78,100.0,43047
43,48,43,43,100.0,43048
43,49,36,36,100.0,43049
43,50,47,47,100.0,43050
43,51,32,32,100.0,43051
43,52,70,70,100.0,43052
43,53,72,72,100.0,43053
43,54,20,20,100.0,43054
43,56,41,41,100.0,43056
43,57,26,26,100.0,43057
43,58,52,52,100.0,43058
43,59,103,103,100.0,43059
43,60,69,69,100.0,43060
44,1,120,120,100.0,44001
44,2,62,62,100.0,44002
44,3,105,105,100.0,44003
44,4,153,153,100.0,44004
44,5,74,74,100.0,44005
44,6,53,53,100.0,44006
44,7,117,117,100.0,44007
44,8,111,111,100.0,44008
44,9,109,109,100.0,44009
44,10,129,129,100.0,44010
44,11,79,79,100.0,44011
44,12,61,61,100.0,44012
44,14,88,88,100.0,44014
44,15,73,73,100.0,44015
44,17,92,92,100.0,44017
44,19,47,47,100.0,44019
44,20,70,70,100.0,44020
44,21,66,66,100.0,44021
44,22,52,52,100.0,44022
44,23,66,66,100.0,44023
44,24,66,66,100.0,44024
44,26,71,71,100.0,44026
44,27,82,82,100.0,44027
44,28,64,64,100.0,44028
44,29,51,51,100.0,44029
44,30,66,66,100.0,44030
44,31,78,78,100.0,44031
44,32,38,38,100.0,44032
44,33,98,98,100.0,44033
44,34,65,65,100.0,44034
44,35,94,94,100.0,44035
44,36,77,77,100.0,44036
44,37,127,127,100.0,44037
44,38,76,76,100.0,44038
44,39,74,74,100.0,44039
44,40,77,77,100.0,44040
44,41,94,94,100.0,44041
44,42,87,87,100.0,44042
44,44,127,127,100.0,44044
44,45,83,83,100.0,44045
44,46,51,51,100.0,44046
44,48,71,71,100.0,44048
44,49,73,73,100.0,44049
46,1,202,202,100.0,46001
46,3,114,114,100.0,46003
46,5,55,55,100.0,46005
46,7,123,123,100.0,46007
46,9,92,92,100.0,46009
46,10,89,89,100.0,46010
46,11,116,116,100.0,46011
46,13,102,102,100.0,46013
46,15,118,118,100.0,46015
46,17,130,130,100.0,46017
46,18,116,116,100.0,46018
46,20,80,80,100.0,46020
46,23,85,85,100.0,46023
46,24,77,77,100.0,46024
46,25,87,87,100.0,46025
46,26,123,123,100.0,46026
46,28,125,125,100.0,46028
46,29,126,126,100.0,46029
46,30,126,126,100.0,46030
46,31,111,111,100.0,46031
46,33,92,92,100.0,46033
46,34,99,99,100.0,46034
46,36,124,124,100.0,46036
46,37,99,99,100.0,46037
46,39,93,93,100.0,46039
