ward,precinct,total,ROBERT SHAW,ROBERT SHAW Percent,ANTHONY A. BEALE,ANTHONY A. BEALE Percent,VALERIA SMITH,VALERIA SMITH Percent,"REGINALD B. WILLIAMS, SR.","REGINALD B. WILLIAMS, SR. Percent",MICHAEL L. MIGUEST,MICHAEL L. MIGUEST Percent,precinct_id
9,1,268,89,33.21,168,62.69,9,3.36,2,0.75,0,0.0,09001
9,2,271,40,14.76,225,83.03,2,0.74,3,1.11,1,0.37,09002
9,3,130,73,56.15,50,38.46,5,3.85,2,1.54,0,0.0,09003
9,4,264,104,39.39,153,57.95,4,1.52,3,1.14,0,0.0,09004
9,5,227,76,33.48,142,62.56,7,3.08,2,0.88,0,0.0,09005
9,6,185,37,20.0,136,73.51,6,3.24,3,1.62,3,1.62,09006
9,7,199,64,32.16,119,59.8,10,5.03,6,3.02,0,0.0,09007
9,8,209,46,22.01,162,77.51,1,0.48,0,0.0,0,0.0,09008
9,9,249,75,30.12,164,65.86,8,3.21,0,0.0,2,0.8,09009
9,10,205,54,26.34,145,70.73,5,2.44,1,0.49,0,0.0,09010
9,11,144,82,56.94,56,38.89,2,1.39,3,2.08,1,0.69,09011
9,12,212,47,22.17,162,76.42,2,0.94,1,0.47,0,0.0,09012
9,13,296,60,20.27,230,77.7,5,1.69,1,0.34,0,0.0,09013
9,14,329,37,11.25,280,85.11,9,2.74,3,0.91,0,0.0,09014
9,15,90,41,45.56,44,48.89,1,1.11,3,3.33,1,1.11,09015
9,16,223,94,42.15,123,55.16,4,1.79,0,0.0,2,0.9,09016
9,17,208,73,35.1,130,62.5,3,1.44,2,0.96,0,0.0,09017
9,18,195,82,42.05,97,49.74,13,6.67,2,1.03,1,0.51,09018
9,19,231,67,29.0,129,55.84,29,12.55,2,0.87,4,1.73,09019
9,20,248,61,24.6,178,71.77,5,2.02,3,1.21,1,0.4,09020
9,21,166,41,24.7,124,74.7,0,0.0,1,0.6,0,0.0,09021
9,22,262,92,35.11,161,61.45,4,1.53,3,1.15,2,0.76,09022
9,23,161,46,28.57,112,69.57,2,1.24,1,0.62,0,0.0,09023
9,24,107,68,63.55,35,32.71,3,2.8,1,0.93,0,0.0,09024
9,25,118,34,28.81,80,67.8,1,0.85,1,0.85,2,1.69,09025
9,26,145,78,53.79,60,41.38,4,2.76,3,2.07,0,0.0,09026
9,27,146,55,37.67,82,56.16,3,2.05,5,3.42,1,0.68,09027
9,28,156,61,39.1,90,57.69,4,2.56,1,0.64,0,0.0,09028
9,29,194,58,29.9,130,67.01,4,2.06,2,1.03,0,0.0,09029
9,30,212,70,33.02,126,59.43,8,3.77,6,2.83,2,0.94,09030
9,31,119,33,27.73,82,68.91,3,2.52,1,0.84,0,0.0,09031
9,32,224,57,25.45,162,72.32,4,1.79,1,0.45,0,0.0,09032
9,33,158,43,27.22,110,69.62,2,1.27,2,1.27,1,0.63,09033
9,34,161,72,44.72,77,47.83,5,3.11,5,3.11,2,1.24,09034
9,35,249,26,10.44,222,89.16,1,0.4,0,0.0,0,0.0,09035
9,36,91,23,25.27,66,72.53,1,1.1,1,1.1,0,0.0,09036
9,37,221,12,5.43,203,91.86,4,1.81,0,0.0,2,0.9,09037
9,38,189,72,38.1,107,56.61,6,3.17,3,1.59,1,0.53,09038
9,39,193,59,30.57,123,63.73,6,3.11,3,1.55,2,1.04,09039
9,40,254,92,36.22,156,61.42,6,2.36,0,0.0,0,0.0,09040
9,41,272,105,38.6,163,59.93,3,1.1,1,0.37,0,0.0,09041
9,42,157,98,62.42,47,29.94,5,3.18,6,3.82,1,0.64,09042
9,43,132,39,29.55,90,68.18,3,2.27,0,0.0,0,0.0,09043
9,44,179,44,24.58,131,73.18,4,2.23,0,0.0,0,0.0,09044
9,45,248,94,37.9,147,59.27,4,1.61,3,1.21,0,0.0,09045
9,46,187,65,34.76,116,62.03,4,2.14,2,1.07,0,0.0,09046
9,47,137,44,32.12,87,63.5,3,2.19,3,2.19,0,0.0,09047
9,48,235,63,26.81,166,70.64,5,2.13,1,0.43,0,0.0,09048
9,49,112,41,36.61,69,61.61,2,1.79,0,0.0,0,0.0,09049
9,50,253,95,37.55,151,59.68,2,0.79,4,1.58,1,0.4,09050
9,51,151,59,39.07,86,56.95,4,2.65,2,1.32,0,0.0,09051
9,52,231,41,17.75,184,79.65,4,1.73,1,0.43,1,0.43,09052
