ward,precinct,total,ROBERT J. BUGIELSKI,ROBERT J. BUGIELSKI Percent,precinct_id
29,48,32,32,100.0,29048
29,53,85,85,100.0,29053
29,54,96,96,100.0,29054
30,5,71,71,100.0,30005
30,9,212,212,100.0,30009
30,10,113,113,100.0,30010
30,11,101,101,100.0,30011
30,17,65,65,100.0,30017
30,18,88,88,100.0,30018
30,19,96,96,100.0,30019
30,20,22,22,100.0,30020
30,21,25,25,100.0,30021
30,26,104,104,100.0,30026
30,27,99,99,100.0,30027
30,31,96,96,100.0,30031
30,33,63,63,100.0,30033
30,34,158,158,100.0,30034
30,35,74,74,100.0,30035
30,37,85,85,100.0,30037
30,42,104,104,100.0,30042
30,43,71,71,100.0,30043
30,45,75,75,100.0,30045
31,2,50,50,100.0,31002
31,7,51,51,100.0,31007
31,11,34,34,100.0,31011
31,21,41,41,100.0,31021
31,23,60,60,100.0,31023
31,33,57,57,100.0,31033
36,1,115,115,100.0,36001
36,2,79,79,100.0,36002
36,3,150,150,100.0,36003
36,4,34,34,100.0,36004
36,6,93,93,100.0,36006
36,7,116,116,100.0,36007
36,8,160,160,100.0,36008
36,9,153,153,100.0,36009
36,10,97,97,100.0,36010
36,11,179,179,100.0,36011
36,12,112,112,100.0,36012
36,13,284,284,100.0,36013
36,14,208,208,100.0,36014
36,15,120,120,100.0,36015
36,19,238,238,100.0,36019
36,20,150,150,100.0,36020
36,21,145,145,100.0,36021
36,23,75,75,100.0,36023
36,27,118,118,100.0,36027
36,28,85,85,100.0,36028
36,29,125,125,100.0,36029
36,30,178,178,100.0,36030
36,31,133,133,100.0,36031
36,32,121,121,100.0,36032
36,35,165,165,100.0,36035
36,36,154,154,100.0,36036
36,37,88,88,100.0,36037
36,38,80,80,100.0,36038
36,39,106,106,100.0,36039
36,40,128,128,100.0,36040
36,41,78,78,100.0,36041
36,42,92,92,100.0,36042
36,46,97,97,100.0,36046
36,48,125,125,100.0,36048
36,49,112,112,100.0,36049
36,50,229,229,100.0,36050
36,51,161,161,100.0,36051
36,52,109,109,100.0,36052
36,53,121,121,100.0,36053
36,56,93,93,100.0,36056
38,2,116,116,100.0,38002
38,3,116,116,100.0,38003
38,6,106,106,100.0,38006
38,7,147,147,100.0,38007
38,11,101,101,100.0,38011
38,14,11,11,100.0,38014
38,16,157,157,100.0,38016
38,17,133,133,100.0,38017
38,23,69,69,100.0,38023
38,29,64,64,100.0,38029
38,30,94,94,100.0,38030
38,33,100,100,100.0,38033
38,35,86,86,100.0,38035
38,36,134,134,100.0,38036
38,37,119,119,100.0,38037
38,40,79,79,100.0,38040
38,41,188,188,100.0,38041
38,42,95,95,100.0,38042
38,44,92,92,100.0,38044
38,47,101,101,100.0,38047
38,48,84,84,100.0,38048
38,52,128,128,100.0,38052
38,53,89,89,100.0,38053
38,54,118,118,100.0,38054
45,7,31,31,100.0,45007
45,31,6,6,100.0,45031
