ward,precinct,total,JAMES P. STEVENSON,JAMES P. STEVENSON Percent,precinct_id
10,2,91,91,100.0,10002
10,3,124,124,100.0,10003
10,5,89,89,100.0,10005
10,8,117,117,100.0,10008
10,9,103,103,100.0,10009
10,11,109,109,100.0,10011
10,12,96,96,100.0,10012
10,13,138,138,100.0,10013
10,15,47,47,100.0,10015
10,16,103,103,100.0,10016
10,17,98,98,100.0,10017
10,19,163,163,100.0,10019
10,20,188,188,100.0,10020
10,21,78,78,100.0,10021
10,22,31,31,100.0,10022
10,23,119,119,100.0,10023
10,24,92,92,100.0,10024
10,26,71,71,100.0,10026
10,27,131,131,100.0,10027
10,30,122,122,100.0,10030
10,31,102,102,100.0,10031
10,32,115,115,100.0,10032
10,33,96,96,100.0,10033
10,34,113,113,100.0,10034
10,35,100,100,100.0,10035
10,38,146,146,100.0,10038
10,39,120,120,100.0,10039
10,41,128,128,100.0,10041
10,42,109,109,100.0,10042
10,44,112,112,100.0,10044
10,45,127,127,100.0,10045
10,46,90,90,100.0,10046
