ward,precinct,total,NANCY A. DONAHOE,NANCY A. DONAHOE Percent,LAWRENCE A. SCORDINO,LAWRENCE A. SCORDINO Percent,ROBERT RONALD TEPPER,ROBERT RONALD TEPPER Percent,"P. SCOTT NEVILLE, JR.","P. SCOTT NEVILLE, JR. Percent",DEBORAH JEAN GUBIN,DEBORAH JEAN GUBIN Percent,JOHN JOSEPH DOWNEY,JOHN JOSEPH DOWNEY Percent,precinct_id
47,21,87,36,41.38,7,8.05,4,4.6,11,12.64,23,26.44,6,6.9,47021
47,22,110,31,28.18,13,11.82,12,10.91,10,9.09,25,22.73,19,17.27,47022
47,23,51,19,37.25,3,5.88,5,9.8,8,15.69,9,17.65,7,13.73,47023
47,24,72,26,36.11,4,5.56,8,11.11,8,11.11,19,26.39,7,9.72,47024
47,25,119,31,26.05,6,5.04,7,5.88,23,19.33,42,35.29,10,8.4,47025
47,26,136,45,33.09,8,5.88,12,8.82,18,13.24,37,27.21,16,11.76,47026
47,27,135,53,39.26,13,9.63,6,4.44,17,12.59,26,19.26,20,14.81,47027
47,28,198,77,38.89,18,9.09,13,6.57,22,11.11,42,21.21,26,13.13,47028
47,29,139,49,35.25,19,13.67,5,3.6,17,12.23,28,20.14,21,15.11,47029
47,30,75,25,33.33,6,8.0,6,8.0,8,10.67,22,29.33,8,10.67,47030
47,31,123,33,26.83,10,8.13,7,5.69,24,19.51,39,31.71,10,8.13,47031
47,32,183,54,29.51,6,3.28,11,6.01,41,22.4,45,24.59,26,14.21,47032
47,33,123,43,34.96,5,4.07,8,6.5,21,17.07,34,27.64,12,9.76,47033
47,34,133,41,30.83,8,6.02,7,5.26,35,26.32,23,17.29,19,14.29,47034
47,35,174,66,37.93,7,4.02,10,5.75,24,13.79,35,20.11,32,18.39,47035
47,36,134,42,31.34,6,4.48,12,8.96,25,18.66,34,25.37,15,11.19,47036
47,37,133,50,37.59,13,9.77,9,6.77,20,15.04,33,24.81,8,6.02,47037
47,38,135,50,37.04,12,8.89,7,5.19,21,15.56,26,19.26,19,14.07,47038
47,39,103,27,26.21,7,6.8,11,10.68,18,17.48,31,30.1,9,8.74,47039
47,40,132,50,37.88,6,4.55,6,4.55,16,12.12,37,28.03,17,12.88,47040
47,41,77,28,36.36,6,7.79,7,9.09,12,15.58,17,22.08,7,9.09,47041
47,42,164,53,32.32,4,2.44,11,6.71,32,19.51,37,22.56,27,16.46,47042
47,43,173,63,36.42,15,8.67,5,2.89,26,15.03,39,22.54,25,14.45,47043
47,44,116,37,31.9,3,2.59,14,12.07,33,28.45,11,9.48,18,15.52,47044
47,45,155,49,31.61,8,5.16,14,9.03,28,18.06,34,21.94,22,14.19,47045
48,1,116,44,37.93,7,6.03,5,4.31,22,18.97,32,27.59,6,5.17,48001
48,2,118,34,28.81,9,7.63,12,10.17,25,21.19,22,18.64,16,13.56,48002
48,3,92,33,35.87,3,3.26,4,4.35,18,19.57,25,27.17,9,9.78,48003
48,4,99,25,25.25,5,5.05,6,6.06,21,21.21,29,29.29,13,13.13,48004
48,5,116,30,25.86,7,6.03,5,4.31,21,18.1,38,32.76,15,12.93,48005
48,6,114,40,35.09,11,9.65,8,7.02,21,18.42,23,20.18,11,9.65,48006
48,7,98,24,24.49,6,6.12,12,12.24,20,20.41,23,23.47,13,13.27,48007
48,8,77,26,33.77,5,6.49,11,14.29,11,14.29,21,27.27,3,3.9,48008
48,9,81,26,32.1,5,6.17,10,12.35,16,19.75,18,22.22,6,7.41,48009
48,10,55,23,41.82,1,1.82,4,7.27,9,16.36,15,27.27,3,5.45,48010
48,11,130,40,30.77,11,8.46,6,4.62,16,12.31,52,40.0,5,3.85,48011
48,12,68,24,35.29,2,2.94,2,2.94,18,26.47,17,25.0,5,7.35,48012
48,13,87,16,18.39,8,9.2,18,20.69,9,10.34,26,29.89,10,11.49,48013
48,14,109,28,25.69,8,7.34,12,11.01,19,17.43,25,22.94,17,15.6,48014
48,15,71,26,36.62,6,8.45,6,8.45,15,21.13,13,18.31,5,7.04,48015
48,16,84,24,28.57,3,3.57,5,5.95,34,40.48,13,15.48,5,5.95,48016
48,17,90,30,33.33,3,3.33,9,10.0,21,23.33,20,22.22,7,7.78,48017
48,18,66,20,30.3,2,3.03,6,9.09,8,12.12,19,28.79,11,16.67,48018
48,19,104,36,34.62,6,5.77,5,4.81,22,21.15,22,21.15,13,12.5,48019
48,20,78,18,23.08,5,6.41,10,12.82,17,21.79,20,25.64,8,10.26,48020
48,21,109,42,38.53,9,8.26,9,8.26,12,11.01,13,11.93,24,22.02,48021
48,22,174,45,25.86,10,5.75,21,12.07,21,12.07,60,34.48,17,9.77,48022
48,23,71,17,23.94,5,7.04,6,8.45,21,29.58,20,28.17,2,2.82,48023
48,24,80,26,32.5,2,2.5,10,12.5,23,28.75,9,11.25,10,12.5,48024
48,25,76,24,31.58,3,3.95,1,1.32,17,22.37,23,30.26,8,10.53,48025
48,26,106,22,20.75,4,3.77,12,11.32,19,17.92,31,29.25,18,16.98,48026
48,27,72,23,31.94,8,11.11,2,2.78,11,15.28,17,23.61,11,15.28,48027
48,28,101,29,28.71,3,2.97,10,9.9,22,21.78,26,25.74,11,10.89,48028
48,29,114,25,21.93,6,5.26,28,24.56,5,4.39,43,37.72,7,6.14,48029
48,30,73,24,32.88,6,8.22,5,6.85,14,19.18,19,26.03,5,6.85,48030
48,31,81,25,30.86,5,6.17,1,1.23,22,27.16,17,20.99,11,13.58,48031
48,32,75,20,26.67,10,13.33,4,5.33,8,10.67,20,26.67,13,17.33,48032
48,33,93,26,27.96,4,4.3,13,13.98,11,11.83,34,36.56,5,5.38,48033
48,34,92,27,29.35,5,5.43,6,6.52,22,23.91,22,23.91,10,10.87,48034
48,35,72,20,27.78,9,12.5,5,6.94,13,18.06,15,20.83,10,13.89,48035
48,36,88,29,32.95,4,4.55,10,11.36,14,15.91,23,26.14,8,9.09,48036
48,37,102,46,45.1,6,5.88,9,8.82,15,14.71,14,13.73,12,11.76,48037
48,38,117,48,41.03,4,3.42,7,5.98,21,17.95,24,20.51,13,11.11,48038
