ward,precinct,total,JESSE D. GRANATO,JESSE D. GRANATO Percent,precinct_id
1,1,113,113,100.0,01001
1,2,112,112,100.0,01002
1,3,63,63,100.0,01003
1,4,94,94,100.0,01004
1,5,81,81,100.0,01005
1,6,98,98,100.0,01006
1,7,105,105,100.0,01007
1,8,91,91,100.0,01008
1,9,127,127,100.0,01009
1,10,106,106,100.0,01010
1,11,81,81,100.0,01011
1,12,132,132,100.0,01012
1,13,102,102,100.0,01013
1,14,95,95,100.0,01014
1,15,101,101,100.0,01015
1,16,109,109,100.0,01016
1,17,105,105,100.0,01017
1,18,134,134,100.0,01018
1,19,111,111,100.0,01019
1,20,81,81,100.0,01020
1,21,127,127,100.0,01021
1,22,64,64,100.0,01022
1,23,186,186,100.0,01023
1,24,119,119,100.0,01024
1,25,147,147,100.0,01025
1,26,227,227,100.0,01026
1,27,93,93,100.0,01027
1,28,33,33,100.0,01028
1,29,143,143,100.0,01029
1,30,131,131,100.0,01030
1,31,29,29,100.0,01031
1,32,118,118,100.0,01032
1,33,152,152,100.0,01033
1,34,14,14,100.0,01034
1,35,34,34,100.0,01035
1,36,87,87,100.0,01036
