ward,precinct,total,LORETTA EADIE-DANIELS,LORETTA EADIE-DANIELS Percent,JOANNE SIMBOLI HODGE,JOANNE SIMBOLI HODGE Percent,PAULA M. LINGO,PAULA M. LINGO Percent,ANGELA W. RICHARDSON,ANGELA W. RICHARDSON Percent,CASANDRA LEWIS,CASANDRA LEWIS Percent,HILDA R. WHITTINGTON,HILDA R. WHITTINGTON Percent,PAUL A. BRADY,PAUL A. BRADY Percent,"ROBERT L. """"BOB"""" ANDERSON","ROBERT L. """"BOB"""" ANDERSON Percent",precinct_id
2,2,249,38,15.26,13,5.22,59,23.69,33,13.25,22,8.84,50,20.08,8,3.21,26,10.44,02002
2,6,67,15,22.39,1,1.49,5,7.46,18,26.87,10,14.93,6,8.96,5,7.46,7,10.45,02006
2,12,185,16,8.65,6,3.24,94,50.81,13,7.03,12,6.49,9,4.86,6,3.24,29,15.68,02012
2,13,225,37,16.44,5,2.22,45,20.0,46,20.44,24,10.67,37,16.44,13,5.78,18,8.0,02013
2,14,117,24,20.51,4,3.42,20,17.09,20,17.09,22,18.8,8,6.84,8,6.84,11,9.4,02014
2,16,78,11,14.1,4,5.13,9,11.54,22,28.21,5,6.41,8,10.26,10,12.82,9,11.54,02016
2,18,207,38,18.36,9,4.35,68,32.85,24,11.59,19,9.18,9,4.35,9,4.35,31,14.98,02018
2,20,155,27,17.42,7,4.52,46,29.68,24,15.48,16,10.32,10,6.45,11,7.1,14,9.03,02020
2,21,148,27,18.24,4,2.7,45,30.41,19,12.84,15,10.14,8,5.41,7,4.73,23,15.54,02021
2,24,78,11,14.1,2,2.56,28,35.9,8,10.26,8,10.26,3,3.85,7,8.97,11,14.1,02024
2,29,65,13,20.0,3,4.62,4,6.15,10,15.38,7,10.77,6,9.23,7,10.77,15,23.08,02029
2,31,165,43,26.06,7,4.24,35,21.21,24,14.55,27,16.36,3,1.82,7,4.24,19,11.52,02031
2,33,205,29,14.15,19,9.27,36,17.56,50,24.39,25,12.2,17,8.29,3,1.46,26,12.68,02033
2,44,138,20,14.49,6,4.35,52,37.68,20,14.49,12,8.7,8,5.8,5,3.62,15,10.87,02044
2,45,67,13,19.4,0,0.0,19,28.36,10,14.93,9,13.43,7,10.45,0,0.0,9,13.43,02045
2,46,262,29,11.07,11,4.2,122,46.56,23,8.78,24,9.16,13,4.96,7,2.67,33,12.6,02046
2,47,94,25,26.6,5,5.32,8,8.51,22,23.4,10,10.64,6,6.38,3,3.19,15,15.96,02047
2,48,166,31,18.67,11,6.63,32,19.28,30,18.07,29,17.47,9,5.42,7,4.22,17,10.24,02048
3,1,144,44,30.56,8,5.56,13,9.03,19,13.19,23,15.97,4,2.78,12,8.33,21,14.58,03001
3,2,172,61,35.47,6,3.49,35,20.35,21,12.21,14,8.14,11,6.4,8,4.65,16,9.3,03002
3,3,38,11,28.95,0,0.0,3,7.89,9,23.68,6,15.79,1,2.63,5,13.16,3,7.89,03003
3,4,56,12,21.43,3,5.36,4,7.14,11,19.64,6,10.71,7,12.5,5,8.93,8,14.29,03004
3,5,41,12,29.27,4,9.76,6,14.63,7,17.07,2,4.88,4,9.76,3,7.32,3,7.32,03005
3,6,31,9,29.03,1,3.23,4,12.9,5,16.13,3,9.68,5,16.13,2,6.45,2,6.45,03006
