ward,precinct,total,JOHN A. FRITCHEY,JOHN A. FRITCHEY Percent,precinct_id
1,21,0,0,0.0,01021
26,1,49,49,100.0,26001
26,7,34,34,100.0,26007
26,8,25,25,100.0,26008
26,11,81,81,100.0,26011
26,13,69,69,100.0,26013
26,16,49,49,100.0,26016
26,19,83,83,100.0,26019
26,25,93,93,100.0,26025
26,30,79,79,100.0,26030
26,32,51,51,100.0,26032
26,34,74,74,100.0,26034
26,37,56,56,100.0,26037
27,37,1,1,100.0,27037
32,4,120,120,100.0,32004
32,5,55,55,100.0,32005
32,7,6,6,100.0,32007
32,9,109,109,100.0,32009
32,10,35,35,100.0,32010
32,13,51,51,100.0,32013
32,15,54,54,100.0,32015
32,16,84,84,100.0,32016
32,20,54,54,100.0,32020
32,21,86,86,100.0,32021
32,22,75,75,100.0,32022
32,24,68,68,100.0,32024
32,25,72,72,100.0,32025
32,27,44,44,100.0,32027
32,28,45,45,100.0,32028
32,29,89,89,100.0,32029
32,30,84,84,100.0,32030
32,31,71,71,100.0,32031
32,33,74,74,100.0,32033
32,34,86,86,100.0,32034
32,35,135,135,100.0,32035
32,36,104,104,100.0,32036
32,37,54,54,100.0,32037
32,38,96,96,100.0,32038
32,40,59,59,100.0,32040
32,41,75,75,100.0,32041
32,42,97,97,100.0,32042
32,43,67,67,100.0,32043
32,44,61,61,100.0,32044
32,45,93,93,100.0,32045
32,46,14,14,100.0,32046
33,1,112,112,100.0,33001
33,2,238,238,100.0,33002
33,3,89,89,100.0,33003
33,4,178,178,100.0,33004
33,6,143,143,100.0,33006
33,7,181,181,100.0,33007
33,13,141,141,100.0,33013
33,20,110,110,100.0,33020
33,21,107,107,100.0,33021
33,22,224,224,100.0,33022
33,23,173,173,100.0,33023
33,24,130,130,100.0,33024
33,25,235,235,100.0,33025
33,26,101,101,100.0,33026
33,27,252,252,100.0,33027
33,28,103,103,100.0,33028
33,32,25,25,100.0,33032
33,33,101,101,100.0,33033
33,35,145,145,100.0,33035
33,36,158,158,100.0,33036
33,38,50,50,100.0,33038
35,1,87,87,100.0,35001
35,5,88,88,100.0,35005
35,18,99,99,100.0,35018
39,22,36,36,100.0,39022
39,27,34,34,100.0,39027
43,10,32,32,100.0,43010
43,13,29,29,100.0,43013
43,31,69,69,100.0,43031
44,43,84,84,100.0,44043
44,47,67,67,100.0,44047
47,4,205,205,100.0,47004
47,7,161,161,100.0,47007
47,9,165,165,100.0,47009
47,13,10,10,100.0,47013
47,16,101,101,100.0,47016
