ward,precinct,total,MARK MCGUIRE,MARK MCGUIRE Percent,MARTHA A. MILLS,MARTHA A. MILLS Percent,DENNIS J. BURKE,DENNIS J. BURKE Percent,MICHAEL THOMAS O'MALLEY,MICHAEL THOMAS O'MALLEY Percent,ROSEMARY GRANT HIGGINS,ROSEMARY GRANT HIGGINS Percent,precinct_id
1,1,85,25,29.41,14,16.47,12,14.12,19,22.35,9,10.59,01001
1,2,120,24,20.0,29,24.17,12,10.0,21,17.5,20,16.67,01002
1,3,67,11,16.42,15,22.39,12,17.91,10,14.93,10,14.93,01003
1,4,103,31,30.1,27,26.21,7,6.8,16,15.53,17,16.5,01004
1,5,85,10,11.76,24,28.24,5,5.88,16,18.82,23,27.06,01005
1,6,70,11,15.71,13,18.57,4,5.71,18,25.71,13,18.57,01006
1,7,120,17,14.17,33,27.5,8,6.67,26,21.67,19,15.83,01007
1,8,72,14,19.44,13,18.06,8,11.11,15,20.83,15,20.83,01008
1,9,146,28,19.18,17,11.64,20,13.7,33,22.6,20,13.7,01009
1,10,116,14,12.07,32,27.59,18,15.52,13,11.21,27,23.28,01010
1,11,67,11,16.42,12,17.91,5,7.46,20,29.85,11,16.42,01011
1,12,178,32,17.98,31,17.42,18,10.11,38,21.35,45,25.28,01012
1,13,87,16,18.39,8,9.2,12,13.79,28,32.18,16,18.39,01013
1,14,84,18,21.43,10,11.9,9,10.71,24,28.57,19,22.62,01014
1,15,96,22,22.92,16,16.67,12,12.5,17,17.71,20,20.83,01015
1,16,82,11,13.41,15,18.29,8,9.76,22,26.83,22,26.83,01016
1,17,97,13,13.4,27,27.84,8,8.25,24,24.74,21,21.65,01017
1,18,121,26,21.49,28,23.14,13,10.74,28,23.14,16,13.22,01018
1,19,87,13,14.94,10,11.49,6,6.9,32,36.78,19,21.84,01019
1,20,78,15,19.23,15,19.23,6,7.69,16,20.51,20,25.64,01020
1,21,135,26,19.26,24,17.78,16,11.85,13,9.63,38,28.15,01021
1,22,63,9,14.29,11,17.46,3,4.76,25,39.68,7,11.11,01022
1,23,185,31,16.76,30,16.22,19,10.27,40,21.62,40,21.62,01023
1,24,98,22,22.45,12,12.24,11,11.22,26,26.53,18,18.37,01024
1,25,127,22,17.32,23,18.11,16,12.6,25,19.69,29,22.83,01025
1,26,190,32,16.84,34,17.89,17,8.95,47,24.74,40,21.05,01026
1,27,86,14,16.28,16,18.6,9,10.47,22,25.58,20,23.26,01027
1,28,23,4,17.39,4,17.39,1,4.35,5,21.74,6,26.09,01028
1,29,160,22,13.75,32,20.0,14,8.75,43,26.88,28,17.5,01029
1,30,105,26,24.76,15,14.29,14,13.33,19,18.1,16,15.24,01030
1,31,28,1,3.57,7,25.0,2,7.14,5,17.86,10,35.71,01031
1,32,109,26,23.85,14,12.84,8,7.34,25,22.94,22,20.18,01032
1,33,160,29,18.13,36,22.5,17,10.63,36,22.5,22,13.75,01033
1,34,12,0,0.0,8,66.67,1,8.33,1,8.33,1,8.33,01034
1,35,31,6,19.35,5,16.13,2,6.45,5,16.13,5,16.13,01035
1,36,105,23,21.9,23,21.9,9,8.57,27,25.71,17,16.19,01036
2,1,93,11,11.83,17,18.28,13,13.98,22,23.66,19,20.43,02001
2,2,215,29,13.49,43,20.0,15,6.98,22,10.23,79,36.74,02002
2,3,88,11,12.5,17,19.32,11,12.5,17,19.32,21,23.86,02003
2,4,22,7,31.82,2,9.09,2,9.09,5,22.73,3,13.64,02004
2,5,52,5,9.62,4,7.69,6,11.54,13,25.0,13,25.0,02005
2,6,66,10,15.15,12,18.18,11,16.67,12,18.18,11,16.67,02006
2,7,164,26,15.85,30,18.29,17,10.37,25,15.24,51,31.1,02007
2,8,139,20,14.39,32,23.02,19,13.67,15,10.79,41,29.5,02008
2,9,60,12,20.0,8,13.33,8,13.33,17,28.33,6,10.0,02009
2,10,67,10,14.93,7,10.45,10,14.93,18,26.87,13,19.4,02010
2,11,208,23,11.06,61,29.33,35,16.83,31,14.9,42,20.19,02011
2,12,130,16,12.31,21,16.15,18,13.85,13,10.0,38,29.23,02012
2,13,195,26,13.33,35,17.95,14,7.18,20,10.26,65,33.33,02013
2,14,107,10,9.35,23,21.5,9,8.41,10,9.35,44,41.12,02014
2,15,35,6,17.14,6,17.14,4,11.43,8,22.86,7,20.0,02015
2,16,72,12,16.67,8,11.11,12,16.67,10,13.89,24,33.33,02016
2,17,97,14,14.43,19,19.59,8,8.25,23,23.71,24,24.74,02017
2,18,176,27,15.34,35,19.89,18,10.23,30,17.05,25,14.2,02018
2,19,60,12,20.0,11,18.33,9,15.0,17,28.33,7,11.67,02019
2,20,135,18,13.33,20,14.81,11,8.15,17,12.59,29,21.48,02020
2,21,134,23,17.16,21,15.67,12,8.96,17,12.69,29,21.64,02021
2,22,176,13,7.39,45,25.57,37,21.02,17,9.66,45,25.57,02022
2,23,53,12,22.64,7,13.21,5,9.43,7,13.21,16,30.19,02023
2,24,71,13,18.31,12,16.9,4,5.63,13,18.31,16,22.54,02024
2,25,33,3,9.09,3,9.09,4,12.12,7,21.21,9,27.27,02025
2,26,77,14,18.18,11,14.29,7,9.09,15,19.48,18,23.38,02026
2,27,24,5,20.83,4,16.67,2,8.33,7,29.17,3,12.5,02027
2,28,139,28,20.14,24,17.27,17,12.23,23,16.55,30,21.58,02028
2,29,63,16,25.4,15,23.81,6,9.52,15,23.81,9,14.29,02029
2,30,89,13,14.61,15,16.85,7,7.87,21,23.6,14,15.73,02030
2,31,149,19,12.75,34,22.82,13,8.72,12,8.05,47,31.54,02031
2,32,71,11,15.49,10,14.08,11,15.49,13,18.31,11,15.49,02032
2,33,201,19,9.45,40,19.9,15,7.46,21,10.45,80,39.8,02033
2,34,86,13,15.12,13,15.12,10,11.63,18,20.93,22,25.58,02034
2,35,23,6,26.09,2,8.7,4,17.39,3,13.04,7,30.43,02035
2,36,62,14,22.58,9,14.52,7,11.29,13,20.97,11,17.74,02036
2,37,74,5,6.76,24,32.43,15,20.27,5,6.76,18,24.32,02037
2,38,102,15,14.71,21,20.59,11,10.78,16,15.69,22,21.57,02038
2,39,87,14,16.09,12,13.79,8,9.2,16,18.39,20,22.99,02039
2,40,111,21,18.92,22,19.82,11,9.91,14,12.61,30,27.03,02040
2,41,46,9,19.57,5,10.87,6,13.04,11,23.91,9,19.57,02041
2,42,32,5,15.63,9,28.13,5,15.63,4,12.5,6,18.75,02042
2,43,160,11,6.88,39,24.38,30,18.75,23,14.38,41,25.63,02043
2,44,140,13,9.29,25,17.86,14,10.0,16,11.43,37,26.43,02044
2,45,50,7,14.0,12,24.0,5,10.0,7,14.0,13,26.0,02045
2,46,208,33,15.87,56,26.92,20,9.62,21,10.1,59,28.37,02046
2,47,90,12,13.33,17,18.89,9,10.0,5,5.56,32,35.56,02047
2,48,158,16,10.13,36,22.78,14,8.86,13,8.23,55,34.81,02048
2,49,44,6,13.64,15,34.09,6,13.64,10,22.73,4,9.09,02049
2,50,64,7,10.94,11,17.19,7,10.94,17,26.56,15,23.44,02050
2,51,87,19,21.84,12,13.79,14,16.09,19,21.84,12,13.79,02051
2,52,86,9,10.47,20,23.26,11,12.79,13,15.12,28,32.56,02052
2,53,57,10,17.54,7,12.28,4,7.02,14,24.56,13,22.81,02053
2,54,124,12,9.68,37,29.84,13,10.48,23,18.55,26,20.97,02054
3,1,134,23,17.16,23,17.16,15,11.19,22,16.42,27,20.15,03001
3,2,175,21,12.0,25,14.29,11,6.29,19,10.86,59,33.71,03002
3,3,35,6,17.14,3,8.57,6,17.14,6,17.14,10,28.57,03003
3,4,55,7,12.73,8,14.55,5,9.09,10,18.18,17,30.91,03004
3,5,42,5,11.9,4,9.52,5,11.9,10,23.81,11,26.19,03005
3,6,30,7,23.33,5,16.67,6,20.0,4,13.33,2,6.67,03006
3,7,15,2,13.33,1,6.67,1,6.67,6,40.0,3,20.0,03007
3,8,51,7,13.73,5,9.8,11,21.57,12,23.53,9,17.65,03008
3,9,74,11,14.86,16,21.62,11,14.86,8,10.81,19,25.68,03009
3,10,121,19,15.7,15,12.4,13,10.74,16,13.22,33,27.27,03010
3,11,58,7,12.07,3,5.17,8,13.79,8,13.79,15,25.86,03011
3,12,85,12,14.12,10,11.76,12,14.12,14,16.47,14,16.47,03012
3,13,26,2,7.69,3,11.54,6,23.08,1,3.85,5,19.23,03013
3,14,50,10,20.0,12,24.0,4,8.0,8,16.0,8,16.0,03014
3,15,70,12,17.14,8,11.43,11,15.71,16,22.86,13,18.57,03015
3,16,145,15,10.34,20,13.79,6,4.14,10,6.9,28,19.31,03016
3,17,65,10,15.38,11,16.92,6,9.23,3,4.62,16,24.62,03017
3,18,69,5,7.25,10,14.49,8,11.59,13,18.84,18,26.09,03018
3,19,50,10,20.0,12,24.0,6,12.0,7,14.0,8,16.0,03019
3,20,37,7,18.92,3,8.11,8,21.62,9,24.32,2,5.41,03020
3,21,61,6,9.84,11,18.03,6,9.84,4,6.56,10,16.39,03021
3,22,74,16,21.62,10,13.51,7,9.46,8,10.81,19,25.68,03022
3,23,26,2,7.69,7,26.92,4,15.38,5,19.23,3,11.54,03023
3,24,99,13,13.13,14,14.14,7,7.07,19,19.19,26,26.26,03024
3,25,22,2,9.09,5,22.73,4,18.18,3,13.64,6,27.27,03025
3,26,52,11,21.15,6,11.54,5,9.62,4,7.69,21,40.38,03026
3,27,15,3,20.0,0,0.0,1,6.67,5,33.33,4,26.67,03027
3,28,94,6,6.38,23,24.47,7,7.45,8,8.51,30,31.91,03028
