ward,precinct,total,"PATRICIA """"P.J."""" CULLERTON","PATRICIA """"P.J."""" CULLERTON Percent",precinct_id
38,1,106,87,82.08,38001
38,2,140,99,70.71,38002
38,3,141,123,87.23,38003
38,4,58,44,75.86,38004
38,5,155,111,71.61,38005
38,6,130,100,76.92,38006
38,7,191,158,82.72,38007
38,8,134,110,82.09,38008
38,9,106,64,60.38,38009
38,10,137,112,81.75,38010
38,11,128,96,75.0,38011
38,12,107,82,76.64,38012
38,13,91,57,62.64,38013
38,14,134,95,70.9,38014
38,15,117,94,80.34,38015
38,16,202,190,94.06,38016
38,17,167,138,82.63,38017
38,18,136,106,77.94,38018
38,19,112,74,66.07,38019
38,20,99,72,72.73,38020
38,21,119,85,71.43,38021
38,22,138,94,68.12,38022
38,23,97,71,73.2,38023
38,24,78,59,75.64,38024
38,25,148,101,68.24,38025
38,26,106,84,79.25,38026
38,27,73,42,57.53,38027
38,28,93,72,77.42,38028
38,29,79,53,67.09,38029
38,30,104,85,81.73,38030
38,31,131,93,70.99,38031
38,32,133,99,74.44,38032
38,33,124,91,73.39,38033
38,34,107,81,75.7,38034
38,35,124,98,79.03,38035
38,36,168,147,87.5,38036
38,37,160,116,72.5,38037
38,38,113,83,73.45,38038
38,39,123,92,74.8,38039
38,40,94,73,77.66,38040
38,41,224,196,87.5,38041
38,42,146,106,72.6,38042
38,43,134,94,70.15,38043
38,44,110,73,66.36,38044
38,45,163,135,82.82,38045
38,46,130,101,77.69,38046
38,47,128,112,87.5,38047
38,48,123,83,67.48,38048
38,49,103,79,76.7,38049
38,50,173,116,67.05,38050
38,51,120,88,73.33,38051
38,52,163,136,83.44,38052
38,53,101,63,62.38,38053
38,54,136,110,80.88,38054
38,55,257,195,75.88,38055
38,56,116,85,73.28,38056
