ward,precinct,total,EDWARD M. BURKE,EDWARD M. BURKE Percent,precinct_id
14,1,88,88,100.0,14001
14,2,106,106,100.0,14002
14,3,181,181,100.0,14003
14,4,95,95,100.0,14004
14,5,208,208,100.0,14005
14,6,143,143,100.0,14006
14,7,153,153,100.0,14007
14,8,121,121,100.0,14008
14,9,153,153,100.0,14009
14,10,52,52,100.0,14010
14,11,148,148,100.0,14011
14,12,104,104,100.0,14012
14,13,109,109,100.0,14013
14,14,95,95,100.0,14014
14,15,50,50,100.0,14015
14,16,128,128,100.0,14016
14,17,89,89,100.0,14017
14,18,98,98,100.0,14018
14,19,195,195,100.0,14019
14,20,80,80,100.0,14020
14,21,196,196,100.0,14021
14,22,181,181,100.0,14022
14,23,129,129,100.0,14023
14,24,115,115,100.0,14024
14,25,95,95,100.0,14025
14,26,119,119,100.0,14026
14,27,226,226,100.0,14027
14,28,110,110,100.0,14028
14,29,192,192,100.0,14029
14,30,131,131,100.0,14030
14,31,131,131,100.0,14031
14,32,124,124,100.0,14032
14,33,125,125,100.0,14033
14,34,125,125,100.0,14034
14,35,68,68,100.0,14035
14,36,155,155,100.0,14036
14,37,121,121,100.0,14037
14,38,120,120,100.0,14038
14,39,122,122,100.0,14039
14,40,110,110,100.0,14040
14,41,205,205,100.0,14041
14,42,111,111,100.0,14042
14,43,154,154,100.0,14043
14,44,150,150,100.0,14044
14,45,121,121,100.0,14045
14,46,207,207,100.0,14046
14,47,263,263,100.0,14047
14,48,82,82,100.0,14048
