ward,precinct,total,LARRY MCKEON,LARRY MCKEON Percent,precinct_id
32,19,140,140,100.0,32019
33,8,103,103,100.0,33008
33,9,106,106,100.0,33009
33,11,121,121,100.0,33011
40,6,61,61,100.0,40006
44,13,80,80,100.0,44013
44,16,57,57,100.0,44016
44,18,32,32,100.0,44018
44,25,61,61,100.0,44025
44,50,59,59,100.0,44050
46,2,88,88,100.0,46002
46,4,88,88,100.0,46004
46,6,66,66,100.0,46006
46,8,74,74,100.0,46008
46,12,121,121,100.0,46012
46,14,74,74,100.0,46014
46,16,146,146,100.0,46016
46,19,126,126,100.0,46019
46,21,14,14,100.0,46021
46,22,76,76,100.0,46022
46,27,125,125,100.0,46027
46,32,141,141,100.0,46032
46,35,110,110,100.0,46035
46,38,70,70,100.0,46038
47,2,220,220,100.0,47002
47,3,150,150,100.0,47003
47,5,95,95,100.0,47005
47,6,185,185,100.0,47006
47,8,195,195,100.0,47008
47,10,139,139,100.0,47010
47,12,166,166,100.0,47012
47,13,182,182,100.0,47013
47,14,203,203,100.0,47014
47,15,92,92,100.0,47015
47,17,159,159,100.0,47017
47,18,141,141,100.0,47018
47,19,165,165,100.0,47019
47,20,148,148,100.0,47020
47,21,107,107,100.0,47021
47,22,113,113,100.0,47022
47,24,95,95,100.0,47024
47,25,132,132,100.0,47025
47,26,139,139,100.0,47026
47,27,132,132,100.0,47027
47,28,232,232,100.0,47028
47,29,137,137,100.0,47029
47,31,139,139,100.0,47031
47,32,198,198,100.0,47032
47,33,136,136,100.0,47033
47,34,140,140,100.0,47034
47,35,190,190,100.0,47035
47,36,138,138,100.0,47036
47,37,152,152,100.0,47037
47,38,147,147,100.0,47038
47,39,127,127,100.0,47039
47,40,139,139,100.0,47040
47,41,76,76,100.0,47041
47,42,172,172,100.0,47042
47,43,189,189,100.0,47043
47,44,113,113,100.0,47044
47,45,157,157,100.0,47045
48,4,103,103,100.0,48004
48,17,92,92,100.0,48017
48,20,82,82,100.0,48020
48,21,109,109,100.0,48021
48,23,81,81,100.0,48023
48,24,93,93,100.0,48024
48,25,70,70,100.0,48025
48,34,92,92,100.0,48034
48,35,74,74,100.0,48035
48,40,102,102,100.0,48040
