ward,precinct,total,RAYMOND L. HARRIS (GORE),RAYMOND L. HARRIS (GORE) Percent,JOHN J. GEAREN (BRADLEY),JOHN J. GEAREN (BRADLEY) Percent,precinct_id
1,6,56,43,76.79,13,23.21,01006
1,28,19,16,84.21,3,15.79,01028
1,34,10,9,90.0,1,10.0,01034
1,35,27,23,85.19,4,14.81,01035
2,1,79,55,69.62,24,30.38,02001
2,3,79,65,82.28,14,17.72,02003
2,4,17,16,94.12,1,5.88,02004
2,5,39,33,84.62,6,15.38,02005
2,7,149,137,91.95,12,8.05,02007
2,8,121,101,83.47,20,16.53,02008
2,9,53,42,79.25,11,20.75,02009
2,10,60,57,95.0,3,5.0,02010
2,11,175,138,78.86,37,21.14,02011
2,15,27,21,77.78,6,22.22,02015
2,17,70,64,91.43,6,8.57,02017
2,19,43,37,86.05,6,13.95,02019
2,22,172,126,73.26,46,26.74,02022
2,23,73,62,84.93,11,15.07,02023
2,25,31,28,90.32,3,9.68,02025
2,26,63,57,90.48,6,9.52,02026
2,27,14,12,85.71,2,14.29,02027
2,28,123,115,93.5,8,6.5,02028
2,30,72,66,91.67,6,8.33,02030
2,32,50,38,76.0,12,24.0,02032
2,34,58,55,94.83,3,5.17,02034
2,35,19,16,84.21,3,15.79,02035
2,36,56,52,92.86,4,7.14,02036
2,37,66,50,75.76,16,24.24,02037
2,38,81,70,86.42,11,13.58,02038
2,39,75,67,89.33,8,10.67,02039
2,40,102,79,77.45,23,22.55,02040
2,41,36,33,91.67,3,8.33,02041
2,42,33,29,87.88,4,12.12,02042
2,43,139,109,78.42,30,21.58,02043
2,49,43,35,81.4,8,18.6,02049
2,51,70,64,91.43,6,8.57,02051
2,52,88,74,84.09,14,15.91,02052
2,53,48,40,83.33,8,16.67,02053
2,54,114,87,76.32,27,23.68,02054
3,1,131,119,90.84,12,9.16,03001
3,4,51,40,78.43,11,21.57,03004
3,5,36,33,91.67,3,8.33,03005
3,7,16,11,68.75,5,31.25,03007
3,8,38,32,84.21,6,15.79,03008
3,10,112,103,91.96,9,8.04,03010
3,11,58,52,89.66,6,10.34,03011
3,12,81,72,88.89,9,11.11,03012
3,13,18,17,94.44,1,5.56,03013
3,14,37,33,89.19,4,10.81,03014
3,15,73,65,89.04,8,10.96,03015
3,16,140,130,92.86,10,7.14,03016
3,17,70,64,91.43,6,8.57,03017
3,18,67,56,83.58,11,16.42,03018
3,19,42,38,90.48,4,9.52,03019
3,20,26,22,84.62,4,15.38,03020
3,21,47,44,93.62,3,6.38,03021
3,22,70,66,94.29,4,5.71,03022
3,26,67,61,91.04,6,8.96,03026
3,29,11,9,81.82,2,18.18,03029
3,30,94,85,90.43,9,9.57,03030
3,31,76,72,94.74,4,5.26,03031
3,32,95,87,91.58,8,8.42,03032
3,35,69,60,86.96,9,13.04,03035
3,37,77,70,90.91,7,9.09,03037
3,40,74,66,89.19,8,10.81,03040
3,43,16,15,93.75,1,6.25,03043
3,46,11,11,100.0,0,0.0,03046
3,47,73,72,98.63,1,1.37,03047
3,48,65,59,90.77,6,9.23,03048
3,49,60,53,88.33,7,11.67,03049
3,50,80,73,91.25,7,8.75,03050
3,52,103,93,90.29,10,9.71,03052
4,8,173,159,91.91,14,8.09,04008
11,12,4,3,75.0,1,25.0,11012
11,13,85,61,71.76,24,28.24,11013
11,34,58,45,77.59,13,22.41,11034
11,35,12,10,83.33,2,16.67,11035
11,37,21,11,52.38,10,47.62,11037
11,38,130,92,70.77,38,29.23,11038
11,39,124,97,78.23,27,21.77,11039
11,40,77,54,70.13,23,29.87,11040
11,41,68,57,83.82,11,16.18,11041
11,42,47,39,82.98,8,17.02,11042
11,43,86,63,73.26,23,26.74,11043
11,45,72,53,73.61,19,26.39,11045
11,46,25,21,84.0,4,16.0,11046
11,47,77,63,81.82,14,18.18,11047
11,48,52,34,65.38,18,34.62,11048
11,49,70,56,80.0,14,20.0,11049
11,50,35,27,77.14,8,22.86,11050
11,52,84,63,75.0,21,25.0,11052
11,53,53,40,75.47,13,24.53,11053
11,54,0,0,0.0,0,0.0,11054
12,19,0,0,0.0,0,0.0,12019
16,16,35,32,91.43,3,8.57,16016
16,17,27,25,92.59,2,7.41,16017
16,18,42,40,95.24,2,4.76,16018
20,4,89,85,95.51,4,4.49,20004
20,8,64,61,95.31,3,4.69,20008
20,15,80,77,96.25,3,3.75,20015
20,21,71,62,87.32,9,12.68,20021
20,27,35,33,94.29,2,5.71,20027
20,31,59,55,93.22,4,6.78,20031
20,48,51,51,100.0,0,0.0,20048
22,7,72,69,95.83,3,4.17,22007
22,8,104,96,92.31,8,7.69,22008
22,12,80,70,87.5,10,12.5,22012
22,20,59,51,86.44,8,13.56,22020
22,21,122,113,92.62,9,7.38,22021
22,28,105,97,92.38,8,7.62,22028
24,1,80,67,83.75,13,16.25,24001
24,2,77,68,88.31,9,11.69,24002
24,3,60,56,93.33,4,6.67,24003
24,4,75,63,84.0,12,16.0,24004
24,5,70,59,84.29,11,15.71,24005
24,6,100,89,89.0,11,11.0,24006
24,7,92,86,93.48,6,6.52,24007
24,8,92,85,92.39,7,7.61,24008
24,9,87,81,93.1,6,6.9,24009
24,10,83,80,96.39,3,3.61,24010
24,11,31,30,96.77,1,3.23,24011
24,12,48,44,91.67,4,8.33,24012
24,13,58,48,82.76,10,17.24,24013
24,14,82,66,80.49,16,19.51,24014
24,15,65,57,87.69,8,12.31,24015
24,16,69,60,86.96,9,13.04,24016
24,17,90,81,90.0,9,10.0,24017
24,18,52,46,88.46,6,11.54,24018
24,19,59,56,94.92,3,5.08,24019
24,20,82,73,89.02,9,10.98,24020
