ward,precinct,total,WILLIAM O. LIPINSKI,WILLIAM O. LIPINSKI Percent,precinct_id
23,1,144,144,100.0,23001
23,2,218,218,100.0,23002
23,3,159,159,100.0,23003
23,4,137,137,100.0,23004
23,5,141,141,100.0,23005
23,6,195,195,100.0,23006
23,7,89,89,100.0,23007
23,8,157,157,100.0,23008
23,9,85,85,100.0,23009
23,10,222,222,100.0,23010
23,11,185,185,100.0,23011
23,12,105,105,100.0,23012
23,13,243,243,100.0,23013
23,14,151,151,100.0,23014
23,15,161,161,100.0,23015
23,16,163,163,100.0,23016
23,17,193,193,100.0,23017
23,18,145,145,100.0,23018
23,19,198,198,100.0,23019
23,20,168,168,100.0,23020
23,21,125,125,100.0,23021
23,22,106,106,100.0,23022
23,23,110,110,100.0,23023
23,24,98,98,100.0,23024
23,25,125,125,100.0,23025
23,26,168,168,100.0,23026
23,27,101,101,100.0,23027
23,28,168,168,100.0,23028
23,29,128,128,100.0,23029
23,30,195,195,100.0,23030
23,31,169,169,100.0,23031
23,32,174,174,100.0,23032
23,33,227,227,100.0,23033
23,34,134,134,100.0,23034
23,35,97,97,100.0,23035
23,36,175,175,100.0,23036
23,37,82,82,100.0,23037
23,38,157,157,100.0,23038
23,39,165,165,100.0,23039
23,40,173,173,100.0,23040
23,41,128,128,100.0,23041
23,42,151,151,100.0,23042
23,43,175,175,100.0,23043
23,44,210,210,100.0,23044
23,45,156,156,100.0,23045
23,46,146,146,100.0,23046
23,47,210,210,100.0,23047
23,48,146,146,100.0,23048
23,49,115,115,100.0,23049
23,50,120,120,100.0,23050
23,51,166,166,100.0,23051
23,52,192,192,100.0,23052
23,53,114,114,100.0,23053
23,54,206,206,100.0,23054
23,55,203,203,100.0,23055
23,56,152,152,100.0,23056
23,57,148,148,100.0,23057
23,58,246,246,100.0,23058
23,59,125,125,100.0,23059
23,60,165,165,100.0,23060
23,61,152,152,100.0,23061
23,62,158,158,100.0,23062
