ward,precinct,total,MERCEDES MALLETTE (GORE),MERCEDES MALLETTE (GORE) Percent,CHRISTA H. DAVITO (BRADLEY),CHRISTA H. DAVITO (BRADLEY) Percent,precinct_id
10,2,94,51,54.26,43,45.74,10002
10,3,150,99,66.0,51,34.0,10003
10,5,103,61,59.22,42,40.78,10005
10,8,135,88,65.19,47,34.81,10008
10,9,121,63,52.07,58,47.93,10009
10,11,129,86,66.67,43,33.33,10011
10,12,120,81,67.5,39,32.5,10012
10,13,156,106,67.95,50,32.05,10013
10,15,56,34,60.71,22,39.29,10015
10,16,122,66,54.1,56,45.9,10016
10,17,111,72,64.86,39,35.14,10017
10,19,183,108,59.02,75,40.98,10019
10,20,227,148,65.2,79,34.8,10020
10,21,84,52,61.9,32,38.1,10021
10,22,39,19,48.72,20,51.28,10022
10,23,142,105,73.94,37,26.06,10023
10,24,113,72,63.72,41,36.28,10024
10,26,84,49,58.33,35,41.67,10026
10,27,163,105,64.42,58,35.58,10027
10,30,135,101,74.81,34,25.19,10030
10,31,142,93,65.49,49,34.51,10031
10,32,143,100,69.93,43,30.07,10032
10,33,124,90,72.58,34,27.42,10033
10,34,131,95,72.52,36,27.48,10034
10,35,112,78,69.64,34,30.36,10035
10,38,183,122,66.67,61,33.33,10038
10,39,147,101,68.71,46,31.29,10039
10,41,172,113,65.7,59,34.3,10041
10,42,115,62,53.91,53,46.09,10042
10,44,136,94,69.12,42,30.88,10044
10,45,162,109,67.28,53,32.72,10045
10,46,102,64,62.75,38,37.25,10046
