ward,precinct,total,ROBERT BALANOFF,ROBERT BALANOFF Percent,JOSEPH CHICO,JOSEPH CHICO Percent,SYBIL C. THOMAS,SYBIL C. THOMAS Percent,RAYMOND MYLES,RAYMOND MYLES Percent,JOHN STEELE,JOHN STEELE Percent,LAGUINA CLAY-CLARK,LAGUINA CLAY-CLARK Percent,precinct_id
5,12,158,30,18.99,11,6.96,18,11.39,13,8.23,69,43.67,17,10.76,05012
5,15,108,32,29.63,4,3.7,7,6.48,4,3.7,49,45.37,12,11.11,05015
5,22,166,27,16.27,4,2.41,25,15.06,17,10.24,81,48.8,12,7.23,05022
5,50,101,21,20.79,1,0.99,10,9.9,19,18.81,39,38.61,11,10.89,05050
6,1,243,23,9.47,5,2.06,19,7.82,15,6.17,167,68.72,14,5.76,06001
6,2,234,18,7.69,6,2.56,21,8.97,13,5.56,167,71.37,9,3.85,06002
6,3,194,8,4.12,3,1.55,16,8.25,22,11.34,125,64.43,20,10.31,06003
6,4,130,19,14.62,4,3.08,9,6.92,10,7.69,76,58.46,12,9.23,06004
6,5,93,13,13.98,8,8.6,12,12.9,15,16.13,43,46.24,2,2.15,06005
6,6,195,21,10.77,3,1.54,14,7.18,17,8.72,129,66.15,11,5.64,06006
6,8,201,15,7.46,0,0.0,25,12.44,13,6.47,130,64.68,18,8.96,06008
6,9,232,17,7.33,5,2.16,14,6.03,11,4.74,170,73.28,15,6.47,06009
6,10,266,43,16.17,2,0.75,24,9.02,18,6.77,159,59.77,20,7.52,06010
6,11,169,15,8.88,1,0.59,10,5.92,16,9.47,115,68.05,12,7.1,06011
6,12,110,15,13.64,6,5.45,16,14.55,10,9.09,54,49.09,9,8.18,06012
6,13,173,21,12.14,2,1.16,22,12.72,12,6.94,94,54.34,22,12.72,06013
6,14,184,15,8.15,10,5.43,23,12.5,19,10.33,105,57.07,12,6.52,06014
6,16,207,18,8.7,5,2.42,20,9.66,10,4.83,135,65.22,19,9.18,06016
6,17,250,22,8.8,4,1.6,17,6.8,14,5.6,179,71.6,14,5.6,06017
6,18,39,13,33.33,3,7.69,5,12.82,10,25.64,6,15.38,2,5.13,06018
6,19,173,15,8.67,5,2.89,22,12.72,16,9.25,102,58.96,13,7.51,06019
6,20,54,6,11.11,1,1.85,8,14.81,7,12.96,29,53.7,3,5.56,06020
6,21,200,26,13.0,4,2.0,17,8.5,20,10.0,119,59.5,14,7.0,06021
6,22,179,12,6.7,1,0.56,13,7.26,20,11.17,122,68.16,11,6.15,06022
6,23,148,16,10.81,2,1.35,15,10.14,7,4.73,98,66.22,10,6.76,06023
6,24,168,25,14.88,3,1.79,7,4.17,15,8.93,107,63.69,11,6.55,06024
6,25,163,15,9.2,5,3.07,8,4.91,25,15.34,94,57.67,16,9.82,06025
6,26,205,24,11.71,5,2.44,12,5.85,9,4.39,139,67.8,16,7.8,06026
6,27,248,15,6.05,6,2.42,26,10.48,15,6.05,170,68.55,16,6.45,06027
6,28,236,25,10.59,1,0.42,18,7.63,21,8.9,151,63.98,20,8.47,06028
6,29,229,21,9.17,1,0.44,18,7.86,18,7.86,164,71.62,7,3.06,06029
6,31,268,15,5.6,3,1.12,9,3.36,27,10.07,201,75.0,13,4.85,06031
6,34,154,12,7.79,1,0.65,23,14.94,24,15.58,84,54.55,10,6.49,06034
6,35,235,15,6.38,2,0.85,24,10.21,41,17.45,139,59.15,14,5.96,06035
6,36,92,14,15.22,1,1.09,19,20.65,6,6.52,46,50.0,6,6.52,06036
6,37,238,18,7.56,3,1.26,15,6.3,15,6.3,170,71.43,17,7.14,06037
6,38,221,14,6.33,4,1.81,32,14.48,20,9.05,139,62.9,12,5.43,06038
6,39,108,11,10.19,4,3.7,16,14.81,4,3.7,69,63.89,4,3.7,06039
6,40,76,12,15.79,1,1.32,13,17.11,11,14.47,28,36.84,11,14.47,06040
6,41,214,16,7.48,4,1.87,20,9.35,11,5.14,150,70.09,13,6.07,06041
6,42,99,12,12.12,5,5.05,20,20.2,10,10.1,38,38.38,14,14.14,06042
6,43,231,23,9.96,0,0.0,23,9.96,11,4.76,157,67.97,17,7.36,06043
6,44,181,13,7.18,4,2.21,9,4.97,21,11.6,124,68.51,10,5.52,06044
6,45,101,8,7.92,1,0.99,11,10.89,8,7.92,61,60.4,12,11.88,06045
6,46,156,12,7.69,3,1.92,15,9.62,11,7.05,107,68.59,8,5.13,06046
6,47,233,13,5.58,2,0.86,23,9.87,17,7.3,169,72.53,9,3.86,06047
6,49,157,20,12.74,4,2.55,13,8.28,18,11.46,88,56.05,14,8.92,06049
6,50,229,29,12.66,2,0.87,16,6.99,11,4.8,153,66.81,18,7.86,06050
6,51,141,14,9.93,2,1.42,18,12.77,13,9.22,84,59.57,10,7.09,06051
6,52,142,9,6.34,1,0.7,19,13.38,22,15.49,74,52.11,17,11.97,06052
6,53,146,17,11.64,2,1.37,13,8.9,16,10.96,89,60.96,9,6.16,06053
6,54,158,11,6.96,4,2.53,20,12.66,31,19.62,79,50.0,13,8.23,06054
6,55,127,10,7.87,2,1.57,16,12.6,13,10.24,77,60.63,9,7.09,06055
6,56,123,11,8.94,2,1.63,6,4.88,10,8.13,87,70.73,7,5.69,06056
6,57,105,12,11.43,0,0.0,13,12.38,8,7.62,60,57.14,12,11.43,06057
6,58,219,15,6.85,4,1.83,15,6.85,12,5.48,158,72.15,15,6.85,06058
6,59,178,20,11.24,2,1.12,9,5.06,20,11.24,114,64.04,13,7.3,06059
6,60,110,9,8.18,1,0.91,9,8.18,5,4.55,79,71.82,7,6.36,06060
6,62,201,18,8.96,2,1.0,17,8.46,12,5.97,137,68.16,15,7.46,06062
6,63,175,16,9.14,3,1.71,19,10.86,25,14.29,94,53.71,18,10.29,06063
6,64,213,17,7.98,1,0.47,16,7.51,28,13.15,140,65.73,11,5.16,06064
7,1,247,61,24.7,5,2.02,25,10.12,45,18.22,69,27.94,42,17.0,07001
7,2,156,51,32.69,11,7.05,21,13.46,28,17.95,24,15.38,21,13.46,07002
7,3,127,20,15.75,3,2.36,21,16.54,22,17.32,26,20.47,35,27.56,07003
7,4,129,34,26.36,29,22.48,11,8.53,25,19.38,16,12.4,14,10.85,07004
7,5,109,22,20.18,35,32.11,4,3.67,19,17.43,19,17.43,10,9.17,07005
