ward,precinct,total,"RAFAEL """"RAY"""" FRIAS","RAFAEL """"RAY"""" FRIAS Percent",precinct_id
12,1,57,57,100.0,12001
12,2,106,106,100.0,12002
12,3,114,114,100.0,12003
12,4,100,100,100.0,12004
12,5,49,49,100.0,12005
12,6,130,130,100.0,12006
12,7,60,60,100.0,12007
12,8,68,68,100.0,12008
12,9,94,94,100.0,12009
12,10,57,57,100.0,12010
12,11,100,100,100.0,12011
12,12,84,84,100.0,12012
12,13,51,51,100.0,12013
12,14,69,69,100.0,12014
12,15,84,84,100.0,12015
12,16,134,134,100.0,12016
12,17,34,34,100.0,12017
12,18,68,68,100.0,12018
12,19,63,63,100.0,12019
12,20,75,75,100.0,12020
12,21,149,149,100.0,12021
12,22,66,66,100.0,12022
12,23,123,123,100.0,12023
12,24,38,38,100.0,12024
12,25,83,83,100.0,12025
12,26,65,65,100.0,12026
12,27,48,48,100.0,12027
12,28,58,58,100.0,12028
12,29,177,177,100.0,12029
12,30,159,159,100.0,12030
