ward,precinct,total,RICARDO MUNOZ,RICARDO MUNOZ Percent,AUGUST SALLAS,AUGUST SALLAS Percent,precinct_id
22,1,76,51,67.11,25,32.89,22001
22,2,159,115,72.33,44,27.67,22002
22,3,194,160,82.47,34,17.53,22003
22,4,183,142,77.6,41,22.4,22004
22,5,266,203,76.32,63,23.68,22005
22,6,212,192,90.57,20,9.43,22006
22,7,148,123,83.11,25,16.89,22007
22,8,172,144,83.72,28,16.28,22008
22,9,225,200,88.89,25,11.11,22009
22,10,286,236,82.52,50,17.48,22010
22,11,198,153,77.27,45,22.73,22011
22,12,122,87,71.31,35,28.69,22012
22,13,154,97,62.99,57,37.01,22013
22,14,104,91,87.5,13,12.5,22014
22,15,170,132,77.65,38,22.35,22015
22,16,205,129,62.93,76,37.07,22016
22,17,217,168,77.42,49,22.58,22017
22,18,163,120,73.62,43,26.38,22018
22,19,114,94,82.46,20,17.54,22019
22,20,116,91,78.45,25,21.55,22020
22,21,209,171,81.82,38,18.18,22021
22,22,87,56,64.37,31,35.63,22022
22,23,210,170,80.95,40,19.05,22023
22,24,202,172,85.15,30,14.85,22024
22,25,189,144,76.19,45,23.81,22025
22,26,137,83,60.58,54,39.42,22026
22,27,251,180,71.71,71,28.29,22027
22,28,176,137,77.84,39,22.16,22028
22,29,84,65,77.38,19,22.62,22029
