ward,precinct,total,MICHAEL J. MADIGAN,MICHAEL J. MADIGAN Percent,precinct_id
13,1,128,128,100.0,13001
13,2,129,129,100.0,13002
13,3,219,219,100.0,13003
13,4,191,191,100.0,13004
13,5,157,157,100.0,13005
13,6,124,124,100.0,13006
13,7,188,188,100.0,13007
13,8,163,163,100.0,13008
13,9,192,192,100.0,13009
13,10,158,158,100.0,13010
13,12,193,193,100.0,13012
13,14,122,122,100.0,13014
13,15,186,186,100.0,13015
13,16,142,142,100.0,13016
13,21,148,148,100.0,13021
13,22,181,181,100.0,13022
13,23,153,153,100.0,13023
13,24,217,217,100.0,13024
13,25,135,135,100.0,13025
13,27,146,146,100.0,13027
13,28,123,123,100.0,13028
13,29,169,169,100.0,13029
13,32,103,103,100.0,13032
13,33,153,153,100.0,13033
13,34,154,154,100.0,13034
13,35,202,202,100.0,13035
13,36,108,108,100.0,13036
13,37,113,113,100.0,13037
13,38,93,93,100.0,13038
13,39,155,155,100.0,13039
13,42,187,187,100.0,13042
13,46,162,162,100.0,13046
13,47,144,144,100.0,13047
13,48,121,121,100.0,13048
13,49,78,78,100.0,13049
13,51,163,163,100.0,13051
13,52,181,181,100.0,13052
13,53,191,191,100.0,13053
13,54,211,211,100.0,13054
13,56,205,205,100.0,13056
13,57,172,172,100.0,13057
13,58,215,215,100.0,13058
13,59,130,130,100.0,13059
13,61,251,251,100.0,13061
13,62,191,191,100.0,13062
13,63,219,219,100.0,13063
23,2,185,185,100.0,23002
23,4,131,131,100.0,23004
23,6,169,169,100.0,23006
23,8,142,142,100.0,23008
23,10,179,179,100.0,23010
23,14,141,141,100.0,23014
23,19,171,171,100.0,23019
23,20,145,145,100.0,23020
23,21,127,127,100.0,23021
23,28,153,153,100.0,23028
23,30,177,177,100.0,23030
23,31,140,140,100.0,23031
23,33,208,208,100.0,23033
23,34,121,121,100.0,23034
23,38,134,134,100.0,23038
23,39,148,148,100.0,23039
23,41,118,118,100.0,23041
23,42,129,129,100.0,23042
23,44,178,178,100.0,23044
23,45,155,155,100.0,23045
23,48,124,124,100.0,23048
23,54,183,183,100.0,23054
23,55,166,166,100.0,23055
23,56,148,148,100.0,23056
23,57,133,133,100.0,23057
23,61,148,148,100.0,23061
23,62,148,148,100.0,23062
