ward,precinct,total,LOUIS I. LANG,LOUIS I. LANG Percent,precinct_id
39,32,285,285,100.0,39032
39,34,57,57,100.0,39034
39,36,20,20,100.0,39036
39,38,0,0,0.0,39038
39,40,57,57,100.0,39040
39,42,79,79,100.0,39042
39,47,58,58,100.0,39047
40,4,124,124,100.0,40004
40,7,72,72,100.0,40007
40,9,46,46,100.0,40009
40,12,80,80,100.0,40012
40,18,75,75,100.0,40018
40,28,60,60,100.0,40028
40,35,102,102,100.0,40035
40,37,89,89,100.0,40037
40,39,81,81,100.0,40039
48,38,140,140,100.0,48038
49,4,63,63,100.0,49004
50,5,93,93,100.0,50005
50,6,71,71,100.0,50006
50,7,121,121,100.0,50007
50,8,89,89,100.0,50008
50,9,70,70,100.0,50009
50,10,99,99,100.0,50010
50,11,84,84,100.0,50011
50,12,146,146,100.0,50012
50,13,68,68,100.0,50013
50,14,97,97,100.0,50014
50,15,112,112,100.0,50015
50,16,93,93,100.0,50016
50,17,72,72,100.0,50017
50,18,78,78,100.0,50018
50,19,79,79,100.0,50019
50,20,81,81,100.0,50020
50,21,106,106,100.0,50021
50,22,67,67,100.0,50022
50,24,43,43,100.0,50024
50,25,57,57,100.0,50025
50,26,55,55,100.0,50026
50,27,79,79,100.0,50027
50,28,102,102,100.0,50028
50,29,86,86,100.0,50029
50,30,86,86,100.0,50030
50,31,72,72,100.0,50031
50,32,48,48,100.0,50032
50,33,44,44,100.0,50033
50,34,66,66,100.0,50034
50,35,87,87,100.0,50035
50,36,93,93,100.0,50036
50,37,87,87,100.0,50037
50,38,95,95,100.0,50038
50,39,82,82,100.0,50039
50,40,86,86,100.0,50040
50,41,100,100,100.0,50041
50,42,128,128,100.0,50042
50,43,108,108,100.0,50043
50,44,80,80,100.0,50044
50,45,99,99,100.0,50045
50,46,53,53,100.0,50046
