ward,precinct,total,JAMES R. EPSTEIN,JAMES R. EPSTEIN Percent,PAUL WILLIAM PLOTNICK,PAUL WILLIAM PLOTNICK Percent,PAMELA SHU,PAMELA SHU Percent,PAUL SABIN,PAUL SABIN Percent,JUDY FRYDLAND,JUDY FRYDLAND Percent,precinct_id
39,23,61,25,40.98,11,18.03,8,13.11,2,3.28,15,24.59,39023
39,32,100,46,46.0,10,10.0,19,19.0,14,14.0,11,11.0,39032
39,34,75,40,53.33,13,17.33,7,9.33,7,9.33,8,10.67,39034
39,41,16,10,62.5,2,12.5,2,12.5,1,6.25,1,6.25,39041
40,9,57,32,56.14,2,3.51,9,15.79,6,10.53,8,14.04,40009
40,12,97,76,78.35,2,2.06,8,8.25,3,3.09,8,8.25,40012
40,13,74,45,60.81,6,8.11,18,24.32,1,1.35,4,5.41,40013
40,18,28,17,60.71,4,14.29,2,7.14,0,0.0,5,17.86,40018
40,26,90,58,64.44,4,4.44,17,18.89,1,1.11,10,11.11,40026
40,28,73,35,47.95,5,6.85,14,19.18,5,6.85,14,19.18,40028
40,35,93,36,38.71,22,23.66,17,18.28,12,12.9,6,6.45,40035
40,37,71,27,38.03,4,5.63,20,28.17,7,9.86,13,18.31,40037
40,39,78,47,60.26,4,5.13,12,15.38,3,3.85,12,15.38,40039
40,47,76,37,48.68,6,7.89,16,21.05,4,5.26,13,17.11,40047
41,47,99,44,44.44,14,14.14,18,18.18,12,12.12,11,11.11,41047
41,54,85,34,40.0,9,10.59,15,17.65,14,16.47,13,15.29,41054
45,1,74,22,29.73,8,10.81,8,10.81,4,5.41,32,43.24,45001
45,4,115,35,30.43,5,4.35,11,9.57,4,3.48,60,52.17,45004
45,58,60,21,35.0,7,11.67,11,18.33,5,8.33,16,26.67,45058
48,2,117,60,51.28,11,9.4,21,17.95,7,5.98,18,15.38,48002
48,13,88,51,57.95,10,11.36,13,14.77,6,6.82,8,9.09,48013
48,22,163,80,49.08,14,8.59,40,24.54,11,6.75,18,11.04,48022
48,32,78,27,34.62,9,11.54,24,30.77,5,6.41,13,16.67,48032
48,33,94,51,54.26,12,12.77,16,17.02,4,4.26,11,11.7,48033
48,41,44,18,40.91,0,0.0,13,29.55,3,6.82,10,22.73,48041
49,1,113,47,41.59,8,7.08,24,21.24,11,9.73,23,20.35,49001
49,2,128,67,52.34,12,9.38,25,19.53,7,5.47,17,13.28,49002
49,3,112,58,51.79,5,4.46,24,21.43,8,7.14,17,15.18,49003
49,4,77,26,33.77,7,9.09,22,28.57,4,5.19,18,23.38,49004
49,5,72,30,41.67,3,4.17,20,27.78,10,13.89,9,12.5,49005
49,6,69,36,52.17,6,8.7,12,17.39,5,7.25,10,14.49,49006
49,7,71,34,47.89,4,5.63,19,26.76,4,5.63,10,14.08,49007
49,8,72,34,47.22,4,5.56,16,22.22,9,12.5,9,12.5,49008
49,9,78,29,37.18,9,11.54,31,39.74,2,2.56,7,8.97,49009
49,10,119,71,59.66,11,9.24,15,12.61,6,5.04,16,13.45,49010
49,11,120,57,47.5,4,3.33,21,17.5,12,10.0,26,21.67,49011
49,12,71,28,39.44,2,2.82,26,36.62,5,7.04,10,14.08,49012
49,13,101,56,55.45,8,7.92,15,14.85,5,4.95,17,16.83,49013
49,14,104,53,50.96,8,7.69,22,21.15,5,4.81,16,15.38,49014
49,15,69,26,37.68,4,5.8,17,24.64,5,7.25,17,24.64,49015
49,16,88,33,37.5,4,4.55,20,22.73,13,14.77,18,20.45,49016
49,18,95,29,30.53,4,4.21,30,31.58,17,17.89,15,15.79,49018
49,19,69,32,46.38,4,5.8,11,15.94,7,10.14,15,21.74,49019
49,20,120,55,45.83,8,6.67,26,21.67,9,7.5,22,18.33,49020
49,21,55,16,29.09,4,7.27,23,41.82,2,3.64,10,18.18,49021
49,22,91,42,46.15,3,3.3,18,19.78,10,10.99,18,19.78,49022
49,23,83,39,46.99,7,8.43,19,22.89,6,7.23,12,14.46,49023
49,24,94,28,29.79,16,17.02,21,22.34,10,10.64,19,20.21,49024
49,25,68,33,48.53,3,4.41,18,26.47,4,5.88,10,14.71,49025
49,26,140,69,49.29,10,7.14,32,22.86,4,2.86,25,17.86,49026
49,27,103,38,36.89,8,7.77,29,28.16,6,5.83,22,21.36,49027
49,28,79,26,32.91,6,7.59,30,37.97,6,7.59,11,13.92,49028
49,29,46,18,39.13,4,8.7,16,34.78,1,2.17,7,15.22,49029
49,30,88,42,47.73,5,5.68,15,17.05,13,14.77,13,14.77,49030
49,31,73,35,47.95,5,6.85,17,23.29,4,5.48,12,16.44,49031
49,32,85,36,42.35,10,11.76,19,22.35,6,7.06,14,16.47,49032
49,33,70,34,48.57,3,4.29,18,25.71,2,2.86,13,18.57,49033
49,34,69,29,42.03,4,5.8,16,23.19,6,8.7,14,20.29,49034
49,35,91,46,50.55,5,5.49,16,17.58,4,4.4,20,21.98,49035
49,36,65,23,35.38,7,10.77,15,23.08,7,10.77,13,20.0,49036
49,37,64,32,50.0,4,6.25,10,15.63,5,7.81,13,20.31,49037
50,1,72,37,51.39,9,12.5,11,15.28,6,8.33,9,12.5,50001
50,2,94,49,52.13,9,9.57,20,21.28,6,6.38,10,10.64,50002
50,3,67,48,71.64,4,5.97,3,4.48,5,7.46,7,10.45,50003
50,4,125,83,66.4,10,8.0,9,7.2,15,12.0,8,6.4,50004
50,5,112,77,68.75,19,16.96,3,2.68,7,6.25,6,5.36,50005
50,6,65,35,53.85,7,10.77,11,16.92,3,4.62,9,13.85,50006
50,7,147,118,80.27,7,4.76,13,8.84,2,1.36,7,4.76,50007
50,9,86,63,73.26,6,6.98,4,4.65,6,6.98,7,8.14,50009
50,10,126,44,34.92,62,49.21,8,6.35,9,7.14,3,2.38,50010
50,11,89,57,64.04,9,10.11,7,7.87,11,12.36,5,5.62,50011
50,12,170,149,87.65,16,9.41,1,0.59,0,0.0,4,2.35,50012
50,13,68,37,54.41,5,7.35,7,10.29,10,14.71,9,13.24,50013
50,14,135,116,85.93,10,7.41,2,1.48,2,1.48,5,3.7,50014
50,15,109,69,63.3,6,5.5,11,10.09,9,8.26,14,12.84,50015
50,16,103,72,69.9,19,18.45,2,1.94,8,7.77,2,1.94,50016
50,17,73,54,73.97,5,6.85,4,5.48,4,5.48,6,8.22,50017
50,18,71,45,63.38,7,9.86,6,8.45,8,11.27,5,7.04,50018
50,19,97,68,70.1,10,10.31,12,12.37,2,2.06,5,5.15,50019
50,20,81,55,67.9,2,2.47,6,7.41,4,4.94,14,17.28,50020
50,21,111,69,62.16,14,12.61,11,9.91,5,4.5,12,10.81,50021
50,22,73,44,60.27,2,2.74,11,15.07,2,2.74,14,19.18,50022
50,24,43,19,44.19,6,13.95,8,18.6,4,9.3,6,13.95,50024
50,25,62,37,59.68,9,14.52,5,8.06,4,6.45,7,11.29,50025
50,26,89,73,82.02,5,5.62,2,2.25,3,3.37,6,6.74,50026
50,27,82,63,76.83,10,12.2,1,1.22,2,2.44,6,7.32,50027
50,28,124,70,56.45,21,16.94,13,10.48,4,3.23,16,12.9,50028
50,30,76,44,57.89,15,19.74,3,3.95,7,9.21,7,9.21,50030
50,31,110,95,86.36,10,9.09,1,0.91,1,0.91,3,2.73,50031
50,32,54,18,33.33,8,14.81,14,25.93,3,5.56,11,20.37,50032
50,33,40,24,60.0,10,25.0,2,5.0,0,0.0,4,10.0,50033
50,34,80,43,53.75,6,7.5,11,13.75,4,5.0,16,20.0,50034
50,35,99,60,60.61,8,8.08,11,11.11,4,4.04,16,16.16,50035
50,36,95,58,61.05,11,11.58,14,14.74,4,4.21,8,8.42,50036
50,37,108,65,60.19,4,3.7,18,16.67,8,7.41,13,12.04,50037
50,38,121,91,75.21,18,14.88,0,0.0,6,4.96,6,4.96,50038
50,39,112,74,66.07,11,9.82,8,7.14,10,8.93,9,8.04,50039
50,40,87,51,58.62,8,9.2,11,12.64,6,6.9,11,12.64,50040
50,41,101,59,58.42,17,16.83,9,8.91,11,10.89,5,4.95,50041
50,42,142,98,69.01,17,11.97,11,7.75,9,6.34,7,4.93,50042
50,43,115,71,61.74,14,12.17,11,9.57,11,9.57,8,6.96,50043
50,44,90,60,66.67,11,12.22,6,6.67,10,11.11,3,3.33,50044
50,45,107,72,67.29,10,9.35,16,14.95,4,3.74,5,4.67,50045
50,46,58,42,72.41,6,10.34,7,12.07,1,1.72,2,3.45,50046
