ward,precinct,total,"WILLIAM """"BILL"""" SHAW","WILLIAM """"BILL"""" SHAW Percent",precinct_id
9,3,90,90,100.0,09003
9,4,186,186,100.0,09004
9,6,123,123,100.0,09006
9,7,148,148,100.0,09007
9,11,112,112,100.0,09011
9,15,69,69,100.0,09015
9,16,169,169,100.0,09016
9,18,136,136,100.0,09018
9,19,168,168,100.0,09019
9,24,75,75,100.0,09024
9,26,116,116,100.0,09026
9,28,99,99,100.0,09028
9,30,163,163,100.0,09030
9,33,109,109,100.0,09033
9,39,150,150,100.0,09039
9,41,194,194,100.0,09041
9,42,133,133,100.0,09042
9,44,131,131,100.0,09044
9,45,176,176,100.0,09045
9,47,88,88,100.0,09047
9,50,173,173,100.0,09050
34,3,114,114,100.0,34003
34,5,74,74,100.0,34005
34,6,140,140,100.0,34006
34,9,109,109,100.0,34009
34,11,112,112,100.0,34011
34,13,87,87,100.0,34013
34,14,118,118,100.0,34014
34,15,106,106,100.0,34015
34,16,117,117,100.0,34016
34,17,155,155,100.0,34017
34,31,124,124,100.0,34031
34,35,197,197,100.0,34035
34,40,177,177,100.0,34040
34,50,125,125,100.0,34050
34,54,122,122,100.0,34054
34,55,135,135,100.0,34055
34,57,82,82,100.0,34057
34,59,144,144,100.0,34059
34,60,127,127,100.0,34060
