ward,precinct,total,MARK ERTLER,MARK ERTLER Percent,precinct_id
23,1,99,99,100.0,23001
23,3,106,106,100.0,23003
23,11,120,120,100.0,23011
23,12,68,68,100.0,23012
23,13,133,133,100.0,23013
23,15,109,109,100.0,23015
23,16,95,95,100.0,23016
23,17,124,124,100.0,23017
23,18,76,76,100.0,23018
23,26,116,116,100.0,23026
23,27,76,76,100.0,23027
23,36,101,101,100.0,23036
23,40,100,100,100.0,23040
23,42,4,4,100.0,23042
23,43,116,116,100.0,23043
23,46,94,94,100.0,23046
23,47,176,176,100.0,23047
23,52,132,132,100.0,23052
23,58,150,150,100.0,23058
23,60,115,115,100.0,23060
