ward,precinct,total,MICHAEL D. CHANDLER,MICHAEL D. CHANDLER Percent,precinct_id
24,1,128,128,100.0,24001
24,2,131,131,100.0,24002
24,3,105,105,100.0,24003
24,4,115,115,100.0,24004
24,5,119,119,100.0,24005
24,6,132,132,100.0,24006
24,7,120,120,100.0,24007
24,8,135,135,100.0,24008
24,9,153,153,100.0,24009
24,10,135,135,100.0,24010
24,11,67,67,100.0,24011
24,12,81,81,100.0,24012
24,13,97,97,100.0,24013
24,14,140,140,100.0,24014
24,15,93,93,100.0,24015
24,16,94,94,100.0,24016
24,17,141,141,100.0,24017
24,18,77,77,100.0,24018
24,19,78,78,100.0,24019
24,20,123,123,100.0,24020
24,21,97,97,100.0,24021
24,22,154,154,100.0,24022
24,23,104,104,100.0,24023
24,24,87,87,100.0,24024
24,25,115,115,100.0,24025
24,26,125,125,100.0,24026
24,27,80,80,100.0,24027
24,28,114,114,100.0,24028
24,29,106,106,100.0,24029
24,30,97,97,100.0,24030
24,31,107,107,100.0,24031
24,32,132,132,100.0,24032
24,33,89,89,100.0,24033
24,34,105,105,100.0,24034
24,35,152,152,100.0,24035
24,36,114,114,100.0,24036
24,37,142,142,100.0,24037
24,38,128,128,100.0,24038
24,39,120,120,100.0,24039
24,40,155,155,100.0,24040
24,41,106,106,100.0,24041
24,42,109,109,100.0,24042
24,43,133,133,100.0,24043
24,44,45,45,100.0,24044
24,45,119,119,100.0,24045
24,46,123,123,100.0,24046
24,47,106,106,100.0,24047
24,48,26,26,100.0,24048
24,49,114,114,100.0,24049
24,50,145,145,100.0,24050
24,51,166,166,100.0,24051
24,52,128,128,100.0,24052
24,53,111,111,100.0,24053
