ward,precinct,total,AMALIA RIOJA (GORE),AMALIA RIOJA (GORE) Percent,LORNA BRETT (BRADLEY),LORNA BRETT (BRADLEY) Percent,precinct_id
1,1,69,45,65.22,24,34.78,01001
1,2,112,76,67.86,36,32.14,01002
1,3,70,44,62.86,26,37.14,01003
1,4,86,56,65.12,30,34.88,01004
1,5,85,55,64.71,30,35.29,01005
1,7,118,87,73.73,31,26.27,01007
1,8,41,26,63.41,15,36.59,01008
1,9,135,84,62.22,51,37.78,01009
1,10,125,71,56.8,54,43.2,01010
1,11,56,42,75.0,14,25.0,01011
1,12,161,110,68.32,51,31.68,01012
1,13,69,47,68.12,22,31.88,01013
1,14,70,51,72.86,19,27.14,01014
1,15,95,77,81.05,18,18.95,01015
1,16,74,60,81.08,14,18.92,01016
1,17,100,66,66.0,34,34.0,01017
1,18,114,94,82.46,20,17.54,01018
1,19,91,70,76.92,21,23.08,01019
1,20,65,50,76.92,15,23.08,01020
1,21,130,82,63.08,48,36.92,01021
1,22,49,39,79.59,10,20.41,01022
1,23,173,107,61.85,66,38.15,01023
1,24,92,55,59.78,37,40.22,01024
1,25,135,96,71.11,39,28.89,01025
1,26,177,126,71.19,51,28.81,01026
1,27,70,56,80.0,14,20.0,01027
1,29,145,109,75.17,36,24.83,01029
1,30,77,60,77.92,17,22.08,01030
1,31,22,15,68.18,7,31.82,01031
1,32,98,75,76.53,23,23.47,01032
1,33,131,105,80.15,26,19.85,01033
1,36,85,52,61.18,33,38.82,01036
2,50,52,42,80.77,10,19.23,02050
3,51,39,33,84.62,6,15.38,03051
11,1,80,50,62.5,30,37.5,11001
11,2,98,65,66.33,33,33.67,11002
11,3,125,95,76.0,30,24.0,11003
11,4,79,60,75.95,19,24.05,11004
11,5,57,41,71.93,16,28.07,11005
11,6,175,111,63.43,64,36.57,11006
11,7,104,80,76.92,24,23.08,11007
11,8,131,88,67.18,43,32.82,11008
11,9,104,83,79.81,21,20.19,11009
11,10,62,47,75.81,15,24.19,11010
11,11,99,64,64.65,35,35.35,11011
11,12,84,57,67.86,27,32.14,11012
11,14,49,36,73.47,13,26.53,11014
11,15,82,57,69.51,25,30.49,11015
11,16,83,59,71.08,24,28.92,11016
11,17,158,119,75.32,39,24.68,11017
11,18,85,50,58.82,35,41.18,11018
11,19,96,68,70.83,28,29.17,11019
11,20,128,91,71.09,37,28.91,11020
11,21,162,115,70.99,47,29.01,11021
11,23,104,71,68.27,33,31.73,11023
11,24,112,93,83.04,19,16.96,11024
11,25,70,54,77.14,16,22.86,11025
11,26,131,94,71.76,37,28.24,11026
11,28,15,13,86.67,2,13.33,11028
11,29,147,101,68.71,46,31.29,11029
11,30,117,79,67.52,38,32.48,11030
11,32,75,43,57.33,32,42.67,11032
11,35,66,45,68.18,21,31.82,11035
11,37,102,74,72.55,28,27.45,11037
11,44,95,56,58.95,39,41.05,11044
11,50,4,3,75.0,1,25.0,11050
11,51,75,50,66.67,25,33.33,11051
12,1,44,38,86.36,6,13.64,12001
12,2,81,69,85.19,12,14.81,12002
12,3,85,69,81.18,16,18.82,12003
12,4,74,64,86.49,10,13.51,12004
12,6,90,72,80.0,18,20.0,12006
12,7,52,40,76.92,12,23.08,12007
12,8,50,35,70.0,15,30.0,12008
12,9,69,51,73.91,18,26.09,12009
12,11,78,62,79.49,16,20.51,12011
12,12,64,49,76.56,15,23.44,12012
12,13,43,34,79.07,9,20.93,12013
12,14,52,39,75.0,13,25.0,12014
12,15,53,46,86.79,7,13.21,12015
12,16,98,86,87.76,12,12.24,12016
12,18,57,44,77.19,13,22.81,12018
12,19,37,32,86.49,5,13.51,12019
12,20,54,51,94.44,3,5.56,12020
12,21,97,80,82.47,17,17.53,12021
12,22,49,38,77.55,11,22.45,12022
12,23,111,90,81.08,21,18.92,12023
12,25,56,51,91.07,5,8.93,12025
12,26,44,34,77.27,10,22.73,12026
12,28,44,38,86.36,6,13.64,12028
12,29,154,100,64.94,54,35.06,12029
12,30,119,87,73.11,32,26.89,12030
14,5,8,6,75.0,2,25.0,14005
14,6,112,85,75.89,27,24.11,14006
14,7,122,90,73.77,32,26.23,14007
14,12,78,64,82.05,14,17.95,14012
14,14,80,64,80.0,16,20.0,14014
14,17,74,63,85.14,11,14.86,14017
14,20,64,54,84.38,10,15.63,14020
14,21,186,167,89.78,19,10.22,14021
14,22,146,118,80.82,28,19.18,14022
14,24,105,94,89.52,11,10.48,14024
14,25,81,67,82.72,14,17.28,14025
14,26,101,80,79.21,21,20.79,14026
14,29,149,125,83.89,24,16.11,14029
14,32,101,80,79.21,21,20.79,14032
14,38,102,81,79.41,21,20.59,14038
14,42,96,80,83.33,16,16.67,14042
14,46,140,119,85.0,21,15.0,14046
15,6,71,51,71.83,20,28.17,15006
15,22,127,103,81.1,24,18.9,15022
15,24,93,72,77.42,21,22.58,15024
15,38,9,7,77.78,2,22.22,15038
16,1,51,41,80.39,10,19.61,16001
16,2,0,0,0.0,0,0.0,16002
16,11,58,40,68.97,18,31.03,16011
16,13,52,43,82.69,9,17.31,16013
16,21,59,50,84.75,9,15.25,16021
16,23,78,57,73.08,21,26.92,16023
16,32,23,12,52.17,11,47.83,16032
16,41,54,42,77.78,12,22.22,16041
16,42,121,100,82.64,21,17.36,16042
22,2,95,73,76.84,22,23.16,22002
22,3,112,100,89.29,12,10.71,22003
22,4,106,95,89.62,11,10.38,22004
22,5,140,116,82.86,24,17.14,22005
22,6,102,88,86.27,14,13.73,22006
22,9,116,97,83.62,19,16.38,22009
22,10,143,110,76.92,33,23.08,22010
22,11,97,81,83.51,16,16.49,22011
22,13,101,82,81.19,19,18.81,22013
22,14,64,48,75.0,16,25.0,22014
22,16,123,106,86.18,17,13.82,22016
22,17,112,93,83.04,19,16.96,22017
22,18,84,70,83.33,14,16.67,22018
22,19,74,51,68.92,23,31.08,22019
22,23,106,94,88.68,12,11.32,22023
22,24,117,100,85.47,17,14.53,22024
22,25,117,103,88.03,14,11.97,22025
22,26,69,61,88.41,8,11.59,22026
22,27,122,95,77.87,27,22.13,22027
22,29,49,46,93.88,3,6.12,22029
24,53,0,0,0.0,0,0.0,24053
25,1,82,65,79.27,17,20.73,25001
25,2,117,96,82.05,21,17.95,25002
25,4,68,49,72.06,19,27.94,25004
25,5,108,77,71.3,31,28.7,25005
25,6,53,36,67.92,17,32.08,25006
25,7,81,68,83.95,13,16.05,25007
25,8,83,71,85.54,12,14.46,25008
25,9,152,127,83.55,25,16.45,25009
25,11,134,121,90.3,13,9.7,25011
25,12,63,48,76.19,15,23.81,25012
25,13,77,64,83.12,13,16.88,25013
25,15,86,67,77.91,19,22.09,25015
25,17,76,61,80.26,15,19.74,25017
25,18,30,20,66.67,10,33.33,25018
25,19,103,92,89.32,11,10.68,25019
25,20,98,78,79.59,20,20.41,25020
25,22,85,80,94.12,5,5.88,25022
25,23,89,80,89.89,9,10.11,25023
26,1,49,32,65.31,17,34.69,26001
26,2,77,67,87.01,10,12.99,26002
26,3,47,39,82.98,8,17.02,26003
26,4,104,86,82.69,18,17.31,26004
26,5,76,61,80.26,15,19.74,26005
26,6,99,66,66.67,33,33.33,26006
26,7,36,24,66.67,12,33.33,26007
26,8,111,74,66.67,37,33.33,26008
26,9,51,41,80.39,10,19.61,26009
26,10,48,37,77.08,11,22.92,26010
26,11,72,54,75.0,18,25.0,26011
26,12,48,36,75.0,12,25.0,26012
26,13,76,45,59.21,31,40.79,26013
26,14,71,57,80.28,14,19.72,26014
26,15,30,26,86.67,4,13.33,26015
26,16,39,22,56.41,17,43.59,26016
26,17,65,55,84.62,10,15.38,26017
26,18,62,49,79.03,13,20.97,26018
26,19,86,59,68.6,27,31.4,26019
26,20,70,55,78.57,15,21.43,26020
26,21,78,54,69.23,24,30.77,26021
26,22,76,55,72.37,21,27.63,26022
26,23,117,90,76.92,27,23.08,26023
26,24,110,79,71.82,31,28.18,26024
26,25,81,48,59.26,33,40.74,26025
26,26,46,39,84.78,7,15.22,26026
26,27,55,38,69.09,17,30.91,26027
26,28,99,72,72.73,27,27.27,26028
26,29,62,40,64.52,22,35.48,26029
26,30,11,9,81.82,2,18.18,26030
26,31,27,22,81.48,5,18.52,26031
26,32,38,30,78.95,8,21.05,26032
26,33,97,66,68.04,31,31.96,26033
26,34,71,49,69.01,22,30.99,26034
26,35,74,63,85.14,11,14.86,26035
26,36,98,76,77.55,22,22.45,26036
26,37,70,43,61.43,27,38.57,26037
27,4,0,0,0.0,0,0.0,27004
27,10,134,102,76.12,32,23.88,27010
27,30,13,6,46.15,7,53.85,27030
27,32,55,36,65.45,19,34.55,27032
27,35,92,67,72.83,25,27.17,27035
27,50,7,5,71.43,2,28.57,27050
27,54,14,10,71.43,4,28.57,27054
27,55,20,15,75.0,5,25.0,27055
28,14,25,19,76.0,6,24.0,28014
28,53,21,17,80.95,4,19.05,28053
29,2,43,25,58.14,18,41.86,29002
29,7,74,59,79.73,15,20.27,29007
29,17,89,73,82.02,16,17.98,29017
29,30,12,11,91.67,1,8.33,29030
29,39,59,50,84.75,9,15.25,29039
29,48,27,17,62.96,10,37.04,29048
29,52,86,69,80.23,17,19.77,29052
29,55,18,10,55.56,8,44.44,29055
30,4,11,9,81.82,2,18.18,30004
30,17,50,37,74.0,13,26.0,30017
30,20,40,29,72.5,11,27.5,30020
30,23,14,11,78.57,3,21.43,30023
30,36,9,5,55.56,4,44.44,30036
30,41,1,1,100.0,0,0.0,30041
31,1,45,30,66.67,15,33.33,31001
31,2,45,33,73.33,12,26.67,31002
31,3,50,46,92.0,4,8.0,31003
31,4,77,61,79.22,16,20.78,31004
31,5,43,30,69.77,13,30.23,31005
31,7,49,38,77.55,11,22.45,31007
31,8,25,23,92.0,2,8.0,31008
31,9,45,41,91.11,4,8.89,31009
31,10,42,38,90.48,4,9.52,31010
31,11,29,18,62.07,11,37.93,31011
31,12,50,38,76.0,12,24.0,31012
31,13,42,28,66.67,14,33.33,31013
31,14,45,38,84.44,7,15.56,31014
31,15,50,41,82.0,9,18.0,31015
31,16,44,38,86.36,6,13.64,31016
31,17,37,31,83.78,6,16.22,31017
31,20,40,34,85.0,6,15.0,31020
31,21,39,29,74.36,10,25.64,31021
31,22,38,31,81.58,7,18.42,31022
31,23,57,46,80.7,11,19.3,31023
31,24,74,64,86.49,10,13.51,31024
31,25,39,33,84.62,6,15.38,31025
31,26,40,34,85.0,6,15.0,31026
31,27,26,19,73.08,7,26.92,31027
31,28,47,36,76.6,11,23.4,31028
31,29,35,27,77.14,8,22.86,31029
31,30,34,22,64.71,12,35.29,31030
31,31,14,11,78.57,3,21.43,31031
31,33,74,53,71.62,21,28.38,31033
31,34,40,36,90.0,4,10.0,31034
31,35,36,32,88.89,4,11.11,31035
31,36,76,67,88.16,9,11.84,31036
31,37,49,40,81.63,9,18.37,31037
31,38,49,43,87.76,6,12.24,31038
31,39,20,16,80.0,4,20.0,31039
31,40,44,36,81.82,8,18.18,31040
31,41,31,30,96.77,1,3.23,31041
31,42,23,18,78.26,5,21.74,31042
31,43,42,34,80.95,8,19.05,31043
31,44,40,32,80.0,8,20.0,31044
31,45,50,44,88.0,6,12.0,31045
32,2,79,45,56.96,34,43.04,32002
32,3,82,52,63.41,30,36.59,32003
32,4,118,67,56.78,51,43.22,32004
32,5,64,43,67.19,21,32.81,32005
32,11,111,65,58.56,46,41.44,32011
32,12,54,40,74.07,14,25.93,32012
32,14,51,31,60.78,20,39.22,32014
32,16,79,50,63.29,29,36.71,32016
32,17,65,38,58.46,27,41.54,32017
32,20,47,21,44.68,26,55.32,32020
32,24,64,44,68.75,20,31.25,32024
32,25,12,7,58.33,5,41.67,32025
32,28,47,25,53.19,22,46.81,32028
32,29,87,58,66.67,29,33.33,32029
32,30,74,44,59.46,30,40.54,32030
32,31,74,47,63.51,27,36.49,32031
32,33,68,49,72.06,19,27.94,32033
32,34,90,54,60.0,36,40.0,32034
32,35,115,63,54.78,52,45.22,32035
32,36,111,74,66.67,37,33.33,32036
32,45,98,54,55.1,44,44.9,32045
32,47,43,19,44.19,24,55.81,32047
33,1,7,6,85.71,1,14.29,33001
33,2,153,109,71.24,44,28.76,33002
33,3,80,56,70.0,24,30.0,33003
33,4,131,93,70.99,38,29.01,33004
33,5,0,0,0.0,0,0.0,33005
33,6,98,72,73.47,26,26.53,33006
33,13,127,92,72.44,35,27.56,33013
33,14,12,7,58.33,5,41.67,33014
33,15,16,12,75.0,4,25.0,33015
33,19,64,45,70.31,19,29.69,33019
33,20,107,73,68.22,34,31.78,33020
33,21,89,69,77.53,20,22.47,33021
33,22,57,36,63.16,21,36.84,33022
33,26,83,62,74.7,21,25.3,33026
33,31,79,55,69.62,24,30.38,33031
33,33,96,65,67.71,31,32.29,33033
33,34,93,58,62.37,35,37.63,33034
33,35,120,91,75.83,29,24.17,33035
33,36,68,48,70.59,20,29.41,33036
35,1,61,42,68.85,19,31.15,35001
35,2,86,66,76.74,20,23.26,35002
35,3,56,44,78.57,12,21.43,35003
35,4,40,23,57.5,17,42.5,35004
35,5,75,60,80.0,15,20.0,35005
35,7,116,84,72.41,32,27.59,35007
35,8,32,25,78.13,7,21.88,35008
35,9,105,78,74.29,27,25.71,35009
35,10,99,70,70.71,29,29.29,35010
35,12,89,68,76.4,21,23.6,35012
35,13,128,72,56.25,56,43.75,35013
35,14,72,55,76.39,17,23.61,35014
35,15,105,69,65.71,36,34.29,35015
35,16,99,76,76.77,23,23.23,35016
35,17,77,58,75.32,19,24.68,35017
35,18,95,69,72.63,26,27.37,35018
35,19,106,79,74.53,27,25.47,35019
35,20,46,29,63.04,17,36.96,35020
35,21,110,78,70.91,32,29.09,35021
35,22,51,44,86.27,7,13.73,35022
35,23,80,55,68.75,25,31.25,35023
35,24,79,67,84.81,12,15.19,35024
35,25,67,40,59.7,27,40.3,35025
35,26,66,49,74.24,17,25.76,35026
35,27,166,103,62.05,63,37.95,35027
35,28,65,49,75.38,16,24.62,35028
35,29,101,68,67.33,33,32.67,35029
35,30,181,116,64.09,65,35.91,35030
35,31,124,92,74.19,32,25.81,35031
35,32,52,40,76.92,12,23.08,35032
