ward,precinct,total,LUIS V. GUTIERREZ,LUIS V. GUTIERREZ Percent,"JOSEPH L. """"JOE"""" PAGAN","JOSEPH L. """"JOE"""" PAGAN Percent",precinct_id
1,1,126,92,73.02,34,26.98,01001
1,2,165,124,75.15,41,24.85,01002
1,3,100,72,72.0,28,28.0,01003
1,4,131,105,80.15,26,19.85,01004
1,5,130,100,76.92,30,23.08,01005
1,7,184,156,84.78,28,15.22,01007
1,8,112,83,74.11,29,25.89,01008
1,9,220,159,72.27,61,27.73,01009
1,10,154,108,70.13,46,29.87,01010
1,11,100,82,82.0,18,18.0,01011
1,12,241,195,80.91,46,19.09,01012
1,13,214,128,59.81,86,40.19,01013
1,14,159,133,83.65,26,16.35,01014
1,15,205,177,86.34,28,13.66,01015
1,16,131,98,74.81,33,25.19,01016
1,17,137,106,77.37,31,22.63,01017
1,18,232,186,80.17,46,19.83,01018
1,19,188,149,79.26,39,20.74,01019
1,20,171,140,81.87,31,18.13,01020
1,21,199,157,78.89,42,21.11,01021
1,22,113,99,87.61,14,12.39,01022
1,23,268,214,79.85,54,20.15,01023
1,24,150,129,86.0,21,14.0,01024
1,25,220,165,75.0,55,25.0,01025
1,26,315,205,65.08,110,34.92,01026
1,27,141,115,81.56,26,18.44,01027
1,29,253,205,81.03,48,18.97,01029
1,30,162,136,83.95,26,16.05,01030
1,31,42,33,78.57,9,21.43,01031
1,32,181,141,77.9,40,22.1,01032
1,33,245,201,82.04,44,17.96,01033
1,36,142,118,83.1,24,16.9,01036
2,50,81,68,83.95,13,16.05,02050
3,51,66,60,90.91,6,9.09,03051
11,1,153,108,70.59,45,29.41,11001
11,2,157,114,72.61,43,27.39,11002
11,3,190,157,82.63,33,17.37,11003
11,4,191,157,82.2,34,17.8,11004
11,5,104,84,80.77,20,19.23,11005
11,6,273,215,78.75,58,21.25,11006
11,7,226,176,77.88,50,22.12,11007
11,8,197,158,80.2,39,19.8,11008
11,9,220,192,87.27,28,12.73,11009
11,10,123,103,83.74,20,16.26,11010
11,11,190,147,77.37,43,22.63,11011
11,12,194,154,79.38,40,20.62,11012
11,14,94,64,68.09,30,31.91,11014
11,15,164,128,78.05,36,21.95,11015
11,16,164,141,85.98,23,14.02,11016
11,17,229,169,73.8,60,26.2,11017
11,18,131,107,81.68,24,18.32,11018
11,19,150,127,84.67,23,15.33,11019
11,20,252,198,78.57,54,21.43,11020
11,21,304,234,76.97,70,23.03,11021
11,23,186,163,87.63,23,12.37,11023
11,24,301,262,87.04,39,12.96,11024
11,25,159,128,80.5,31,19.5,11025
11,26,250,212,84.8,38,15.2,11026
11,28,40,36,90.0,4,10.0,11028
11,29,259,193,74.52,66,25.48,11029
11,30,164,128,78.05,36,21.95,11030
11,32,164,127,77.44,37,22.56,11032
11,35,178,152,85.39,26,14.61,11035
11,37,255,215,84.31,40,15.69,11037
11,44,172,130,75.58,42,24.42,11044
11,50,8,7,87.5,1,12.5,11050
11,51,205,175,85.37,30,14.63,11051
12,1,66,58,87.88,8,12.12,12001
12,2,134,107,79.85,27,20.15,12002
12,3,122,107,87.7,15,12.3,12003
12,4,103,90,87.38,13,12.62,12004
12,6,154,135,87.66,19,12.34,12006
12,7,74,62,83.78,12,16.22,12007
12,8,78,62,79.49,16,20.51,12008
12,9,105,90,85.71,15,14.29,12009
12,11,122,109,89.34,13,10.66,12011
12,12,106,88,83.02,18,16.98,12012
12,13,52,34,65.38,18,34.62,12013
12,14,89,79,88.76,10,11.24,12014
12,15,99,91,91.92,8,8.08,12015
12,16,133,114,85.71,19,14.29,12016
12,18,84,77,91.67,7,8.33,12018
12,19,66,59,89.39,7,10.61,12019
12,20,86,82,95.35,4,4.65,12020
12,21,148,127,85.81,21,14.19,12021
12,22,81,71,87.65,10,12.35,12022
12,23,171,151,88.3,20,11.7,12023
12,25,100,94,94.0,6,6.0,12025
12,26,74,67,90.54,7,9.46,12026
12,28,71,70,98.59,1,1.41,12028
12,29,187,144,77.01,43,22.99,12029
12,30,163,132,80.98,31,19.02,12030
14,5,11,10,90.91,1,9.09,14005
14,6,141,108,76.6,33,23.4,14006
14,7,147,121,82.31,26,17.69,14007
14,12,104,94,90.38,10,9.62,14012
14,14,99,82,82.83,17,17.17,14014
14,17,106,94,88.68,12,11.32,14017
14,20,82,64,78.05,18,21.95,14020
14,21,207,191,92.27,16,7.73,14021
14,22,182,166,91.21,16,8.79,14022
14,24,121,99,81.82,22,18.18,14024
14,25,104,89,85.58,15,14.42,14025
14,26,137,117,85.4,20,14.6,14026
14,29,182,155,85.16,27,14.84,14029
14,32,131,103,78.63,28,21.37,14032
14,38,125,110,88.0,15,12.0,14038
14,42,113,93,82.3,20,17.7,14042
14,46,191,176,92.15,15,7.85,14046
15,6,86,68,79.07,18,20.93,15006
15,22,184,152,82.61,32,17.39,15022
15,24,136,112,82.35,24,17.65,15024
15,38,9,6,66.67,3,33.33,15038
16,1,82,73,89.02,9,10.98,16001
16,2,0,0,0.0,0,0.0,16002
16,11,71,61,85.92,10,14.08,16011
16,13,74,66,89.19,8,10.81,16013
16,21,78,65,83.33,13,16.67,16021
16,23,113,90,79.65,23,20.35,16023
16,32,33,27,81.82,6,18.18,16032
16,41,77,59,76.62,18,23.38,16041
