ward,precinct,total,DONNA PHELPS FELTON,DONNA PHELPS FELTON Percent,WILLIAM J. FROST,WILLIAM J. FROST Percent,KAREN G. SHIELDS,KAREN G. SHIELDS Percent,CHARLES E. DONEGAN,CHARLES E. DONEGAN Percent,ELLEN L. FLANNIGAN,ELLEN L. FLANNIGAN Percent,RODNEY C. HOWARD,RODNEY C. HOWARD Percent,CAROL J. KENNY,CAROL J. KENNY Percent,precinct_id
1,1,81,16,19.75,7,8.64,18,22.22,6,7.41,21,25.93,5,6.17,8,9.88,01001
1,2,123,23,18.7,8,6.5,36,29.27,11,8.94,23,18.7,8,6.5,14,11.38,01002
1,3,70,7,10.0,6,8.57,21,30.0,7,10.0,14,20.0,5,7.14,10,14.29,01003
1,4,97,14,14.43,8,8.25,39,40.21,6,6.19,18,18.56,1,1.03,11,11.34,01004
1,5,90,14,15.56,10,11.11,25,27.78,7,7.78,15,16.67,7,7.78,12,13.33,01005
1,6,65,14,21.54,8,12.31,20,30.77,3,4.62,12,18.46,1,1.54,7,10.77,01006
1,7,124,26,20.97,11,8.87,31,25.0,7,5.65,27,21.77,3,2.42,19,15.32,01007
1,8,75,16,21.33,18,24.0,14,18.67,4,5.33,6,8.0,5,6.67,12,16.0,01008
1,9,136,20,14.71,17,12.5,45,33.09,9,6.62,27,19.85,6,4.41,12,8.82,01009
1,10,112,21,18.75,16,14.29,27,24.11,8,7.14,17,15.18,7,6.25,16,14.29,01010
1,11,63,11,17.46,6,9.52,14,22.22,5,7.94,14,22.22,4,6.35,9,14.29,01011
1,12,176,29,16.48,24,13.64,37,21.02,5,2.84,38,21.59,13,7.39,30,17.05,01012
1,13,83,16,19.28,11,13.25,20,24.1,6,7.23,17,20.48,6,7.23,7,8.43,01013
1,14,96,16,16.67,11,11.46,25,26.04,9,9.38,10,10.42,7,7.29,18,18.75,01014
1,15,124,25,20.16,17,13.71,41,33.06,12,9.68,22,17.74,2,1.61,5,4.03,01015
1,16,92,16,17.39,15,16.3,14,15.22,7,7.61,15,16.3,10,10.87,15,16.3,01016
1,17,89,11,12.36,3,3.37,37,41.57,9,10.11,12,13.48,5,5.62,12,13.48,01017
1,18,135,19,14.07,17,12.59,42,31.11,10,7.41,24,17.78,7,5.19,16,11.85,01018
1,19,96,13,13.54,15,15.63,22,22.92,9,9.38,18,18.75,4,4.17,15,15.63,01019
1,20,81,14,17.28,4,4.94,30,37.04,7,8.64,8,9.88,2,2.47,16,19.75,01020
