ward,precinct,total,MAURA SLATTERY BOYLE,MAURA SLATTERY BOYLE Percent,precinct_id
2,28,5,5,100.0,02028
2,32,0,0,0.0,02032
3,36,28,28,100.0,03036
3,47,0,0,0.0,03047
3,51,42,42,100.0,03051
11,1,122,122,100.0,11001
11,2,126,126,100.0,11002
11,3,151,151,100.0,11003
11,4,168,168,100.0,11004
11,5,77,77,100.0,11005
11,6,206,206,100.0,11006
11,7,189,189,100.0,11007
11,8,152,152,100.0,11008
11,9,185,185,100.0,11009
11,10,98,98,100.0,11010
11,11,151,151,100.0,11011
11,14,62,62,100.0,11014
11,15,10,10,100.0,11015
11,16,131,131,100.0,11016
11,17,185,185,100.0,11017
11,18,117,117,100.0,11018
11,19,122,122,100.0,11019
11,20,227,227,100.0,11020
11,21,313,313,100.0,11021
11,22,70,70,100.0,11022
11,23,136,136,100.0,11023
11,24,290,290,100.0,11024
11,25,138,138,100.0,11025
11,26,207,207,100.0,11026
11,27,43,43,100.0,11027
11,29,222,222,100.0,11029
11,30,134,134,100.0,11030
11,31,46,46,100.0,11031
11,35,186,186,100.0,11035
11,36,77,77,100.0,11036
11,37,271,271,100.0,11037
11,38,255,255,100.0,11038
11,40,169,169,100.0,11040
11,41,135,135,100.0,11041
11,44,138,138,100.0,11044
11,50,97,97,100.0,11050
11,52,206,206,100.0,11052
12,1,47,47,100.0,12001
12,2,82,82,100.0,12002
12,3,91,91,100.0,12003
12,4,76,76,100.0,12004
12,5,40,40,100.0,12005
12,6,90,90,100.0,12006
12,7,48,48,100.0,12007
12,8,53,53,100.0,12008
12,9,73,73,100.0,12009
12,10,45,45,100.0,12010
12,11,78,78,100.0,12011
12,12,60,60,100.0,12012
12,13,39,39,100.0,12013
12,14,54,54,100.0,12014
12,15,55,55,100.0,12015
12,16,98,98,100.0,12016
12,17,27,27,100.0,12017
12,18,46,46,100.0,12018
12,19,43,43,100.0,12019
12,20,48,48,100.0,12020
12,21,107,107,100.0,12021
12,22,54,54,100.0,12022
12,23,94,94,100.0,12023
12,24,30,30,100.0,12024
12,25,57,57,100.0,12025
12,26,41,41,100.0,12026
12,27,36,36,100.0,12027
12,28,47,47,100.0,12028
12,29,156,156,100.0,12029
12,30,119,119,100.0,12030
14,5,64,64,100.0,14005
14,6,82,82,100.0,14006
14,7,87,87,100.0,14007
14,8,78,78,100.0,14008
14,10,31,31,100.0,14010
14,11,64,64,100.0,14011
14,12,41,41,100.0,14012
14,14,62,62,100.0,14014
14,15,30,30,100.0,14015
14,16,72,72,100.0,14016
14,17,47,47,100.0,14017
14,18,56,56,100.0,14018
14,19,83,83,100.0,14019
14,20,55,55,100.0,14020
14,21,107,107,100.0,14021
14,22,81,81,100.0,14022
14,23,68,68,100.0,14023
14,24,82,82,100.0,14024
14,25,61,61,100.0,14025
14,26,73,73,100.0,14026
14,29,102,102,100.0,14029
14,30,84,84,100.0,14030
14,31,67,67,100.0,14031
14,32,85,85,100.0,14032
14,33,57,57,100.0,14033
14,34,57,57,100.0,14034
14,36,102,102,100.0,14036
14,37,51,51,100.0,14037
14,38,77,77,100.0,14038
14,39,72,72,100.0,14039
14,40,69,69,100.0,14040
14,41,84,84,100.0,14041
14,42,63,63,100.0,14042
14,46,88,88,100.0,14046
14,47,205,205,100.0,14047
14,48,60,60,100.0,14048
15,6,62,62,100.0,15006
15,9,69,69,100.0,15009
15,11,62,62,100.0,15011
15,22,120,120,100.0,15022
15,24,92,92,100.0,15024
15,29,79,79,100.0,15029
15,30,71,71,100.0,15030
15,38,69,69,100.0,15038
15,48,62,62,100.0,15048
16,1,55,55,100.0,16001
16,2,29,29,100.0,16002
16,4,10,10,100.0,16004
16,7,52,52,100.0,16007
16,11,76,76,100.0,16011
16,13,58,58,100.0,16013
16,21,61,61,100.0,16021
16,23,70,70,100.0,16023
16,32,22,22,100.0,16032
16,41,53,53,100.0,16041
16,42,107,107,100.0,16042
22,2,96,96,100.0,22002
22,3,103,103,100.0,22003
22,4,94,94,100.0,22004
22,5,145,145,100.0,22005
22,6,89,89,100.0,22006
22,9,125,125,100.0,22009
22,10,152,152,100.0,22010
22,11,103,103,100.0,22011
22,13,91,91,100.0,22013
22,14,50,50,100.0,22014
22,16,102,102,100.0,22016
22,17,114,114,100.0,22017
22,18,88,88,100.0,22018
22,19,54,54,100.0,22019
22,23,99,99,100.0,22023
22,24,104,104,100.0,22024
22,25,106,106,100.0,22025
22,26,62,62,100.0,22026
22,27,121,121,100.0,22027
22,29,47,47,100.0,22029
23,23,91,91,100.0,23023
24,10,0,0,0.0,24010
24,44,30,30,100.0,24044
24,53,68,68,100.0,24053
25,1,68,68,100.0,25001
25,2,101,101,100.0,25002
25,5,97,97,100.0,25005
25,6,82,82,100.0,25006
25,7,68,68,100.0,25007
25,8,72,72,100.0,25008
25,9,135,135,100.0,25009
25,11,108,108,100.0,25011
25,12,57,57,100.0,25012
25,13,82,82,100.0,25013
25,14,0,0,0.0,25014
25,15,80,80,100.0,25015
25,17,77,77,100.0,25017
25,19,76,76,100.0,25019
25,20,95,95,100.0,25020
25,22,76,76,100.0,25022
25,23,69,69,100.0,25023
28,52,0,0,0.0,28052
42,12,41,41,100.0,42012
42,32,45,45,100.0,42032
