ward,precinct,total,BARACK OBAMA,BARACK OBAMA Percent,GEORGE C. ROBY,GEORGE C. ROBY Percent,DONNE E. TROTTER,DONNE E. TROTTER Percent,BOBBY L. RUSH,BOBBY L. RUSH Percent,precinct_id
2,2,293,102,34.81,2,0.68,13,4.44,176,60.07,02002
2,6,100,3,3.0,2,2.0,2,2.0,93,93.0,02006
2,12,253,25,9.88,2,0.79,10,3.95,216,85.38,02012
2,13,278,73,26.26,1,0.36,14,5.04,190,68.35,02013
2,14,166,34,20.48,2,1.2,15,9.04,115,69.28,02014
2,16,101,11,10.89,5,4.95,5,4.95,80,79.21,02016
2,18,290,39,13.45,2,0.69,10,3.45,239,82.41,02018
2,20,229,38,16.59,3,1.31,9,3.93,179,78.17,02020
2,21,192,22,11.46,2,1.04,8,4.17,160,83.33,02021
2,24,148,15,10.14,2,1.35,6,4.05,125,84.46,02024
2,29,103,3,2.91,0,0.0,3,2.91,97,94.17,02029
2,31,200,53,26.5,2,1.0,8,4.0,137,68.5,02031
2,33,271,86,31.73,4,1.48,19,7.01,162,59.78,02033
2,44,217,27,12.44,1,0.46,8,3.69,181,83.41,02044
2,45,83,13,15.66,0,0.0,2,2.41,68,81.93,02045
2,46,318,96,30.19,2,0.63,12,3.77,208,65.41,02046
2,47,120,34,28.33,0,0.0,12,10.0,74,61.67,02047
2,48,200,49,24.5,2,1.0,4,2.0,145,72.5,02048
3,2,254,38,14.96,3,1.18,11,4.33,202,79.53,03002
3,3,51,3,5.88,2,3.92,2,3.92,44,86.27,03003
3,6,46,0,0.0,0,0.0,2,4.35,44,95.65,03006
3,9,117,17,14.53,2,1.71,11,9.4,87,74.36,03009
3,23,38,3,7.89,0,0.0,3,7.89,32,84.21,03023
3,24,158,18,11.39,1,0.63,6,3.8,133,84.18,03024
3,25,35,1,2.86,0,0.0,1,2.86,33,94.29,03025
3,27,25,0,0.0,0,0.0,0,0.0,25,100.0,03027
3,28,172,31,18.02,4,2.33,7,4.07,130,75.58,03028
3,33,122,13,10.66,1,0.82,10,8.2,98,80.33,03033
3,34,37,5,13.51,0,0.0,1,2.7,31,83.78,03034
3,36,39,2,5.13,3,7.69,4,10.26,30,76.92,03036
3,38,210,23,10.95,2,0.95,6,2.86,179,85.24,03038
3,39,282,65,23.05,2,0.71,6,2.13,209,74.11,03039
3,41,89,17,19.1,3,3.37,2,2.25,67,75.28,03041
3,42,59,10,16.95,0,0.0,5,8.47,44,74.58,03042
3,44,82,6,7.32,1,1.22,6,7.32,69,84.15,03044
3,45,47,1,2.13,2,4.26,1,2.13,43,91.49,03045
4,1,177,99,55.93,1,0.56,6,3.39,71,40.11,04001
4,2,48,14,29.17,0,0.0,2,4.17,32,66.67,04002
4,3,237,60,25.32,2,0.84,9,3.8,166,70.04,04003
4,4,179,49,27.37,4,2.23,4,2.23,122,68.16,04004
4,5,198,32,16.16,2,1.01,6,3.03,158,79.8,04005
4,6,9,1,11.11,0,0.0,0,0.0,8,88.89,04006
4,7,138,37,26.81,0,0.0,4,2.9,97,70.29,04007
4,9,402,156,38.81,3,0.75,15,3.73,228,56.72,04009
4,10,235,54,22.98,4,1.7,13,5.53,164,69.79,04010
4,11,147,28,19.05,0,0.0,3,2.04,116,78.91,04011
4,12,142,27,19.01,1,0.7,6,4.23,108,76.06,04012
4,13,238,115,48.32,1,0.42,15,6.3,107,44.96,04013
4,14,120,29,24.17,1,0.83,4,3.33,86,71.67,04014
4,15,116,24,20.69,4,3.45,5,4.31,83,71.55,04015
4,16,212,45,21.23,3,1.42,8,3.77,156,73.58,04016
4,17,252,119,47.22,0,0.0,10,3.97,123,48.81,04017
4,18,142,14,9.86,4,2.82,15,10.56,109,76.76,04018
4,19,47,4,8.51,1,2.13,4,8.51,38,80.85,04019
4,20,75,12,16.0,0,0.0,3,4.0,60,80.0,04020
4,21,181,75,41.44,0,0.0,8,4.42,98,54.14,04021
4,22,281,149,53.02,0,0.0,14,4.98,118,41.99,04022
4,23,155,76,49.03,0,0.0,8,5.16,71,45.81,04023
4,24,230,84,36.52,0,0.0,12,5.22,134,58.26,04024
4,25,205,64,31.22,1,0.49,18,8.78,122,59.51,04025
