ward,precinct,total,BERNARD L. STONE,BERNARD L. STONE Percent,precinct_id
50,1,73,73,100.0,50001
50,2,79,79,100.0,50002
50,3,60,60,100.0,50003
50,4,129,129,100.0,50004
50,5,96,96,100.0,50005
50,6,109,109,100.0,50006
50,7,114,114,100.0,50007
50,8,102,102,100.0,50008
50,9,73,73,100.0,50009
50,10,110,110,100.0,50010
50,11,84,84,100.0,50011
50,12,156,156,100.0,50012
50,13,60,60,100.0,50013
50,14,132,132,100.0,50014
50,15,98,98,100.0,50015
50,16,102,102,100.0,50016
50,17,78,78,100.0,50017
50,18,82,82,100.0,50018
50,19,83,83,100.0,50019
50,20,76,76,100.0,50020
50,21,89,89,100.0,50021
50,22,68,68,100.0,50022
50,23,63,63,100.0,50023
50,24,39,39,100.0,50024
50,25,60,60,100.0,50025
50,26,98,98,100.0,50026
50,27,99,99,100.0,50027
50,28,110,110,100.0,50028
50,29,77,77,100.0,50029
50,30,78,78,100.0,50030
50,31,103,103,100.0,50031
50,32,45,45,100.0,50032
50,33,41,41,100.0,50033
50,34,75,75,100.0,50034
50,35,88,88,100.0,50035
50,36,87,87,100.0,50036
50,37,84,84,100.0,50037
50,38,116,116,100.0,50038
50,39,142,142,100.0,50039
50,40,80,80,100.0,50040
50,41,102,102,100.0,50041
50,42,134,134,100.0,50042
50,43,126,126,100.0,50043
50,44,86,86,100.0,50044
50,45,92,92,100.0,50045
50,46,59,59,100.0,50046
