ward,precinct,total,MARVIN J. LEAVITT,MARVIN J. LEAVITT Percent,DENNIS MICHAEL MCGUIRE,DENNIS MICHAEL MCGUIRE Percent,JOYCE M. MURPHY,JOYCE M. MURPHY Percent,THOMAS JAMES LAWLER,THOMAS JAMES LAWLER Percent,precinct_id
1,1,76,21,27.63,16,21.05,33,43.42,6,7.89,01001
1,2,119,35,29.41,26,21.85,39,32.77,19,15.97,01002
1,3,71,30,42.25,21,29.58,17,23.94,3,4.23,01003
1,4,100,37,37.0,24,24.0,32,32.0,7,7.0,01004
1,5,81,27,33.33,14,17.28,30,37.04,10,12.35,01005
1,6,79,35,44.3,15,18.99,24,30.38,5,6.33,01006
1,7,122,40,32.79,26,21.31,47,38.52,9,7.38,01007
1,8,71,24,33.8,18,25.35,22,30.99,7,9.86,01008
1,9,125,40,32.0,32,25.6,42,33.6,11,8.8,01009
1,10,122,37,30.33,26,21.31,48,39.34,11,9.02,01010
1,11,65,23,35.38,13,20.0,18,27.69,11,16.92,01011
1,12,167,44,26.35,34,20.36,61,36.53,28,16.77,01012
1,13,78,27,34.62,18,23.08,24,30.77,9,11.54,01013
1,14,73,24,32.88,16,21.92,22,30.14,11,15.07,01014
1,15,97,36,37.11,22,22.68,27,27.84,12,12.37,01015
1,16,92,32,34.78,18,19.57,32,34.78,10,10.87,01016
1,17,102,40,39.22,15,14.71,38,37.25,9,8.82,01017
1,18,116,35,30.17,23,19.83,40,34.48,18,15.52,01018
1,19,98,31,31.63,22,22.45,31,31.63,14,14.29,01019
1,20,72,18,25.0,12,16.67,33,45.83,9,12.5,01020
1,21,137,39,28.47,26,18.98,47,34.31,25,18.25,01021
1,22,64,15,23.44,18,28.13,23,35.94,8,12.5,01022
1,23,169,48,28.4,48,28.4,55,32.54,18,10.65,01023
1,24,99,41,41.41,14,14.14,38,38.38,6,6.06,01024
1,25,140,55,39.29,24,17.14,47,33.57,14,10.0,01025
1,26,210,90,42.86,37,17.62,63,30.0,20,9.52,01026
1,27,85,31,36.47,17,20.0,30,35.29,7,8.24,01027
1,28,23,4,17.39,5,21.74,11,47.83,3,13.04,01028
1,29,160,40,25.0,35,21.88,56,35.0,29,18.13,01029
1,30,104,44,42.31,22,21.15,29,27.88,9,8.65,01030
1,31,26,1,3.85,5,19.23,18,69.23,2,7.69,01031
1,32,108,32,29.63,22,20.37,35,32.41,19,17.59,01032
1,33,150,51,34.0,38,25.33,45,30.0,16,10.67,01033
1,34,12,6,50.0,1,8.33,5,41.67,0,0.0,01034
1,35,29,8,27.59,5,17.24,10,34.48,6,20.69,01035
1,36,103,25,24.27,30,29.13,38,36.89,10,9.71,01036
2,1,90,22,24.44,17,18.89,41,45.56,10,11.11,02001
2,2,200,41,20.5,27,13.5,104,52.0,28,14.0,02002
2,3,88,19,21.59,18,20.45,39,44.32,12,13.64,02003
2,4,19,5,26.32,6,31.58,5,26.32,3,15.79,02004
2,5,47,8,17.02,13,27.66,25,53.19,1,2.13,02005
2,6,63,10,15.87,20,31.75,24,38.1,9,14.29,02006
2,7,160,36,22.5,21,13.13,75,46.88,28,17.5,02007
2,8,138,41,29.71,15,10.87,68,49.28,14,10.14,02008
2,9,53,12,22.64,15,28.3,20,37.74,6,11.32,02009
2,10,58,8,13.79,12,20.69,26,44.83,12,20.69,02010
2,11,205,88,42.93,30,14.63,60,29.27,27,13.17,02011
2,12,142,23,16.2,18,12.68,73,51.41,28,19.72,02012
2,13,192,28,14.58,19,9.9,117,60.94,28,14.58,02013
2,14,110,22,20.0,22,20.0,49,44.55,17,15.45,02014
2,15,40,8,20.0,5,12.5,20,50.0,7,17.5,02015
2,16,69,13,18.84,16,23.19,30,43.48,10,14.49,02016
2,17,99,31,31.31,16,16.16,41,41.41,11,11.11,02017
2,18,180,36,20.0,20,11.11,101,56.11,23,12.78,02018
2,19,61,11,18.03,14,22.95,28,45.9,8,13.11,02019
2,20,141,24,17.02,12,8.51,82,58.16,23,16.31,02020
2,21,132,17,12.88,18,13.64,86,65.15,11,8.33,02021
2,22,180,65,36.11,17,9.44,76,42.22,22,12.22,02022
2,23,79,20,25.32,14,17.72,35,44.3,10,12.66,02023
2,24,71,16,22.54,5,7.04,32,45.07,18,25.35,02024
2,25,32,8,25.0,5,15.63,12,37.5,7,21.88,02025
2,26,71,20,28.17,6,8.45,33,46.48,12,16.9,02026
2,27,17,3,17.65,5,29.41,8,47.06,1,5.88,02027
2,28,132,25,18.94,18,13.64,79,59.85,10,7.58,02028
