ward,precinct,total,WILLIS HARRIS,WILLIS HARRIS Percent,precinct_id
9,3,91,44,48.35,09003
9,4,227,96,42.29,09004
9,6,160,56,35.0,09006
9,7,157,66,42.04,09007
9,11,98,64,65.31,09011
9,15,79,45,56.96,09015
9,16,173,101,58.38,09016
9,18,147,85,57.82,09018
9,19,191,61,31.94,09019
9,24,83,50,60.24,09024
9,26,109,51,46.79,09026
9,28,124,75,60.48,09028
9,30,182,77,42.31,09030
9,33,145,49,33.79,09033
9,39,160,77,48.13,09039
9,41,220,95,43.18,09041
9,42,122,79,64.75,09042
9,44,147,58,39.46,09044
9,45,209,80,38.28,09045
9,47,132,50,37.88,09047
9,50,218,90,41.28,09050
34,3,115,56,48.7,34003
34,5,65,48,73.85,34005
34,6,145,79,54.48,34006
34,9,100,59,59.0,34009
34,11,112,76,67.86,34011
34,13,85,47,55.29,34013
34,14,103,75,72.82,34014
34,15,68,30,44.12,34015
34,16,108,49,45.37,34016
34,17,137,74,54.01,34017
34,31,111,69,62.16,34031
34,35,199,81,40.7,34035
34,40,166,86,51.81,34040
34,50,142,48,33.8,34050
34,54,109,58,53.21,34054
34,55,119,74,62.18,34055
34,57,71,45,63.38,34057
34,59,112,70,62.5,34059
34,60,130,55,42.31,34060
