ward,precinct,total,VILMA COLOM,VILMA COLOM Percent,precinct_id
35,1,116,116,100.0,35001
35,2,111,111,100.0,35002
35,3,86,86,100.0,35003
35,4,54,54,100.0,35004
35,5,123,123,100.0,35005
35,6,159,159,100.0,35006
35,7,116,116,100.0,35007
35,8,53,53,100.0,35008
35,9,140,140,100.0,35009
35,10,141,141,100.0,35010
35,11,102,102,100.0,35011
35,12,118,118,100.0,35012
35,13,110,110,100.0,35013
35,14,141,141,100.0,35014
35,15,107,107,100.0,35015
35,16,141,141,100.0,35016
35,17,137,137,100.0,35017
35,18,120,120,100.0,35018
35,19,141,141,100.0,35019
35,20,61,61,100.0,35020
35,21,129,129,100.0,35021
35,22,92,92,100.0,35022
35,23,101,101,100.0,35023
35,24,152,152,100.0,35024
35,25,72,72,100.0,35025
35,26,109,109,100.0,35026
35,27,182,182,100.0,35027
35,28,88,88,100.0,35028
35,29,128,128,100.0,35029
35,30,179,179,100.0,35030
35,31,183,183,100.0,35031
35,32,75,75,100.0,35032
35,33,90,90,100.0,35033
35,34,110,110,100.0,35034
35,35,79,79,100.0,35035
