ward,precinct,total,MADELINE L. HAITHCOCK,MADELINE L. HAITHCOCK Percent,BOBBY L. RUSH,BOBBY L. RUSH Percent,precinct_id
2,1,113,65,57.52,48,42.48,02001
2,2,290,137,47.24,153,52.76,02002
2,3,119,46,38.66,73,61.34,02003
2,4,41,11,26.83,30,73.17,02004
2,5,70,29,41.43,41,58.57,02005
2,6,98,23,23.47,75,76.53,02006
2,7,221,63,28.51,158,71.49,02007
2,8,187,102,54.55,85,45.45,02008
2,9,94,10,10.64,84,89.36,02009
2,10,82,25,30.49,57,69.51,02010
2,11,302,193,63.91,109,36.09,02011
2,12,230,68,29.57,162,70.43,02012
2,13,267,93,34.83,174,65.17,02013
2,14,158,65,41.14,93,58.86,02014
2,15,49,16,32.65,33,67.35,02015
2,16,100,37,37.0,63,63.0,02016
2,17,135,54,40.0,81,60.0,02017
2,18,265,83,31.32,182,68.68,02018
2,19,80,34,42.5,46,57.5,02019
2,20,212,60,28.3,152,71.7,02020
2,21,189,62,32.8,127,67.2,02021
2,22,252,187,74.21,65,25.79,02022
2,23,119,56,47.06,63,52.94,02023
2,24,130,41,31.54,89,68.46,02024
2,25,48,20,41.67,28,58.33,02025
2,26,100,28,28.0,72,72.0,02026
2,27,39,8,20.51,31,79.49,02027
2,28,177,32,18.08,145,81.92,02028
2,29,96,26,27.08,70,72.92,02029
2,30,138,26,18.84,112,81.16,02030
2,31,193,78,40.41,115,59.59,02031
2,32,118,21,17.8,97,82.2,02032
2,33,260,92,35.38,168,64.62,02033
2,34,181,31,17.13,150,82.87,02034
2,35,30,16,53.33,14,46.67,02035
2,36,107,46,42.99,61,57.01,02036
2,37,98,45,45.92,53,54.08,02037
2,38,155,52,33.55,103,66.45,02038
2,39,139,52,37.41,87,62.59,02039
2,40,146,65,44.52,81,55.48,02040
2,41,63,16,25.4,47,74.6,02041
2,42,41,13,31.71,28,68.29,02042
2,43,203,142,69.95,61,30.05,02043
2,44,215,53,24.65,162,75.35,02044
2,45,85,24,28.24,61,71.76,02045
2,46,305,159,52.13,146,47.87,02046
2,47,115,49,42.61,66,57.39,02047
2,48,197,65,32.99,132,67.01,02048
2,49,55,32,58.18,23,41.82,02049
2,50,87,64,73.56,23,26.44,02050
2,51,118,65,55.08,53,44.92,02051
2,52,116,51,43.97,65,56.03,02052
2,53,81,28,34.57,53,65.43,02053
2,54,167,84,50.3,83,49.7,02054
