ward,precinct,total,JAN SCHAKOWSKY,JAN SCHAKOWSKY Percent,precinct_id
39,1,71,71,100.0,39001
39,3,109,109,100.0,39003
39,15,57,57,100.0,39015
39,20,73,73,100.0,39020
39,23,55,55,100.0,39023
39,26,125,125,100.0,39026
39,28,53,53,100.0,39028
39,32,305,305,100.0,39032
39,34,66,66,100.0,39034
39,36,278,278,100.0,39036
39,37,109,109,100.0,39037
39,38,155,155,100.0,39038
39,40,59,59,100.0,39040
39,42,81,81,100.0,39042
39,47,56,56,100.0,39047
40,3,81,81,100.0,40003
40,4,141,141,100.0,40004
40,7,71,71,100.0,40007
40,8,165,165,100.0,40008
40,9,50,50,100.0,40009
40,11,81,81,100.0,40011
40,12,87,87,100.0,40012
40,13,87,87,100.0,40013
40,15,88,88,100.0,40015
40,16,202,202,100.0,40016
40,18,80,80,100.0,40018
40,22,60,60,100.0,40022
40,26,101,101,100.0,40026
40,27,161,161,100.0,40027
40,28,67,67,100.0,40028
40,33,81,81,100.0,40033
40,35,102,102,100.0,40035
40,37,88,88,100.0,40037
40,39,82,82,100.0,40039
40,41,128,128,100.0,40041
40,42,119,119,100.0,40042
40,43,94,94,100.0,40043
40,45,133,133,100.0,40045
40,46,103,103,100.0,40046
40,47,95,95,100.0,40047
41,1,83,83,100.0,41001
41,2,120,120,100.0,41002
41,3,107,107,100.0,41003
41,4,89,89,100.0,41004
41,5,93,93,100.0,41005
41,6,73,73,100.0,41006
41,7,138,138,100.0,41007
41,8,87,87,100.0,41008
41,9,69,69,100.0,41009
41,10,99,99,100.0,41010
41,11,76,76,100.0,41011
41,12,99,99,100.0,41012
41,14,119,119,100.0,41014
41,15,58,58,100.0,41015
41,16,89,89,100.0,41016
41,17,88,88,100.0,41017
41,18,90,90,100.0,41018
41,19,115,115,100.0,41019
41,20,121,121,100.0,41020
41,21,69,69,100.0,41021
41,22,85,85,100.0,41022
41,23,82,82,100.0,41023
41,24,87,87,100.0,41024
41,30,74,74,100.0,41030
41,31,95,95,100.0,41031
41,34,67,67,100.0,41034
41,35,77,77,100.0,41035
41,36,82,82,100.0,41036
41,37,92,92,100.0,41037
41,39,89,89,100.0,41039
41,40,80,80,100.0,41040
41,41,94,94,100.0,41041
41,42,88,88,100.0,41042
41,43,73,73,100.0,41043
41,44,83,83,100.0,41044
41,45,74,74,100.0,41045
41,46,71,71,100.0,41046
41,47,108,108,100.0,41047
41,49,86,86,100.0,41049
41,50,96,96,100.0,41050
41,51,50,50,100.0,41051
41,52,104,104,100.0,41052
41,53,74,74,100.0,41053
41,54,81,81,100.0,41054
41,56,101,101,100.0,41056
41,57,94,94,100.0,41057
41,58,52,52,100.0,41058
41,59,83,83,100.0,41059
41,60,62,62,100.0,41060
41,61,114,114,100.0,41061
41,62,83,83,100.0,41062
41,63,75,75,100.0,41063
41,64,103,103,100.0,41064
41,65,72,72,100.0,41065
41,66,101,101,100.0,41066
44,1,108,108,100.0,44001
44,2,63,63,100.0,44002
44,3,117,117,100.0,44003
44,4,164,164,100.0,44004
44,5,75,75,100.0,44005
44,6,56,56,100.0,44006
44,7,108,108,100.0,44007
44,8,113,113,100.0,44008
44,10,131,131,100.0,44010
44,12,63,63,100.0,44012
44,15,75,75,100.0,44015
44,17,87,87,100.0,44017
44,18,30,30,100.0,44018
44,19,52,52,100.0,44019
44,21,65,65,100.0,44021
44,22,63,63,100.0,44022
44,23,68,68,100.0,44023
44,24,63,63,100.0,44024
44,26,69,69,100.0,44026
44,28,59,59,100.0,44028
44,30,64,64,100.0,44030
44,31,80,80,100.0,44031
44,32,43,43,100.0,44032
44,33,100,100,100.0,44033
44,34,58,58,100.0,44034
44,35,94,94,100.0,44035
44,36,74,74,100.0,44036
44,37,119,119,100.0,44037
44,41,93,93,100.0,44041
44,42,81,81,100.0,44042
44,44,130,130,100.0,44044
44,45,75,75,100.0,44045
44,46,57,57,100.0,44046
44,48,71,71,100.0,44048
44,49,72,72,100.0,44049
45,1,73,73,100.0,45001
45,2,100,100,100.0,45002
45,3,217,217,100.0,45003
45,4,99,99,100.0,45004
45,5,63,63,100.0,45005
45,6,97,97,100.0,45006
45,9,134,134,100.0,45009
45,11,101,101,100.0,45011
45,13,160,160,100.0,45013
45,15,156,156,100.0,45015
45,17,127,127,100.0,45017
45,19,196,196,100.0,45019
45,21,111,111,100.0,45021
45,22,110,110,100.0,45022
45,23,89,89,100.0,45023
45,27,111,111,100.0,45027
45,30,124,124,100.0,45030
45,32,97,97,100.0,45032
45,33,132,132,100.0,45033
45,34,100,100,100.0,45034
45,36,123,123,100.0,45036
45,44,124,124,100.0,45044
45,49,107,107,100.0,45049
45,51,142,142,100.0,45051
45,52,100,100,100.0,45052
45,54,129,129,100.0,45054
45,57,132,132,100.0,45057
45,58,65,65,100.0,45058
46,1,204,204,100.0,46001
46,2,89,89,100.0,46002
46,3,94,94,100.0,46003
46,4,82,82,100.0,46004
46,5,57,57,100.0,46005
46,6,63,63,100.0,46006
46,7,131,131,100.0,46007
46,8,61,61,100.0,46008
46,9,92,92,100.0,46009
46,10,89,89,100.0,46010
46,11,118,118,100.0,46011
46,12,110,110,100.0,46012
46,13,99,99,100.0,46013
46,14,75,75,100.0,46014
46,15,117,117,100.0,46015
46,16,145,145,100.0,46016
46,17,142,142,100.0,46017
46,18,110,110,100.0,46018
46,19,127,127,100.0,46019
46,20,68,68,100.0,46020
46,21,20,20,100.0,46021
46,22,69,69,100.0,46022
46,23,80,80,100.0,46023
46,24,79,79,100.0,46024
46,25,90,90,100.0,46025
46,26,120,120,100.0,46026
46,27,116,116,100.0,46027
46,28,123,123,100.0,46028
46,29,128,128,100.0,46029
46,30,117,117,100.0,46030
46,31,114,114,100.0,46031
46,32,117,117,100.0,46032
46,33,92,92,100.0,46033
46,34,93,93,100.0,46034
46,35,125,125,100.0,46035
46,36,136,136,100.0,46036
46,37,100,100,100.0,46037
46,38,84,84,100.0,46038
46,39,92,92,100.0,46039
47,21,96,96,100.0,47021
47,30,77,77,100.0,47030
47,31,134,134,100.0,47031
47,32,211,211,100.0,47032
47,34,135,135,100.0,47034
47,41,79,79,100.0,47041
48,1,149,149,100.0,48001
48,2,119,119,100.0,48002
48,3,103,103,100.0,48003
48,4,102,102,100.0,48004
48,5,124,124,100.0,48005
48,6,127,127,100.0,48006
48,7,129,129,100.0,48007
48,8,106,106,100.0,48008
48,9,94,94,100.0,48009
48,10,68,68,100.0,48010
48,11,187,187,100.0,48011
48,12,74,74,100.0,48012
48,13,106,106,100.0,48013
48,14,117,117,100.0,48014
48,15,94,94,100.0,48015
48,16,118,118,100.0,48016
48,17,88,88,100.0,48017
48,18,79,79,100.0,48018
48,19,139,139,100.0,48019
48,20,90,90,100.0,48020
48,21,108,108,100.0,48021
48,22,199,199,100.0,48022
48,23,85,85,100.0,48023
48,24,99,99,100.0,48024
48,25,88,88,100.0,48025
48,26,125,125,100.0,48026
48,27,90,90,100.0,48027
48,28,125,125,100.0,48028
48,29,144,144,100.0,48029
48,30,89,89,100.0,48030
48,31,84,84,100.0,48031
48,32,83,83,100.0,48032
48,33,108,108,100.0,48033
48,34,91,91,100.0,48034
48,35,85,85,100.0,48035
48,36,108,108,100.0,48036
48,37,116,116,100.0,48037
48,38,159,159,100.0,48038
48,39,90,90,100.0,48039
48,40,101,101,100.0,48040
48,41,67,67,100.0,48041
48,42,120,120,100.0,48042
48,43,91,91,100.0,48043
48,44,91,91,100.0,48044
48,45,48,48,100.0,48045
48,46,66,66,100.0,48046
48,47,69,69,100.0,48047
48,48,90,90,100.0,48048
49,1,127,127,100.0,49001
49,2,135,135,100.0,49002
49,3,120,120,100.0,49003
49,4,75,75,100.0,49004
49,5,78,78,100.0,49005
49,6,83,83,100.0,49006
49,7,75,75,100.0,49007
49,8,85,85,100.0,49008
49,9,96,96,100.0,49009
49,10,145,145,100.0,49010
49,11,133,133,100.0,49011
49,12,71,71,100.0,49012
49,13,109,109,100.0,49013
49,14,119,119,100.0,49014
49,15,81,81,100.0,49015
49,16,107,107,100.0,49016
49,17,25,25,100.0,49017
49,18,100,100,100.0,49018
49,19,76,76,100.0,49019
49,20,151,151,100.0,49020
49,21,71,71,100.0,49021
49,22,104,104,100.0,49022
49,23,86,86,100.0,49023
49,24,110,110,100.0,49024
49,25,86,86,100.0,49025
49,26,155,155,100.0,49026
49,27,108,108,100.0,49027
49,28,85,85,100.0,49028
49,29,62,62,100.0,49029
49,30,95,95,100.0,49030
49,31,90,90,100.0,49031
49,32,89,89,100.0,49032
49,33,70,70,100.0,49033
49,34,82,82,100.0,49034
49,35,105,105,100.0,49035
49,36,70,70,100.0,49036
49,37,70,70,100.0,49037
50,1,81,81,100.0,50001
50,2,99,99,100.0,50002
50,3,80,80,100.0,50003
50,4,132,132,100.0,50004
50,5,105,105,100.0,50005
50,6,91,91,100.0,50006
50,7,131,131,100.0,50007
50,8,93,93,100.0,50008
50,9,93,93,100.0,50009
50,10,82,82,100.0,50010
50,11,87,87,100.0,50011
50,12,160,160,100.0,50012
50,13,68,68,100.0,50013
50,14,124,124,100.0,50014
50,15,120,120,100.0,50015
50,16,100,100,100.0,50016
50,17,72,72,100.0,50017
50,18,104,104,100.0,50018
50,19,86,86,100.0,50019
