ward,precinct,total,ISAAC SIMS CAROTHERS,ISAAC SIMS CAROTHERS Percent,DANNY K. DAVIS,DANNY K. DAVIS Percent,precinct_id
29,1,178,99,55.62,79,44.38,29001
29,2,89,46,51.69,43,48.31,29002
29,3,194,105,54.12,89,45.88,29003
29,4,168,90,53.57,78,46.43,29004
29,5,205,114,55.61,91,44.39,29005
29,6,46,29,63.04,17,36.96,29006
29,7,113,34,30.09,79,69.91,29007
29,8,203,123,60.59,80,39.41,29008
29,9,222,58,26.13,164,73.87,29009
29,10,186,145,77.96,41,22.04,29010
29,11,159,66,41.51,93,58.49,29011
29,12,143,61,42.66,82,57.34,29012
29,13,218,105,48.17,113,51.83,29013
29,14,180,76,42.22,104,57.78,29014
29,15,207,71,34.3,136,65.7,29015
29,16,129,79,61.24,50,38.76,29016
29,17,147,70,47.62,77,52.38,29017
29,18,159,97,61.01,62,38.99,29018
29,19,164,83,50.61,81,49.39,29019
29,20,235,148,62.98,87,37.02,29020
29,21,155,61,39.35,94,60.65,29021
29,22,126,58,46.03,68,53.97,29022
29,23,138,72,52.17,66,47.83,29023
29,24,214,125,58.41,89,41.59,29024
29,25,217,120,55.3,97,44.7,29025
29,26,169,78,46.15,91,53.85,29026
29,27,119,47,39.5,72,60.5,29027
29,28,178,137,76.97,41,23.03,29028
29,29,225,159,70.67,66,29.33,29029
29,30,128,76,59.38,52,40.63,29030
29,31,193,93,48.19,100,51.81,29031
29,32,162,80,49.38,82,50.62,29032
29,33,178,103,57.87,75,42.13,29033
29,34,116,73,62.93,43,37.07,29034
29,35,217,150,69.12,67,30.88,29035
29,36,244,154,63.11,90,36.89,29036
29,37,176,80,45.45,96,54.55,29037
29,38,185,76,41.08,109,58.92,29038
29,39,108,74,68.52,34,31.48,29039
29,40,336,220,65.48,116,34.52,29040
29,41,253,128,50.59,125,49.41,29041
29,42,120,57,47.5,63,52.5,29042
29,43,228,76,33.33,152,66.67,29043
29,44,167,100,59.88,67,40.12,29044
29,45,180,96,53.33,84,46.67,29045
29,46,132,60,45.45,72,54.55,29046
29,47,259,128,49.42,131,50.58,29047
29,48,52,38,73.08,14,26.92,29048
29,49,296,214,72.3,82,27.7,29049
29,50,273,222,81.32,51,18.68,29050
29,51,175,72,41.14,103,58.86,29051
29,52,153,89,58.17,64,41.83,29052
29,53,106,79,74.53,27,25.47,29053
29,54,117,73,62.39,44,37.61,29054
29,55,43,25,58.14,18,41.86,29055
29,56,118,35,29.66,83,70.34,29056
