ward,precinct,total,Marian Emily Perkins,Marian Emily Perkins Percent,Jenetia Marshall,Jenetia Marshall Percent,precinct_id
3,1,296,117,39.53,111,37.5,03001
3,2,358,138,38.55,117,32.68,03002
3,4,270,64,23.7,106,39.26,03004
3,5,129,51,39.53,46,35.66,03005
3,7,197,90,45.69,64,32.49,03007
3,8,162,55,33.95,60,37.04,03008
3,9,237,66,27.85,106,44.73,03009
3,10,104,46,44.23,34,32.69,03010
3,11,230,65,28.26,83,36.09,03011
3,12,289,98,33.91,97,33.56,03012
3,15,202,77,38.12,79,39.11,03015
3,16,197,69,35.03,80,40.61,03016
3,18,233,101,43.35,77,33.05,03018
3,20,225,72,32.0,75,33.33,03020
3,23,173,74,42.77,54,31.21,03023
3,24,195,87,44.62,63,32.31,03024
3,28,152,58,38.16,47,30.92,03028
3,29,220,94,42.73,68,30.91,03029
3,30,230,76,33.04,83,36.09,03030
3,31,269,87,32.34,99,36.8,03031
3,35,84,31,36.9,18,21.43,03035
3,36,123,43,34.96,41,33.33,03036
3,37,184,67,36.41,69,37.5,03037
3,38,247,110,44.53,79,31.98,03038
3,41,204,91,44.61,54,26.47,03041
4,1,333,120,36.04,64,19.22,04001
4,3,212,76,35.85,70,33.02,04003
4,4,326,110,33.74,115,35.28,04004
4,5,270,99,36.67,68,25.19,04005
4,6,243,108,44.44,70,28.81,04006
4,7,366,155,42.35,101,27.6,04007
4,8,302,119,39.4,85,28.15,04008
4,9,340,155,45.59,94,27.65,04009
4,10,321,122,38.01,93,28.97,04010
4,11,229,72,31.44,58,25.33,04011
4,12,276,90,32.61,81,29.35,04012
4,14,276,116,42.03,96,34.78,04014
4,15,309,122,39.48,92,29.77,04015
4,18,279,101,36.2,98,35.13,04018
4,19,171,78,45.61,56,32.75,04019
4,22,244,94,38.52,43,17.62,04022
4,23,358,143,39.94,74,20.67,04023
4,24,232,95,40.95,48,20.69,04024
4,26,234,100,42.74,68,29.06,04026
4,27,306,114,37.25,81,26.47,04027
4,28,211,88,41.71,85,40.28,04028
4,29,227,64,28.19,98,43.17,04029
4,30,292,98,33.56,97,33.22,04030
4,31,329,154,46.81,82,24.92,04031
4,32,274,95,34.67,87,31.75,04032
4,33,253,94,37.15,78,30.83,04033
4,34,226,94,41.59,66,29.2,04034
4,35,312,133,42.63,91,29.17,04035
4,36,302,128,42.38,71,23.51,04036
4,38,305,135,44.26,94,30.82,04038
