ward,precinct,total,Camille Lilly,Camille Lilly Percent,precinct_id
29,1,280,280,100.0,29001
29,4,213,213,100.0,29004
29,5,119,119,100.0,29005
29,7,210,210,100.0,29007
29,9,217,217,100.0,29009
29,10,252,252,100.0,29010
29,12,226,226,100.0,29012
29,13,175,175,100.0,29013
29,15,220,220,100.0,29015
29,17,193,193,100.0,29017
29,23,150,150,100.0,29023
29,24,147,147,100.0,29024
29,25,240,240,100.0,29025
29,26,202,202,100.0,29026
29,27,159,159,100.0,29027
29,30,112,112,100.0,29030
29,33,159,159,100.0,29033
29,35,131,131,100.0,29035
29,36,33,33,100.0,29036
29,37,177,177,100.0,29037
29,40,224,224,100.0,29040
29,41,135,135,100.0,29041
29,43,259,259,100.0,29043
29,44,217,217,100.0,29044
37,18,152,152,100.0,37018
37,29,80,80,100.0,37029
37,35,191,191,100.0,37035
37,37,181,181,100.0,37037
