ward,precinct,total,"Emil Jones, III","Emil Jones, III Percent",precinct_id
9,1,58,58,100.0,09001
9,2,174,174,100.0,09002
9,4,26,26,100.0,09004
9,5,202,202,100.0,09005
9,6,184,184,100.0,09006
9,9,63,63,100.0,09009
9,10,143,143,100.0,09010
9,13,66,66,100.0,09013
9,14,260,260,100.0,09014
9,17,130,130,100.0,09017
9,19,183,183,100.0,09019
9,20,221,221,100.0,09020
9,21,168,168,100.0,09021
9,22,228,228,100.0,09022
9,27,174,174,100.0,09027
9,29,155,155,100.0,09029
9,30,143,143,100.0,09030
9,31,116,116,100.0,09031
9,32,202,202,100.0,09032
9,34,144,144,100.0,09034
9,35,208,208,100.0,09035
9,38,87,87,100.0,09038
9,39,219,219,100.0,09039
9,40,244,244,100.0,09040
9,43,76,76,100.0,09043
9,44,34,34,100.0,09044
19,14,238,238,100.0,19014
19,20,236,236,100.0,19020
19,31,191,191,100.0,19031
19,40,221,221,100.0,19040
19,42,166,166,100.0,19042
19,43,319,319,100.0,19043
19,47,357,357,100.0,19047
19,48,263,263,100.0,19048
19,49,320,320,100.0,19049
21,2,55,55,100.0,21002
21,5,231,231,100.0,21005
21,6,147,147,100.0,21006
21,10,172,172,100.0,21010
21,11,160,160,100.0,21011
21,12,156,156,100.0,21012
21,17,140,140,100.0,21017
21,19,209,209,100.0,21019
21,20,48,48,100.0,21020
21,21,173,173,100.0,21021
21,22,119,119,100.0,21022
21,23,170,170,100.0,21023
21,24,214,214,100.0,21024
21,25,180,180,100.0,21025
21,27,171,171,100.0,21027
21,33,164,164,100.0,21033
21,34,19,19,100.0,21034
21,35,235,235,100.0,21035
21,36,134,134,100.0,21036
21,37,165,165,100.0,21037
21,38,161,161,100.0,21038
21,39,123,123,100.0,21039
21,40,172,172,100.0,21040
21,41,189,189,100.0,21041
21,42,170,170,100.0,21042
21,43,13,13,100.0,21043
21,44,137,137,100.0,21044
21,45,156,156,100.0,21045
21,46,216,216,100.0,21046
21,48,156,156,100.0,21048
21,49,231,231,100.0,21049
21,50,151,151,100.0,21050
21,52,22,22,100.0,21052
34,1,227,227,100.0,34001
34,2,178,178,100.0,34002
34,3,182,182,100.0,34003
34,4,136,136,100.0,34004
34,5,174,174,100.0,34005
34,6,225,225,100.0,34006
34,7,227,227,100.0,34007
34,8,156,156,100.0,34008
34,9,132,132,100.0,34009
34,10,206,206,100.0,34010
34,11,138,138,100.0,34011
34,12,190,190,100.0,34012
34,13,210,210,100.0,34013
34,14,144,144,100.0,34014
34,15,140,140,100.0,34015
34,16,156,156,100.0,34016
34,17,252,252,100.0,34017
34,18,155,155,100.0,34018
34,19,187,187,100.0,34019
34,20,247,247,100.0,34020
34,21,268,268,100.0,34021
34,22,224,224,100.0,34022
34,23,168,168,100.0,34023
34,24,181,181,100.0,34024
34,25,302,302,100.0,34025
34,26,230,230,100.0,34026
34,27,172,172,100.0,34027
34,28,113,113,100.0,34028
34,29,160,160,100.0,34029
34,30,226,226,100.0,34030
34,31,145,145,100.0,34031
34,32,164,164,100.0,34032
34,33,147,147,100.0,34033
34,34,210,210,100.0,34034
34,35,194,194,100.0,34035
34,36,199,199,100.0,34036
34,37,108,108,100.0,34037
34,38,85,85,100.0,34038
34,39,139,139,100.0,34039
34,40,192,192,100.0,34040
34,41,129,129,100.0,34041
34,42,240,240,100.0,34042
34,43,219,219,100.0,34043
34,44,220,220,100.0,34044
34,45,188,188,100.0,34045
34,46,149,149,100.0,34046
34,47,166,166,100.0,34047
34,48,241,241,100.0,34048
34,49,193,193,100.0,34049
34,50,139,139,100.0,34050
34,51,239,239,100.0,34051
34,52,170,170,100.0,34052
34,53,105,105,100.0,34053
