ward,precinct,total,Iris Y. Martinez,Iris Y. Martinez Percent,Bart Goldberg,Bart Goldberg Percent,precinct_id
1,2,57,52,91.23,5,8.77,01002
1,7,148,100,67.57,48,32.43,01007
1,9,206,176,85.44,30,14.56,01009
1,13,105,84,80.0,21,20.0,01013
1,16,228,181,79.39,47,20.61,01016
1,17,32,27,84.38,5,15.63,01017
1,19,251,190,75.7,61,24.3,01019
1,23,319,252,79.0,67,21.0,01023
1,34,193,146,75.65,47,24.35,01034
1,41,157,120,76.43,37,23.57,01041
1,42,43,32,74.42,11,25.58,01042
1,43,129,95,73.64,34,26.36,01043
26,7,164,143,87.2,21,12.8,26007
26,34,198,166,83.84,32,16.16,26034
26,37,3,3,100.0,0,0.0,26037
30,1,201,138,68.66,63,31.34,30001
30,3,147,112,76.19,35,23.81,30003
30,4,129,95,73.64,34,26.36,30004
30,7,166,97,58.43,69,41.57,30007
30,8,230,180,78.26,50,21.74,30008
30,9,85,60,70.59,25,29.41,30009
30,15,220,106,48.18,114,51.82,30015
30,17,175,120,68.57,55,31.43,30017
30,18,188,139,73.94,49,26.06,30018
30,19,35,32,91.43,3,8.57,30019
30,20,171,114,66.67,57,33.33,30020
30,22,223,155,69.51,68,30.49,30022
30,23,144,109,75.69,35,24.31,30023
30,24,220,187,85.0,33,15.0,30024
30,25,250,211,84.4,39,15.6,30025
30,26,92,66,71.74,26,28.26,30026
30,27,98,85,86.73,13,13.27,30027
30,28,207,151,72.95,56,27.05,30028
30,31,95,68,71.58,27,28.42,30031
30,32,152,105,69.08,47,30.92,30032
31,1,90,84,93.33,6,6.67,31001
31,2,93,58,62.37,35,37.63,31002
31,5,147,111,75.51,36,24.49,31005
31,6,94,79,84.04,15,15.96,31006
31,7,206,152,73.79,54,26.21,31007
31,8,92,77,83.7,15,16.3,31008
31,9,113,96,84.96,17,15.04,31009
31,10,94,75,79.79,19,20.21,31010
31,11,83,57,68.67,26,31.33,31011
31,12,82,67,81.71,15,18.29,31012
31,13,134,118,88.06,16,11.94,31013
31,14,62,53,85.48,9,14.52,31014
31,17,103,80,77.67,23,22.33,31017
31,18,111,88,79.28,23,20.72,31018
31,20,102,88,86.27,14,13.73,31020
31,21,89,77,86.52,12,13.48,31021
31,23,101,81,80.2,20,19.8,31023
31,24,151,129,85.43,22,14.57,31024
31,26,134,107,79.85,27,20.15,31026
31,27,124,107,86.29,17,13.71,31027
31,28,83,67,80.72,16,19.28,31028
31,29,130,104,80.0,26,20.0,31029
