ward,precinct,total,Danny K. Davis,Danny K. Davis Percent,Anthony V. Clark,Anthony V. Clark Percent,precinct_id
1,12,252,129,51.19,123,48.81,01012
1,14,48,24,50.0,24,50.0,01014
1,15,43,28,65.12,15,34.88,01015
1,32,62,38,61.29,24,38.71,01032
2,2,185,118,63.78,67,36.22,02002
2,9,144,97,67.36,47,32.64,02009
2,10,176,122,69.32,54,30.68,02010
2,11,229,150,65.5,79,34.5,02011
2,12,135,106,78.52,29,21.48,02012
2,13,201,130,64.68,71,35.32,02013
2,14,218,127,58.26,91,41.74,02014
2,17,271,172,63.47,99,36.53,02017
2,18,191,135,70.68,56,29.32,02018
2,19,156,97,62.18,59,37.82,02019
2,20,26,16,61.54,10,38.46,02020
2,21,6,4,66.67,2,33.33,02021
2,23,158,99,62.66,59,37.34,02023
2,27,171,110,64.33,61,35.67,02027
2,28,30,16,53.33,14,46.67,02028
2,29,195,124,63.59,71,36.41,02029
2,32,149,81,54.36,68,45.64,02032
2,34,225,163,72.44,62,27.56,02034
2,35,188,110,58.51,78,41.49,02035
2,36,156,109,69.87,47,30.13,02036
2,38,133,85,63.91,48,36.09,02038
2,39,125,75,60.0,50,40.0,02039
2,40,197,124,62.94,73,37.06,02040
2,41,133,90,67.67,43,32.33,02041
2,42,163,99,60.74,64,39.26,02042
2,43,200,131,65.5,69,34.5,02043
2,45,211,147,69.67,64,30.33,02045
2,46,110,71,64.55,39,35.45,02046
3,1,350,296,84.57,54,15.43,03001
3,2,365,318,87.12,47,12.88,03002
3,3,232,178,76.72,54,23.28,03003
3,4,141,113,80.14,28,19.86,03004
3,5,132,112,84.85,20,15.15,03005
3,6,257,158,61.48,99,38.52,03006
3,8,197,168,85.28,29,14.72,03008
3,9,258,203,78.68,55,21.32,03009
3,10,128,121,94.53,7,5.47,03010
3,11,251,197,78.49,54,21.51,03011
3,12,302,256,84.77,46,15.23,03012
3,13,293,189,64.51,104,35.49,03013
3,14,222,148,66.67,74,33.33,03014
3,15,233,199,85.41,34,14.59,03015
3,16,223,190,85.2,33,14.8,03016
3,17,255,184,72.16,71,27.84,03017
3,18,190,160,84.21,30,15.79,03018
3,19,249,171,68.67,78,31.33,03019
3,20,264,220,83.33,44,16.67,03020
