ward,precinct,total,Don Harmon,Don Harmon Percent,precinct_id
29,1,272,272,100.0,29001
29,4,201,201,100.0,29004
29,5,116,116,100.0,29005
29,7,203,203,100.0,29007
29,9,220,220,100.0,29009
29,10,261,261,100.0,29010
29,12,223,223,100.0,29012
29,13,163,163,100.0,29013
29,15,209,209,100.0,29015
29,17,188,188,100.0,29017
29,23,147,147,100.0,29023
29,24,138,138,100.0,29024
29,25,227,227,100.0,29025
29,26,202,202,100.0,29026
29,27,146,146,100.0,29027
29,30,111,111,100.0,29030
29,33,159,159,100.0,29033
29,35,127,127,100.0,29035
29,36,32,32,100.0,29036
29,37,169,169,100.0,29037
29,40,208,208,100.0,29040
29,41,130,130,100.0,29041
29,43,252,252,100.0,29043
29,44,209,209,100.0,29044
37,18,145,145,100.0,37018
37,29,72,72,100.0,37029
37,35,175,175,100.0,37035
37,37,174,174,100.0,37037
