ward,precinct,total,Travis Richardson,Travis Richardson Percent,Ieshia Gray,Ieshia Gray Percent,precinct_id
9,1,190,64,33.68,126,66.32,09001
9,2,172,55,31.98,117,68.02,09002
9,3,112,34,30.36,78,69.64,09003
9,4,136,54,39.71,82,60.29,09004
9,5,197,65,32.99,132,67.01,09005
9,6,176,74,42.05,102,57.95,09006
9,7,149,65,43.62,84,56.38,09007
9,8,165,58,35.15,107,64.85,09008
9,9,221,81,36.65,140,63.35,09009
9,10,140,54,38.57,86,61.43,09010
9,11,138,55,39.86,83,60.14,09011
9,13,9,3,33.33,6,66.67,09013
9,14,42,13,30.95,29,69.05,09014
9,15,111,41,36.94,70,63.06,09015
9,16,172,76,44.19,96,55.81,09016
9,17,122,55,45.08,67,54.92,09017
9,18,125,52,41.6,73,58.4,09018
9,19,179,67,37.43,112,62.57,09019
9,20,211,96,45.5,115,54.5,09020
9,21,167,72,43.11,95,56.89,09021
9,22,212,86,40.57,126,59.43,09022
9,26,134,51,38.06,83,61.94,09026
9,27,172,63,36.63,109,63.37,09027
9,28,102,44,43.14,58,56.86,09028
9,29,145,56,38.62,89,61.38,09029
9,30,138,60,43.48,78,56.52,09030
9,31,119,54,45.38,65,54.62,09031
9,32,195,79,40.51,116,59.49,09032
9,33,129,45,34.88,84,65.12,09033
9,34,137,60,43.8,77,56.2,09034
9,35,81,24,29.63,57,70.37,09035
9,37,244,105,43.03,139,56.97,09037
9,38,162,69,42.59,93,57.41,09038
9,39,221,78,35.29,143,64.71,09039
9,40,233,89,38.2,144,61.8,09040
9,41,147,46,31.29,101,68.71,09041
9,43,154,59,38.31,95,61.69,09043
9,44,179,68,37.99,111,62.01,09044
9,45,136,53,38.97,83,61.03,09045
9,46,184,86,46.74,98,53.26,09046
19,28,173,64,36.99,109,63.01,19028
19,43,42,14,33.33,28,66.67,19043
21,1,222,97,43.69,125,56.31,21001
21,2,49,23,46.94,26,53.06,21002
21,3,226,108,47.79,118,52.21,21003
21,5,239,96,40.17,143,59.83,21005
21,6,154,81,52.6,73,47.4,21006
21,7,228,112,49.12,116,50.88,21007
21,8,213,106,49.77,107,50.23,21008
21,9,231,102,44.16,129,55.84,21009
21,10,173,80,46.24,93,53.76,21010
21,11,175,80,45.71,95,54.29,21011
21,12,163,58,35.58,105,64.42,21012
21,13,99,35,35.35,64,64.65,21013
21,14,261,126,48.28,135,51.72,21014
21,16,181,86,47.51,95,52.49,21016
21,17,24,10,41.67,14,58.33,21017
21,18,217,102,47.0,115,53.0,21018
21,19,207,89,43.0,118,57.0,21019
21,20,16,3,18.75,13,81.25,21020
21,21,173,77,44.51,96,55.49,21021
21,22,182,83,45.6,99,54.4,21022
21,23,175,69,39.43,106,60.57,21023
21,24,210,96,45.71,114,54.29,21024
21,25,191,74,38.74,117,61.26,21025
21,27,183,64,34.97,119,65.03,21027
21,29,212,111,52.36,101,47.64,21029
21,32,186,83,44.62,103,55.38,21032
21,33,49,23,46.94,26,53.06,21033
21,34,19,10,52.63,9,47.37,21034
21,35,239,103,43.1,136,56.9,21035
21,36,197,95,48.22,102,51.78,21036
21,37,171,90,52.63,81,47.37,21037
21,38,170,68,40.0,102,60.0,21038
21,39,128,47,36.72,81,63.28,21039
21,40,170,66,38.82,104,61.18,21040
21,41,192,93,48.44,99,51.56,21041
21,42,209,94,44.98,115,55.02,21042
21,44,141,65,46.1,76,53.9,21044
21,45,164,78,47.56,86,52.44,21045
21,46,204,113,55.39,91,44.61,21046
21,48,106,45,42.45,61,57.55,21048
21,49,233,105,45.06,128,54.94,21049
21,50,159,75,47.17,84,52.83,21050
21,52,22,16,72.73,6,27.27,21052
34,1,244,93,38.11,151,61.89,34001
34,2,176,71,40.34,105,59.66,34002
34,3,174,71,40.8,103,59.2,34003
34,4,128,51,39.84,77,60.16,34004
34,5,165,67,40.61,98,59.39,34005
34,6,222,86,38.74,136,61.26,34006
34,7,226,96,42.48,130,57.52,34007
34,8,162,58,35.8,104,64.2,34008
34,9,137,62,45.26,75,54.74,34009
34,10,206,88,42.72,118,57.28,34010
34,11,142,59,41.55,83,58.45,34011
34,12,204,97,47.55,107,52.45,34012
34,13,208,83,39.9,125,60.1,34013
34,14,140,69,49.29,71,50.71,34014
34,15,145,55,37.93,90,62.07,34015
34,16,162,62,38.27,100,61.73,34016
34,18,147,65,44.22,82,55.78,34018
34,19,169,57,33.73,112,66.27,34019
34,20,250,108,43.2,142,56.8,34020
34,21,257,109,42.41,148,57.59,34021
34,22,200,67,33.5,133,66.5,34022
34,23,161,64,39.75,97,60.25,34023
34,24,171,73,42.69,98,57.31,34024
