ward,precinct,total,Dilara Sayeed,Dilara Sayeed Percent,"Lamont J. Robinson, Jr.","Lamont J. Robinson, Jr. Percent",Felicia N. Bullock,Felicia N. Bullock Percent,Kenneth (Ken) Dunkin,Kenneth (Ken) Dunkin Percent,precinct_id
2,27,30,9,30.0,7,23.33,5,16.67,9,30.0,02027
2,29,54,23,42.59,12,22.22,9,16.67,10,18.52,02029
2,32,155,74,47.74,44,28.39,14,9.03,23,14.84,02032
2,36,169,74,43.79,42,24.85,29,17.16,24,14.2,02036
2,38,100,43,43.0,26,26.0,11,11.0,20,20.0,02038
2,39,137,57,41.61,33,24.09,20,14.6,27,19.71,02039
2,40,202,97,48.02,45,22.28,31,15.35,29,14.36,02040
2,41,107,48,44.86,23,21.5,14,13.08,22,20.56,02041
2,42,113,42,37.17,33,29.2,16,14.16,22,19.47,02042
2,43,205,106,51.71,36,17.56,25,12.2,38,18.54,02043
2,45,214,80,37.38,62,28.97,30,14.02,42,19.63,02045
3,1,287,36,12.54,126,43.9,60,20.91,65,22.65,03001
3,2,366,43,11.75,187,51.09,58,15.85,78,21.31,03002
3,3,26,7,26.92,10,38.46,4,15.38,5,19.23,03003
3,6,262,127,48.47,65,24.81,20,7.63,50,19.08,03006
3,7,237,31,13.08,133,56.12,19,8.02,54,22.78,03007
3,8,190,23,12.11,90,47.37,32,16.84,45,23.68,03008
3,9,267,49,18.35,124,46.44,56,20.97,38,14.23,03009
3,11,139,13,9.35,72,51.8,25,17.99,29,20.86,03011
3,12,132,13,9.85,68,51.52,18,13.64,33,25.0,03012
3,14,233,108,46.35,69,29.61,16,6.87,40,17.17,03014
3,15,237,36,15.19,114,48.1,38,16.03,49,20.68,03015
3,16,228,24,10.53,128,56.14,31,13.6,45,19.74,03016
3,17,257,81,31.52,96,37.35,38,14.79,42,16.34,03017
3,18,179,37,20.67,81,45.25,28,15.64,33,18.44,03018
3,20,273,33,12.09,153,56.04,39,14.29,48,17.58,03020
3,21,180,56,31.11,76,42.22,21,11.67,27,15.0,03021
3,22,272,157,57.72,62,22.79,22,8.09,31,11.4,03022
3,23,214,24,11.21,94,43.93,36,16.82,60,28.04,03023
3,24,236,57,24.15,110,46.61,26,11.02,43,18.22,03024
3,25,378,216,57.14,87,23.02,30,7.94,45,11.9,03025
3,27,125,62,49.6,30,24.0,14,11.2,19,15.2,03027
3,28,196,12,6.12,114,58.16,32,16.33,38,19.39,03028
3,29,191,31,16.23,83,43.46,38,19.9,39,20.42,03029
3,31,127,14,11.02,49,38.58,41,32.28,23,18.11,03031
3,32,269,126,46.84,93,34.57,26,9.67,24,8.92,03032
3,33,229,116,50.66,65,28.38,26,11.35,22,9.61,03033
3,34,306,123,40.2,105,34.31,24,7.84,54,17.65,03034
3,35,96,14,14.58,52,54.17,12,12.5,18,18.75,03035
3,36,77,9,11.69,38,49.35,8,10.39,22,28.57,03036
3,37,213,28,13.15,113,53.05,25,11.74,47,22.07,03037
3,38,287,29,10.1,157,54.7,46,16.03,55,19.16,03038
3,39,321,163,50.78,81,25.23,38,11.84,39,12.15,03039
3,40,276,69,25.0,102,36.96,37,13.41,68,24.64,03040
3,41,88,13,14.77,37,42.05,21,23.86,17,19.32,03041
4,2,293,135,46.08,86,29.35,41,13.99,31,10.58,04002
4,6,299,49,16.39,156,52.17,42,14.05,52,17.39,04006
4,11,83,17,20.48,30,36.14,21,25.3,15,18.07,04011
4,14,309,70,22.65,159,51.46,25,8.09,55,17.8,04014
4,16,225,120,53.33,52,23.11,20,8.89,33,14.67,04016
4,21,58,13,22.41,21,36.21,14,24.14,10,17.24,04021
4,25,263,128,48.67,69,26.24,25,9.51,41,15.59,04025
4,36,171,34,19.88,98,57.31,20,11.7,19,11.11,04036
4,38,121,24,19.83,67,55.37,15,12.4,15,12.4,04038
5,2,164,20,12.2,95,57.93,19,11.59,30,18.29,05002
5,12,173,21,12.14,106,61.27,14,8.09,32,18.5,05012
5,13,4,0,0.0,1,25.0,2,50.0,1,25.0,05013
5,30,96,16,16.67,49,51.04,12,12.5,19,19.79,05030
6,7,2,0,0.0,2,100.0,0,0.0,0,0.0,06007
7,1,2,1,50.0,0,0.0,0,0.0,1,50.0,07001
7,3,2,0,0.0,1,50.0,0,0.0,1,50.0,07003
8,1,173,24,13.87,92,53.18,17,9.83,40,23.12,08001
8,2,56,9,16.07,27,48.21,4,7.14,16,28.57,08002
8,9,173,27,15.61,104,60.12,24,13.87,18,10.4,08009
8,13,232,24,10.34,129,55.6,30,12.93,49,21.12,08013
8,16,63,6,9.52,34,53.97,8,12.7,15,23.81,08016
8,20,278,42,15.11,174,62.59,27,9.71,35,12.59,08020
8,21,275,37,13.45,180,65.45,18,6.55,40,14.55,08021
8,26,89,9,10.11,53,59.55,7,7.87,20,22.47,08026
8,28,244,56,22.95,130,53.28,28,11.48,30,12.3,08028
8,43,14,1,7.14,9,64.29,2,14.29,2,14.29,08043
8,54,116,15,12.93,56,48.28,11,9.48,34,29.31,08054
8,55,205,24,11.71,128,62.44,18,8.78,35,17.07,08055
20,1,209,24,11.48,100,47.85,41,19.62,44,21.05,20001
20,3,161,29,18.01,67,41.61,18,11.18,47,29.19,20003
20,7,169,23,13.61,72,42.6,41,24.26,33,19.53,20007
20,8,134,11,8.21,79,58.96,14,10.45,30,22.39,20008
20,10,148,21,14.19,72,48.65,21,14.19,34,22.97,20010
20,11,231,31,13.42,107,46.32,36,15.58,57,24.68,20011
20,12,121,9,7.44,63,52.07,17,14.05,32,26.45,20012
20,14,118,19,16.1,64,54.24,12,10.17,23,19.49,20014
20,18,143,12,8.39,72,50.35,25,17.48,34,23.78,20018
20,19,157,20,12.74,71,45.22,26,16.56,40,25.48,20019
20,23,199,21,10.55,94,47.24,29,14.57,55,27.64,20023
20,27,0,0,0.0,0,0.0,0,0.0,0,0.0,20027
20,30,93,5,5.38,52,55.91,14,15.05,22,23.66,20030
20,31,210,28,13.33,101,48.1,43,20.48,38,18.1,20031
20,33,150,14,9.33,66,44.0,32,21.33,38,25.33,20033
20,35,76,7,9.21,34,44.74,7,9.21,28,36.84,20035
20,37,67,5,7.46,39,58.21,10,14.93,13,19.4,20037
20,39,9,0,0.0,4,44.44,0,0.0,5,55.56,20039
27,38,123,32,26.02,43,34.96,26,21.14,22,17.89,27038
42,10,214,106,49.53,53,24.77,30,14.02,25,11.68,42010
42,14,105,43,40.95,25,23.81,15,14.29,22,20.95,42014
42,15,31,16,51.61,4,12.9,4,12.9,7,22.58,42015
42,19,192,98,51.04,48,25.0,22,11.46,24,12.5,42019
42,20,139,57,41.01,25,17.99,22,15.83,35,25.18,42020
42,22,85,31,36.47,22,25.88,17,20.0,15,17.65,42022
42,23,190,78,41.05,45,23.68,27,14.21,40,21.05,42023
42,25,156,67,42.95,40,25.64,23,14.74,26,16.67,42025
42,27,184,82,44.57,49,26.63,16,8.7,37,20.11,42027
42,32,123,53,43.09,21,17.07,26,21.14,23,18.7,42032
42,33,216,100,46.3,48,22.22,34,15.74,34,15.74,42033
42,39,174,92,52.87,38,21.84,23,13.22,21,12.07,42039
42,40,58,18,31.03,16,27.59,10,17.24,14,24.14,42040
42,42,259,137,52.9,61,23.55,33,12.74,28,10.81,42042
