ward,precinct,total,Robert ''Bob'' Rita,Robert ''Bob'' Rita Percent,Kimberly Nicole Koschnitzky,Kimberly Nicole Koschnitzky Percent,Mary Carvlin,Mary Carvlin Percent,precinct_id
9,1,62,53,85.48,3,4.84,6,9.68,09001
9,2,31,23,74.19,3,9.68,5,16.13,09002
9,4,27,24,88.89,2,7.41,1,3.7,09004
9,5,219,163,74.43,17,7.76,39,17.81,09005
9,6,193,140,72.54,18,9.33,35,18.13,09006
9,9,67,58,86.57,2,2.99,7,10.45,09009
9,13,66,46,69.7,3,4.55,17,25.76,09013
9,14,277,219,79.06,23,8.3,35,12.64,09014
9,17,83,61,73.49,7,8.43,15,18.07,09017
9,19,188,138,73.4,18,9.57,32,17.02,09019
9,22,239,196,82.01,12,5.02,31,12.97,09022
9,29,168,111,66.07,26,15.48,31,18.45,09029
9,31,120,85,70.83,10,8.33,25,20.83,09031
9,32,205,157,76.59,17,8.29,31,15.12,09032
9,34,147,114,77.55,14,9.52,19,12.93,09034
9,35,224,160,71.43,20,8.93,44,19.64,09035
9,38,92,65,70.65,10,10.87,17,18.48,09038
9,39,228,169,74.12,22,9.65,37,16.23,09039
9,40,258,213,82.56,15,5.81,30,11.63,09040
9,43,80,54,67.5,13,16.25,13,16.25,09043
9,44,38,25,65.79,4,10.53,9,23.68,09044
34,2,101,76,75.25,7,6.93,18,17.82,34002
34,3,195,158,81.03,15,7.69,22,11.28,34003
34,4,141,107,75.89,15,10.64,19,13.48,34004
34,6,235,181,77.02,23,9.79,31,13.19,34006
34,9,144,122,84.72,14,9.72,8,5.56,34009
34,11,145,106,73.1,17,11.72,22,15.17,34011
34,14,157,119,75.8,15,9.55,23,14.65,34014
34,15,14,12,85.71,1,7.14,1,7.14,34015
34,16,167,123,73.65,16,9.58,28,16.77,34016
34,18,168,121,72.02,16,9.52,31,18.45,34018
34,20,76,56,73.68,4,5.26,16,21.05,34020
34,22,220,160,72.73,19,8.64,41,18.64,34022
34,23,179,139,77.65,14,7.82,26,14.53,34023
34,24,185,126,68.11,23,12.43,36,19.46,34024
34,26,242,181,74.79,28,11.57,33,13.64,34026
34,27,176,120,68.18,20,11.36,36,20.45,34027
34,28,123,105,85.37,7,5.69,11,8.94,34028
34,30,244,178,72.95,19,7.79,47,19.26,34030
34,31,141,106,75.18,19,13.48,16,11.35,34031
34,33,157,112,71.34,24,15.29,21,13.38,34033
34,36,209,152,72.73,22,10.53,35,16.75,34036
34,37,119,82,68.91,15,12.61,22,18.49,34037
34,38,93,70,75.27,8,8.6,15,16.13,34038
34,39,145,119,82.07,15,10.34,11,7.59,34039
34,41,139,92,66.19,23,16.55,24,17.27,34041
34,42,240,184,76.67,18,7.5,38,15.83,34042
34,50,147,107,72.79,19,12.93,21,14.29,34050
34,51,130,98,75.38,10,7.69,22,16.92,34051
34,53,112,72,64.29,16,14.29,24,21.43,34053
