ward,precinct,total,Will Guzzardi,Will Guzzardi Percent,precinct_id
1,2,53,53,100.0,01002
1,7,134,134,100.0,01007
1,9,162,162,100.0,01009
1,13,98,98,100.0,01013
1,16,206,206,100.0,01016
1,17,29,29,100.0,01017
1,19,220,220,100.0,01019
1,23,290,290,100.0,01023
1,34,178,178,100.0,01034
1,41,125,125,100.0,01041
1,42,27,27,100.0,01042
1,43,106,106,100.0,01043
26,7,151,151,100.0,26007
26,34,176,176,100.0,26034
26,37,3,3,100.0,26037
30,1,179,179,100.0,30001
30,4,121,121,100.0,30004
30,7,145,145,100.0,30007
30,9,76,76,100.0,30009
30,17,154,154,100.0,30017
30,18,68,68,100.0,30018
30,19,30,30,100.0,30019
30,20,151,151,100.0,30020
30,23,124,124,100.0,30023
30,24,29,29,100.0,30024
30,25,133,133,100.0,30025
30,26,83,83,100.0,30026
30,27,85,85,100.0,30027
30,31,86,86,100.0,30031
31,1,73,73,100.0,31001
31,2,86,86,100.0,31002
31,5,121,121,100.0,31005
31,6,71,71,100.0,31006
31,7,187,187,100.0,31007
31,8,68,68,100.0,31008
31,9,98,98,100.0,31009
31,10,86,86,100.0,31010
31,11,74,74,100.0,31011
31,12,74,74,100.0,31012
31,13,100,100,100.0,31013
31,14,53,53,100.0,31014
31,17,89,89,100.0,31017
31,18,97,97,100.0,31018
31,20,78,78,100.0,31020
31,21,72,72,100.0,31021
31,23,81,81,100.0,31023
31,24,110,110,100.0,31024
31,26,107,107,100.0,31026
31,27,83,83,100.0,31027
31,28,74,74,100.0,31028
31,29,101,101,100.0,31029
31,30,73,73,100.0,31030
31,32,57,57,100.0,31032
31,33,73,73,100.0,31033
31,34,95,95,100.0,31034
31,35,89,89,100.0,31035
31,36,120,120,100.0,31036
31,37,87,87,100.0,31037
31,38,67,67,100.0,31038
31,40,104,104,100.0,31040
31,41,79,79,100.0,31041
32,3,132,132,100.0,32003
32,11,264,264,100.0,32011
32,12,168,168,100.0,32012
32,14,234,234,100.0,32014
32,20,252,252,100.0,32020
32,22,316,316,100.0,32022
32,26,100,100,100.0,32026
32,28,133,133,100.0,32028
32,43,14,14,100.0,32043
35,2,19,19,100.0,35002
35,10,288,288,100.0,35010
35,11,180,180,100.0,35011
35,15,214,214,100.0,35015
35,17,193,193,100.0,35017
35,25,219,219,100.0,35025
35,28,171,171,100.0,35028
36,9,0,0,0.0,36009
36,14,162,162,100.0,36014
36,16,164,164,100.0,36016
36,17,182,182,100.0,36017
36,18,97,97,100.0,36018
36,20,136,136,100.0,36020
38,23,179,179,100.0,38023
38,34,154,154,100.0,38034
38,35,156,156,100.0,38035
38,39,67,67,100.0,38039
45,8,160,160,100.0,45008
45,9,172,172,100.0,45009
45,10,184,184,100.0,45010
45,11,127,127,100.0,45011
