ward,precinct,total,Arthur Turner,Arthur Turner Percent,precinct_id
2,9,110,110,100.0,02009
2,12,170,170,100.0,02012
2,20,1,1,100.0,02020
2,41,23,23,100.0,02041
2,46,88,88,100.0,02046
11,2,11,11,100.0,11002
11,6,212,212,100.0,11006
11,7,154,154,100.0,11007
11,33,178,178,100.0,11033
12,10,25,25,100.0,12010
22,19,34,34,100.0,22019
22,21,173,173,100.0,22021
24,1,142,142,100.0,24001
24,2,129,129,100.0,24002
24,3,124,124,100.0,24003
24,4,101,101,100.0,24004
24,5,66,66,100.0,24005
24,6,149,149,100.0,24006
24,7,77,77,100.0,24007
24,8,65,65,100.0,24008
24,9,105,105,100.0,24009
24,10,69,69,100.0,24010
24,11,132,132,100.0,24011
24,12,77,77,100.0,24012
24,13,55,55,100.0,24013
24,14,100,100,100.0,24014
24,15,57,57,100.0,24015
24,16,9,9,100.0,24016
24,17,80,80,100.0,24017
24,18,144,144,100.0,24018
24,20,26,26,100.0,24020
24,21,58,58,100.0,24021
24,22,167,167,100.0,24022
24,23,105,105,100.0,24023
24,24,147,147,100.0,24024
24,25,115,115,100.0,24025
24,26,232,232,100.0,24026
24,27,155,155,100.0,24027
24,28,113,113,100.0,24028
24,29,132,132,100.0,24029
24,30,81,81,100.0,24030
24,31,148,148,100.0,24031
24,33,77,77,100.0,24033
24,34,117,117,100.0,24034
24,35,112,112,100.0,24035
24,36,180,180,100.0,24036
24,37,88,88,100.0,24037
24,38,132,132,100.0,24038
24,39,182,182,100.0,24039
24,40,131,131,100.0,24040
25,3,173,173,100.0,25003
25,4,147,147,100.0,25004
25,10,179,179,100.0,25010
25,16,152,152,100.0,25016
25,20,95,95,100.0,25020
25,25,140,140,100.0,25025
25,27,87,87,100.0,25027
25,29,154,154,100.0,25029
25,31,179,179,100.0,25031
27,2,152,152,100.0,27002
27,6,134,134,100.0,27006
27,9,69,69,100.0,27009
27,10,61,61,100.0,27010
27,11,37,37,100.0,27011
27,14,11,11,100.0,27014
27,16,69,69,100.0,27016
27,18,120,120,100.0,27018
27,20,77,77,100.0,27020
27,21,116,116,100.0,27021
27,25,33,33,100.0,27025
27,28,89,89,100.0,27028
27,33,42,42,100.0,27033
27,37,154,154,100.0,27037
27,38,159,159,100.0,27038
27,41,149,149,100.0,27041
27,42,99,99,100.0,27042
27,45,192,192,100.0,27045
27,47,120,120,100.0,27047
27,48,191,191,100.0,27048
28,4,86,86,100.0,28004
28,5,105,105,100.0,28005
28,6,88,88,100.0,28006
28,8,100,100,100.0,28008
28,10,178,178,100.0,28010
28,11,201,201,100.0,28011
28,18,114,114,100.0,28018
28,19,120,120,100.0,28019
28,27,126,126,100.0,28027
28,28,166,166,100.0,28028
28,29,55,55,100.0,28029
28,32,8,8,100.0,28032
28,34,201,201,100.0,28034
28,35,141,141,100.0,28035
28,45,108,108,100.0,28045
28,46,204,204,100.0,28046
42,3,170,170,100.0,42003
42,9,0,0,0.0,42009
42,12,105,105,100.0,42012
42,16,172,172,100.0,42016
42,18,0,0,0.0,42018
42,21,43,43,100.0,42021
42,36,69,69,100.0,42036
42,41,40,40,100.0,42041
43,1,102,102,100.0,43001
43,3,167,167,100.0,43003
43,5,39,39,100.0,43005
43,45,121,121,100.0,43045
