ward,precinct,total,Silvana Tabares,Silvana Tabares Percent,Rebecca Davies,Rebecca Davies Percent,precinct_id
11,1,204,116,56.86,88,43.14,11001
11,4,188,122,64.89,66,35.11,11004
11,5,256,142,55.47,114,44.53,11005
11,8,179,115,64.25,64,35.75,11008
11,9,154,103,66.88,51,33.12,11009
11,10,172,109,63.37,63,36.63,11010
11,11,202,106,52.48,96,47.52,11011
11,12,287,191,66.55,96,33.45,11012
11,13,263,172,65.4,91,34.6,11013
11,15,81,49,60.49,32,39.51,11015
11,16,132,84,63.64,48,36.36,11016
11,17,246,123,50.0,123,50.0,11017
11,18,168,115,68.45,53,31.55,11018
11,19,251,137,54.58,114,45.42,11019
11,20,142,94,66.2,48,33.8,11020
11,21,314,202,64.33,112,35.67,11021
11,22,223,123,55.16,100,44.84,11022
11,23,144,95,65.97,49,34.03,11023
11,24,304,224,73.68,80,26.32,11024
11,25,232,136,58.62,96,41.38,11025
11,26,268,162,60.45,106,39.55,11026
11,27,71,45,63.38,26,36.62,11027
11,28,86,56,65.12,30,34.88,11028
11,29,285,218,76.49,67,23.51,11029
11,31,208,122,58.65,86,41.35,11031
11,32,107,79,73.83,28,26.17,11032
11,37,0,0,0.0,0,0.0,11037
12,1,194,130,67.01,64,32.99,12001
12,3,201,130,64.68,71,35.32,12003
12,4,223,153,68.61,70,31.39,12004
12,5,62,45,72.58,17,27.42,12005
12,8,4,2,50.0,2,50.0,12008
12,9,164,115,70.12,49,29.88,12009
12,19,161,119,73.91,42,26.09,12019
12,23,191,124,64.92,67,35.08,12023
13,1,180,135,75.0,45,25.0,13001
13,2,202,147,72.77,55,27.23,13002
13,3,150,121,80.67,29,19.33,13003
13,4,199,157,78.89,42,21.11,13004
13,5,224,175,78.13,49,21.88,13005
13,6,214,171,79.91,43,20.09,13006
13,7,140,111,79.29,29,20.71,13007
13,8,154,109,70.78,45,29.22,13008
13,9,164,120,73.17,44,26.83,13009
13,10,178,114,64.04,64,35.96,13010
13,11,216,160,74.07,56,25.93,13011
13,12,159,109,68.55,50,31.45,13012
13,13,212,192,90.57,20,9.43,13013
13,14,158,118,74.68,40,25.32,13014
13,15,301,264,87.71,37,12.29,13015
13,16,121,99,81.82,22,18.18,13016
13,17,179,128,71.51,51,28.49,13017
13,18,158,109,68.99,49,31.01,13018
13,20,117,81,69.23,36,30.77,13020
13,21,198,147,74.24,51,25.76,13021
13,22,204,128,62.75,76,37.25,13022
13,23,145,111,76.55,34,23.45,13023
13,24,186,140,75.27,46,24.73,13024
13,25,165,122,73.94,43,26.06,13025
13,26,171,126,73.68,45,26.32,13026
13,27,201,136,67.66,65,32.34,13027
13,28,150,122,81.33,28,18.67,13028
13,29,141,117,82.98,24,17.02,13029
13,30,169,152,89.94,17,10.06,13030
13,31,217,143,65.9,74,34.1,13031
13,32,166,120,72.29,46,27.71,13032
13,33,223,160,71.75,63,28.25,13033
13,34,299,273,91.3,26,8.7,13034
13,35,214,176,82.24,38,17.76,13035
13,36,114,84,73.68,30,26.32,13036
13,37,238,156,65.55,82,34.45,13037
13,38,168,110,65.48,58,34.52,13038
13,39,197,163,82.74,34,17.26,13039
13,40,209,160,76.56,49,23.44,13040
13,41,152,129,84.87,23,15.13,13041
13,42,196,139,70.92,57,29.08,13042
13,43,217,159,73.27,58,26.73,13043
13,44,243,219,90.12,24,9.88,13044
13,45,250,201,80.4,49,19.6,13045
13,46,227,186,81.94,41,18.06,13046
13,47,199,169,84.92,30,15.08,13047
13,48,205,141,68.78,64,31.22,13048
14,1,244,169,69.26,75,30.74,14001
14,4,229,156,68.12,73,31.88,14004
14,5,16,14,87.5,2,12.5,14005
14,7,188,144,76.6,44,23.4,14007
14,8,181,135,74.59,46,25.41,14008
14,9,242,159,65.7,83,34.3,14009
14,12,209,165,78.95,44,21.05,14012
14,18,89,54,60.67,35,39.33,14018
14,21,188,143,76.06,45,23.94,14021
14,22,224,148,66.07,76,33.93,14022
14,23,154,99,64.29,55,35.71,14023
14,24,261,184,70.5,77,29.5,14024
14,25,0,0,0.0,0,0.0,14025
14,26,145,115,79.31,30,20.69,14026
14,29,172,139,80.81,33,19.19,14029
15,1,156,124,79.49,32,20.51,15001
15,5,42,26,61.9,16,38.1,15005
15,8,57,40,70.18,17,29.82,15008
15,13,130,91,70.0,39,30.0,15013
15,14,113,81,71.68,32,28.32,15014
15,15,70,56,80.0,14,20.0,15015
15,16,171,120,70.18,51,29.82,15016
15,19,156,81,51.92,75,48.08,15019
16,1,92,69,75.0,23,25.0,16001
16,7,5,2,40.0,3,60.0,16007
16,23,106,72,67.92,34,32.08,16023
16,32,135,86,63.7,49,36.3,16032
16,35,56,27,48.21,29,51.79,16035
18,15,203,97,47.78,106,52.22,18015
18,24,146,90,61.64,56,38.36,18024
18,25,164,98,59.76,66,40.24,18025
18,30,158,79,50.0,79,50.0,18030
18,40,211,113,53.55,98,46.45,18040
18,43,120,73,60.83,47,39.17,18043
18,46,200,110,55.0,90,45.0,18046
19,1,184,96,52.17,88,47.83,19001
19,2,46,15,32.61,31,67.39,19002
19,3,116,62,53.45,54,46.55,19003
19,4,213,124,58.22,89,41.78,19004
19,5,83,37,44.58,46,55.42,19005
19,6,200,106,53.0,94,47.0,19006
19,7,197,96,48.73,101,51.27,19007
19,8,176,94,53.41,82,46.59,19008
19,9,169,83,49.11,86,50.89,19009
19,10,241,101,41.91,140,58.09,19010
19,11,151,74,49.01,77,50.99,19011
19,12,140,75,53.57,65,46.43,19012
19,15,206,108,52.43,98,47.57,19015
19,16,204,119,58.33,85,41.67,19016
19,17,155,78,50.32,77,49.68,19017
19,18,199,80,40.2,119,59.8,19018
19,19,277,105,37.91,172,62.09,19019
19,21,151,75,49.67,76,50.33,19021
19,22,237,98,41.35,139,58.65,19022
19,23,211,106,50.24,105,49.76,19023
19,24,150,88,58.67,62,41.33,19024
19,25,143,60,41.96,83,58.04,19025
19,26,207,85,41.06,122,58.94,19026
19,29,163,94,57.67,69,42.33,19029
19,30,161,84,52.17,77,47.83,19030
19,32,179,78,43.58,101,56.42,19032
19,33,167,84,50.3,83,49.7,19033
19,34,200,86,43.0,114,57.0,19034
19,35,227,111,48.9,116,51.1,19035
19,41,155,76,49.03,79,50.97,19041
19,44,188,107,56.91,81,43.09,19044
19,45,209,97,46.41,112,53.59,19045
