ward,precinct,total,Robert Martwick,Robert Martwick Percent,Jeffrey Laporte,Jeffrey Laporte Percent,precinct_id
29,29,122,85,69.67,37,30.33,29029
29,31,59,36,61.02,23,38.98,29031
29,32,115,77,66.96,38,33.04,29032
38,1,150,98,65.33,52,34.67,38001
38,3,137,91,66.42,46,33.58,38003
38,5,153,96,62.75,57,37.25,38005
38,6,133,84,63.16,49,36.84,38006
38,7,96,70,72.92,26,27.08,38007
38,9,172,120,69.77,52,30.23,38009
38,11,174,122,70.11,52,29.89,38011
38,13,180,120,66.67,60,33.33,38013
38,14,163,120,73.62,43,26.38,38014
38,15,150,116,77.33,34,22.67,38015
38,17,160,120,75.0,40,25.0,38017
38,18,180,130,72.22,50,27.78,38018
38,19,200,147,73.5,53,26.5,38019
38,21,138,96,69.57,42,30.43,38021
38,22,189,145,76.72,44,23.28,38022
38,24,158,111,70.25,47,29.75,38024
38,25,138,92,66.67,46,33.33,38025
38,26,156,116,74.36,40,25.64,38026
38,27,146,106,72.6,40,27.4,38027
38,29,167,115,68.86,52,31.14,38029
38,30,151,95,62.91,56,37.09,38030
38,31,192,133,69.27,59,30.73,38031
38,32,138,92,66.67,46,33.33,38032
38,33,159,108,67.92,51,32.08,38033
38,36,153,120,78.43,33,21.57,38036
38,38,148,99,66.89,49,33.11,38038
38,40,182,131,71.98,51,28.02,38040
38,41,205,157,76.59,48,23.41,38041
39,20,244,124,50.82,120,49.18,39020
39,21,186,90,48.39,96,51.61,39021
39,23,232,135,58.19,97,41.81,39023
39,24,220,145,65.91,75,34.09,39024
39,41,3,2,66.67,1,33.33,39041
41,3,86,58,67.44,28,32.56,41003
41,12,169,113,66.86,56,33.14,41012
41,24,134,84,62.69,50,37.31,41024
41,30,169,114,67.46,55,32.54,41030
41,38,182,126,69.23,56,30.77,41038
45,12,204,129,63.24,75,36.76,45012
45,13,192,147,76.56,45,23.44,45013
45,14,234,169,72.22,65,27.78,45014
45,15,292,210,71.92,82,28.08,45015
45,16,200,160,80.0,40,20.0,45016
45,17,204,142,69.61,62,30.39,45017
45,18,173,115,66.47,58,33.53,45018
45,19,88,64,72.73,24,27.27,45019
45,20,129,89,68.99,40,31.01,45020
45,21,184,114,61.96,70,38.04,45021
45,22,178,125,70.22,53,29.78,45022
45,23,174,114,65.52,60,34.48,45023
45,24,163,123,75.46,40,24.54,45024
45,25,129,87,67.44,42,32.56,45025
45,26,99,69,69.7,30,30.3,45026
45,27,158,101,63.92,57,36.08,45027
45,28,132,96,72.73,36,27.27,45028
45,29,119,86,72.27,33,27.73,45029
45,30,176,107,60.8,69,39.2,45030
45,31,157,100,63.69,57,36.31,45031
45,32,126,82,65.08,44,34.92,45032
45,33,128,95,74.22,33,25.78,45033
45,34,205,132,64.39,73,35.61,45034
45,35,224,140,62.5,84,37.5,45035
45,36,223,151,67.71,72,32.29,45036
45,37,174,109,62.64,65,37.36,45037
45,38,153,80,52.29,73,47.71,45038
45,39,162,100,61.73,62,38.27,45039
45,40,194,106,54.64,88,45.36,45040
45,41,175,106,60.57,69,39.43,45041
45,42,199,106,53.27,93,46.73,45042
45,43,196,117,59.69,79,40.31,45043
45,44,172,91,52.91,81,47.09,45044
45,45,99,68,68.69,31,31.31,45045
45,46,126,82,65.08,44,34.92,45046
45,47,127,79,62.2,48,37.8,45047
45,48,119,71,59.66,48,40.34,45048
