ward,precinct,total,"Elgie R. Sims, Jr.","Elgie R. Sims, Jr. Percent",precinct_id
6,1,214,214,100.0,06001
6,2,206,206,100.0,06002
6,3,224,224,100.0,06003
6,8,185,185,100.0,06008
6,13,142,142,100.0,06013
6,14,170,170,100.0,06014
6,16,211,211,100.0,06016
6,19,28,28,100.0,06019
6,29,245,245,100.0,06029
6,31,251,251,100.0,06031
6,34,203,203,100.0,06034
6,35,182,182,100.0,06035
6,36,253,253,100.0,06036
6,37,243,243,100.0,06037
6,38,211,211,100.0,06038
6,39,143,143,100.0,06039
6,41,203,203,100.0,06041
6,42,157,157,100.0,06042
6,43,155,155,100.0,06043
6,44,155,155,100.0,06044
6,45,186,186,100.0,06045
6,46,113,113,100.0,06046
8,15,18,18,100.0,08015
8,22,186,186,100.0,08022
8,26,99,99,100.0,08026
8,31,152,152,100.0,08031
8,32,147,147,100.0,08032
8,34,191,191,100.0,08034
8,39,194,194,100.0,08039
8,43,68,68,100.0,08043
8,45,55,55,100.0,08045
8,47,159,159,100.0,08047
8,54,5,5,100.0,08054
9,1,136,136,100.0,09001
9,7,3,3,100.0,09007
9,8,168,168,100.0,09008
9,9,153,153,100.0,09009
9,12,228,228,100.0,09012
9,13,171,171,100.0,09013
9,23,228,228,100.0,09023
9,24,195,195,100.0,09024
9,25,188,188,100.0,09025
9,28,12,12,100.0,09028
9,31,14,14,100.0,09031
9,36,146,146,100.0,09036
9,37,259,259,100.0,09037
9,38,81,81,100.0,09038
9,42,202,202,100.0,09042
9,43,69,69,100.0,09043
9,46,183,183,100.0,09046
9,47,222,222,100.0,09047
9,48,198,198,100.0,09048
9,49,177,177,100.0,09049
9,50,295,295,100.0,09050
9,51,213,213,100.0,09051
10,13,6,6,100.0,10013
10,16,0,0,0.0,10016
17,21,189,189,100.0,17021
21,31,153,153,100.0,21031
21,53,73,73,100.0,21053
