ward,precinct,total,Patricia Van Pelt,Patricia Van Pelt Percent,precinct_id
1,8,118,118,100.0,01008
1,11,35,35,100.0,01011
1,12,226,226,100.0,01012
1,21,19,19,100.0,01021
1,32,30,30,100.0,01032
1,33,5,5,100.0,01033
1,37,34,34,100.0,01037
2,1,122,122,100.0,02001
2,6,156,156,100.0,02006
2,7,158,158,100.0,02007
2,8,179,179,100.0,02008
2,9,112,112,100.0,02009
2,12,179,179,100.0,02012
2,15,163,163,100.0,02015
2,17,199,199,100.0,02017
2,20,89,89,100.0,02020
2,25,185,185,100.0,02025
2,41,24,24,100.0,02041
2,46,90,90,100.0,02046
11,2,11,11,100.0,11002
11,6,213,213,100.0,11006
11,7,156,156,100.0,11007
11,33,178,178,100.0,11033
12,10,24,24,100.0,12010
22,19,33,33,100.0,22019
22,21,152,152,100.0,22021
24,1,120,120,100.0,24001
24,2,116,116,100.0,24002
24,3,102,102,100.0,24003
24,4,103,103,100.0,24004
24,5,56,56,100.0,24005
24,6,129,129,100.0,24006
24,7,76,76,100.0,24007
24,8,58,58,100.0,24008
24,9,89,89,100.0,24009
24,10,59,59,100.0,24010
24,11,115,115,100.0,24011
24,12,63,63,100.0,24012
24,13,49,49,100.0,24013
24,14,95,95,100.0,24014
24,15,52,52,100.0,24015
24,16,11,11,100.0,24016
24,17,103,103,100.0,24017
24,18,140,140,100.0,24018
24,19,165,165,100.0,24019
24,20,98,98,100.0,24020
24,21,54,54,100.0,24021
24,22,151,151,100.0,24022
24,23,89,89,100.0,24023
24,24,130,130,100.0,24024
24,25,99,99,100.0,24025
24,26,209,209,100.0,24026
24,27,141,141,100.0,24027
24,28,95,95,100.0,24028
24,29,99,99,100.0,24029
24,30,70,70,100.0,24030
24,31,126,126,100.0,24031
24,32,64,64,100.0,24032
24,33,73,73,100.0,24033
24,34,107,107,100.0,24034
24,35,105,105,100.0,24035
24,36,156,156,100.0,24036
24,37,75,75,100.0,24037
24,38,118,118,100.0,24038
24,39,167,167,100.0,24039
24,40,121,121,100.0,24040
24,41,99,99,100.0,24041
25,3,177,177,100.0,25003
25,4,149,149,100.0,25004
25,10,183,183,100.0,25010
25,16,151,151,100.0,25016
25,20,99,99,100.0,25020
25,25,148,148,100.0,25025
25,27,86,86,100.0,25027
25,29,164,164,100.0,25029
25,31,178,178,100.0,25031
26,4,10,10,100.0,26004
26,17,102,102,100.0,26017
