ward,precinct,total,Robert Harris,Robert Harris Percent,Shay Tyrone Allen,Shay Tyrone Allen Percent,Mary Alice Melchor,Mary Alice Melchor Percent,precinct_id
3,1,306,148,48.37,114,37.25,44,14.38,03001
3,2,364,184,50.55,80,21.98,100,27.47,03002
3,4,272,148,54.41,94,34.56,30,11.03,03004
3,5,133,89,66.92,35,26.32,9,6.77,03005
3,7,199,118,59.3,45,22.61,36,18.09,03007
3,8,163,78,47.85,55,33.74,30,18.4,03008
3,9,233,114,48.93,88,37.77,31,13.3,03009
3,10,105,67,63.81,31,29.52,7,6.67,03010
3,11,227,114,50.22,86,37.89,27,11.89,03011
3,12,289,145,50.17,93,32.18,51,17.65,03012
3,15,204,110,53.92,59,28.92,35,17.16,03015
3,16,194,104,53.61,59,30.41,31,15.98,03016
3,18,229,122,53.28,62,27.07,45,19.65,03018
3,20,237,140,59.07,70,29.54,27,11.39,03020
3,23,167,87,52.1,40,23.95,40,23.95,03023
3,24,193,94,48.7,61,31.61,38,19.69,03024
3,28,158,95,60.13,42,26.58,21,13.29,03028
3,29,222,129,58.11,68,30.63,25,11.26,03029
3,30,232,143,61.64,64,27.59,25,10.78,03030
3,31,269,128,47.58,94,34.94,47,17.47,03031
3,35,85,48,56.47,27,31.76,10,11.76,03035
3,36,123,81,65.85,26,21.14,16,13.01,03036
3,37,183,92,50.27,55,30.05,36,19.67,03037
3,38,248,130,52.42,64,25.81,54,21.77,03038
3,41,196,114,58.16,47,23.98,35,17.86,03041
4,1,327,208,63.61,72,22.02,47,14.37,04001
4,3,206,109,52.91,62,30.1,35,16.99,04003
4,4,319,184,57.68,98,30.72,37,11.6,04004
4,5,272,134,49.26,96,35.29,42,15.44,04005
4,6,251,134,53.39,55,21.91,62,24.7,04006
4,7,362,191,52.76,117,32.32,54,14.92,04007
4,8,302,181,59.93,91,30.13,30,9.93,04008
4,9,339,188,55.46,97,28.61,54,15.93,04009
4,10,324,155,47.84,127,39.2,42,12.96,04010
4,11,233,123,52.79,80,34.33,30,12.88,04011
4,12,266,136,51.13,95,35.71,35,13.16,04012
4,14,274,151,55.11,68,24.82,55,20.07,04014
4,15,312,182,58.33,82,26.28,48,15.38,04015
