ward,precinct,total,Sonya Marie Harper,Sonya Marie Harper Percent,precinct_id
3,1,49,49,100.0,03001
3,3,150,150,100.0,03003
3,5,117,117,100.0,03005
3,10,110,110,100.0,03010
3,13,268,268,100.0,03013
3,18,121,121,100.0,03018
3,26,290,290,100.0,03026
3,29,40,40,100.0,03029
3,36,48,48,100.0,03036
3,41,124,124,100.0,03041
4,13,165,165,100.0,04013
4,16,71,71,100.0,04016
4,17,270,270,100.0,04017
4,20,225,225,100.0,04020
4,21,172,172,100.0,04021
4,37,318,318,100.0,04037
6,15,45,45,100.0,06015
6,18,16,16,100.0,06018
6,28,46,46,100.0,06028
11,12,281,281,100.0,11012
11,13,239,239,100.0,11013
11,21,298,298,100.0,11021
11,24,292,292,100.0,11024
11,28,78,78,100.0,11028
11,29,249,249,100.0,11029
11,31,197,197,100.0,11031
11,32,104,104,100.0,11032
11,34,67,67,100.0,11034
11,35,51,51,100.0,11035
15,1,144,144,100.0,15001
15,2,96,96,100.0,15002
15,3,88,88,100.0,15003
15,5,42,42,100.0,15005
15,7,35,35,100.0,15007
15,13,33,33,100.0,15013
15,14,18,18,100.0,15014
15,17,117,117,100.0,15017
15,18,80,80,100.0,15018
15,20,108,108,100.0,15020
15,21,112,112,100.0,15021
15,22,12,12,100.0,15022
15,23,126,126,100.0,15023
15,24,93,93,100.0,15024
16,2,84,84,100.0,16002
16,3,101,101,100.0,16003
16,4,105,105,100.0,16004
16,5,84,84,100.0,16005
16,6,46,46,100.0,16006
16,8,78,78,100.0,16008
16,9,145,145,100.0,16009
16,10,107,107,100.0,16010
16,12,96,96,100.0,16012
16,14,87,87,100.0,16014
16,15,134,134,100.0,16015
16,17,37,37,100.0,16017
16,18,111,111,100.0,16018
16,19,98,98,100.0,16019
16,20,99,99,100.0,16020
16,21,96,96,100.0,16021
16,22,96,96,100.0,16022
16,25,138,138,100.0,16025
16,26,116,116,100.0,16026
16,27,109,109,100.0,16027
16,28,119,119,100.0,16028
16,30,17,17,100.0,16030
16,31,152,152,100.0,16031
16,33,19,19,100.0,16033
16,34,101,101,100.0,16034
16,36,98,98,100.0,16036
17,1,0,0,0.0,17001
17,6,127,127,100.0,17006
17,8,83,83,100.0,17008
17,16,12,12,100.0,17016
17,17,7,7,100.0,17017
17,25,101,101,100.0,17025
18,50,45,45,100.0,18050
20,2,60,60,100.0,20002
20,4,61,61,100.0,20004
20,6,67,67,100.0,20006
20,13,169,169,100.0,20013
20,15,100,100,100.0,20015
20,17,84,84,100.0,20017
20,20,96,96,100.0,20020
20,21,100,100,100.0,20021
20,25,108,108,100.0,20025
20,27,83,83,100.0,20027
20,29,222,222,100.0,20029
20,32,122,122,100.0,20032
20,36,54,54,100.0,20036
20,38,54,54,100.0,20038
20,39,10,10,100.0,20039
25,14,0,0,0.0,25014
25,21,270,270,100.0,25021
25,27,48,48,100.0,25027
42,5,129,129,100.0,42005
42,9,169,169,100.0,42009
42,10,9,9,100.0,42010
42,12,62,62,100.0,42012
42,14,47,47,100.0,42014
42,15,95,95,100.0,42015
42,17,203,203,100.0,42017
42,18,112,112,100.0,42018
42,21,96,96,100.0,42021
42,33,0,0,0.0,42033
42,36,144,144,100.0,42036
42,37,93,93,100.0,42037
42,38,133,133,100.0,42038
42,41,111,111,100.0,42041
